Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;35,00;117,50;10,00;0,00;0,00;70,00;11,67;3,89;46,67;81,67;5,83;5,83;2,92;0,00;44,55;4,77;0,00;2,00;5,00;0,00;0,00;12,00;5,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;23,00;66,44;5,11;0,00;5,11;76,67;7,67;19,17;65,17;92,00;8,63;2,88;2,88;1,64;75,57;1,64;0,00;5,00;5,00;0,00;2,00;19,00;7,00;0,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;44,00;114,89;7,33;0,00;9,78;80,00;12,00;8,00;64,00;108,53;2,93;2,93;2,93;1,63;68,44;1,63;0,00;0,00;2,00;0,00;2,00;11,00;9,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;20,00;115,00;5,00;0,00;5,00;72,00;8,00;8,00;84,00;85,71;5,71;5,71;2,86;0,00;63,33;0,00;1,67;4,00;4,00;2,00;4,00;13,00;9,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;72,80;8,40;0,00;5,60;70,00;14,00;14,00;56,00;75,60;2,80;11,20;11,20;1,75;47,25;0,00;0,00;0,00;7,00;0,00;0,00;16,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;90,00;2,50;0,00;5,00;75,00;4,17;8,33;62,50;84,38;9,38;9,38;3,13;4,69;26,56;0,00;0,00;0,00;5,00;2,00;7,00;12,00;2,00;0,00;2,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;125,22;5,11;0,00;7,67;72,83;11,50;23,00;65,17;92,00;5,75;8,63;0,00;4,60;39,87;1,53;0,00;5,00;9,00;2,00;2,00;19,00;9,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;5,00;112,50;12,50;0,00;5,00;145,00;15,00;20,00;70,00;67,50;5,00;10,00;0,00;5,00;41,67;5,00;1,67;0,00;9,00;2,00;0,00;21,00;2,00;0,00;0,00;2,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;24,00;112,80;9,60;0,00;2,40;84,00;12,00;12,00;100,00;120,00;6,00;30,00;6,00;1,60;43,20;6,40;0,00;2,00;5,00;5,00;5,00;26,00;2,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;31,00;121,42;18,08;0,00;7,75;70,86;13,29;26,57;79,71;133,30;9,30;6,20;6,20;0,00;60,37;0,00;0,00;5,00;7,00;2,00;14,00;17,00;12,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;22,00;127,11;17,11;0,00;4,89;92,40;17,60;22,00;92,40;128,86;6,29;12,57;6,29;1,69;57,54;0,00;0,00;0,00;7,00;2,00;2,00;17,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;19,00;116,38;19,00;0,00;7,13;72,20;15,20;26,60;83,60;126,67;3,17;6,33;6,33;0,00;52,25;7,92;3,17;2,00;5,00;7,00;15,00;7,00;10,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;44,00;102,67;7,33;0,00;2,44;96,00;24,00;12,00;88,00;120,27;5,87;5,87;8,80;0,00;34,57;4,71;0,00;0,00;5,00;2,00;5,00;14,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-04-07;45,00;130,00;17,50;0,00;2,50;106,36;20,45;32,73;77,73;141,00;6,00;12,00;12,00;11,25;45,00;0,00;0,00;0,00;5,00;2,00;18,00;23,00;7,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;66,00;102,67;7,33;0,00;0,00;119,63;12,38;8,25;66,00;120,00;0,00;6,00;3,00;9,66;64,39;6,44;1,61;0,00;2,00;0,00;21,00;29,00;12,00;0,00;0,00;0,00;2,00;9,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;78,00;143,42;15,10;0,00;12,58;98,53;20,53;20,53;110,84;138,00;6,00;18,00;6,00;7,96;50,94;7,96;0,00;5,00;2,00;0,00;10,00;39,00;27,00;0,00;0,00;0,00;2,00;12,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;46,00;148,22;0,00;0,00;5,11;125,45;12,55;20,91;104,55;141,07;6,13;6,13;6,13;14,79;64,07;0,00;0,00;2,00;2,00;2,00;5,00;28,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;42,00;123,53;17,29;0,00;0,00;113,40;33,60;21,00;126,00;174,00;3,00;9,00;9,00;6,46;63,00;1,62;1,62;0,00;2,00;2,00;0,00;27,00;9,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;44,00;149,11;4,89;0,00;4,89;104,00;20,00;16,00;132,00;120,27;2,93;0,00;8,80;4,89;40,74;0,00;1,63;4,00;9,00;2,00;7,00;20,00;9,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;53,00;171,62;10,10;0,00;0,00;150,85;12,23;24,46;77,46;167,83;11,78;5,89;5,89;1,61;65,85;1,61;0,00;0,00;7,00;4,00;20,00;22,00;7,00;0,00;2,00;0,00;0,00;9,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
