Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;83,00;104,52;30,74;24,59;0,00;24,00;15,00;19,00;19,00;5,00;9,00;11,00;1,00;8,00;7,00;2,00;8,00;2,00;14,00;5,00;10,00;2,00;14,00;5,00;10,00;1,00;0,50;0,00;0,00;1,00;0,00;0,50
2019-01-13;78,00;78,00;31,20;21,84;1,00;24,00;16,00;20,00;19,00;6,00;13,00;11,00;2,00;10,00;10,00;1,00;7,00;2,00;9,00;4,00;9,00;2,00;9,00;4,00;9,00;3,00;0,50;1,00;0,00;4,00;0,50;1,00
2019-01-20;70,00;66,96;27,39;18,26;0,50;21,00;13,00;15,00;23,00;9,00;12,00;6,00;1,00;10,00;4,00;1,00;8,00;1,00;7,00;5,00;8,00;1,00;7,00;5,00;8,00;1,00;1,00;1,00;1,00;2,00;0,00;0,50
2019-01-27;73,00;45,63;30,42;21,29;0,50;28,00;11,00;13,00;17,00;10,00;15,00;12,00;1,00;12,00;6,00;2,00;7,00;3,00;6,00;5,00;8,00;3,00;6,00;5,00;8,00;1,00;0,50;0,50;1,00;6,00;0,00;0,50
2019-02-03;76,00;45,60;24,32;18,24;0,00;27,00;10,00;12,00;17,00;10,00;12,00;11,00;0,00;8,00;7,00;1,00;9,00;1,00;8,00;8,00;10,00;1,00;8,00;8,00;10,00;0,00;0,00;1,00;0,00;8,00;0,00;0,00
2019-02-10;70,00;38,18;22,27;19,09;0,50;20,00;13,00;11,00;21,00;8,00;11,00;13,00;1,00;8,00;8,00;0,50;5,00;2,00;9,00;6,00;8,00;2,00;9,00;6,00;8,00;0,50;1,00;0,50;0,00;6,00;0,00;0,50
2019-02-17;69,00;40,77;28,23;21,95;0,00;25,00;13,00;13,00;21,00;6,00;11,00;9,00;1,00;10,00;5,00;2,00;7,00;4,00;8,00;7,00;10,00;4,00;8,00;7,00;10,00;0,00;0,50;0,00;0,50;7,00;0,00;0,50
2019-02-24;83,00;55,33;21,52;21,52;0,50;27,00;13,00;15,00;20,00;9,00;11,00;12,00;1,00;10,00;7,00;1,00;8,00;1,00;7,00;5,00;9,00;1,00;7,00;5,00;9,00;1,00;0,50;2,00;0,00;7,00;0,00;0,50
2019-03-03;78,00;43,68;28,08;21,84;1,00;29,00;11,00;13,00;22,00;10,00;10,00;9,00;3,00;9,00;8,00;1,00;5,00;3,00;8,00;6,00;11,00;3,00;8,00;6,00;11,00;0,00;0,50;1,00;1,00;6,00;0,00;0,00
2019-03-10;75,00;53,13;25,00;28,13;0,00;29,00;10,00;18,00;19,00;8,00;11,00;13,00;2,00;16,00;9,00;1,00;10,00;3,00;6,00;5,00;7,00;3,00;6,00;5,00;7,00;0,00;0,00;0,50;0,50;6,00;0,00;0,00
