Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;28,00;401,33;494,67;401,33;364,00;270,67;3,11;180,44;164,89;214,67;140,00;364,00;84,00;294,00;350,00;98,00;79,33;212,33;18,67;23,80;85,40;64,40;13,00;22,00;10,00;25,00;16,00;3,00;3,00;9,00;0,00;0,00
2019-01-13;55,00;539,00;605,00;451,00;506,00;258,82;9,71;184,41;184,41;255,00;145,00;370,00;77,00;253,00;275,00;110,00;107,50;222,50;25,00;40,53;85,39;43,42;22,00;25,00;9,00;15,00;12,00;6,00;3,00;3,00;3,00;6,00
2019-01-20;37,00;481,00;592,00;407,00;555,00;235,45;6,73;178,27;158,09;274,86;174,43;327,71;86,33;234,33;357,67;135,67;88,80;226,93;22,20;34,15;64,04;61,19;22,00;34,00;9,00;16,00;3,00;16,00;3,00;16,00;3,00;3,00
2019-01-27;51,00;367,20;622,20;377,40;285,60;176,80;3,40;268,60;166,60;229,50;183,60;418,20;102,00;280,50;382,50;127,50;97,14;177,29;19,43;29,14;106,37;67,03;6,00;26,00;3,00;16,00;13,00;10,00;0,00;19,00;0,00;0,00
2019-02-03;26,00;390,00;598,00;559,00;494,00;110,50;6,50;182,00;130,00;171,60;109,20;462,80;117,00;338,00;299,00;117,00;96,91;144,18;18,91;28,89;88,11;67,89;13,00;26,00;3,00;3,00;0,00;7,00;13,00;20,00;3,00;0,00
2019-02-10;20,00;360,00;560,00;420,00;310,00;153,33;0,00;230,00;113,33;185,00;155,00;410,00;50,00;250,00;250,00;90,00;112,50;215,00;17,50;12,86;80,00;74,29;30,00;43,00;0,00;7,00;13,00;7,00;7,00;33,00;0,00;0,00
2019-02-17;37,00;542,67;629,00;555,00;444,00;168,18;3,36;185,00;211,91;211,43;179,71;454,57;98,67;271,33;320,67;148,00;74,00;150,47;37,00;10,36;96,20;57,72;37,00;30,00;3,00;10,00;13,00;10,00;3,00;17,00;3,00;0,00
2019-02-24;24,00;540,00;600,00;612,00;444,00;178,29;0,00;188,57;174,86;216,00;206,40;451,20;72,00;300,00;336,00;144,00;64,80;158,40;7,20;39,53;87,53;76,24;21,00;24,00;7,00;17,00;14,00;10,00;3,00;17,00;0,00;0,00
2019-03-03;29,00;454,33;570,33;483,33;290,00;157,89;12,89;180,44;170,78;261,00;169,17;367,33;116,00;333,50;420,50;217,50;89,42;217,50;12,08;31,90;94,25;94,25;13,00;52,00;0,00;13,00;10,00;26,00;13,00;16,00;3,00;3,00
2019-03-10;20,00;480,00;500,00;510,00;290,00;213,33;13,33;216,67;203,33;260,00;165,00;425,00;60,00;220,00;280,00;130,00;100,00;187,50;30,00;32,86;115,71;94,29;26,00;46,00;3,00;23,00;13,00;3,00;7,00;20,00;3,00;3,00
2019-03-17;17,00;408,00;476,00;374,00;314,50;156,40;0,00;261,80;166,60;277,67;164,33;425,00;102,00;578,00;510,00;221,00;72,86;238,00;19,43;39,67;106,25;36,83;7,00;41,00;17,00;7,00;3,00;10,00;14,00;17,00;10,00;10,00
2019-03-24;38,00;646,00;684,00;734,67;456,00;203,82;3,45;207,27;245,27;247,00;209,00;361,00;63,33;354,67;380,00;202,67;45,60;177,33;25,33;30,69;45,31;62,85;7,00;38,00;3,00;7,00;7,00;0,00;3,00;21,00;3,00;0,00
2019-03-31;43,00;559,00;494,50;451,50;473,00;254,69;3,31;158,77;198,46;234,11;167,22;477,78;53,75;247,25;333,25;139,75;129,00;161,88;27,82;43,00;87,48;56,34;23,00;20,00;7,00;16,00;10,00;10,00;3,00;23,00;0,00;0,00
2019-04-07;62,00;506,33;578,67;506,33;537,33;248,00;9,79;277,37;189,26;341,00;196,33;366,83;99,20;322,40;384,40;173,60;104,16;168,64;19,84;23,07;93,72;62,00;23,00;36,00;16,00;10,00;16,00;3,00;7,00;10,00;3,00;3,00
2019-04-14;61,00;1016,67;538,83;610,00;528,67;318,56;3,39;176,22;220,28;305,00;208,42;376,17;85,40;414,80;463,60;219,60;85,40;163,48;56,12;43,57;139,43;56,64;29,00;29,00;7,00;7,00;11,00;18,00;7,00;28,00;0,00;4,00
2019-04-21;74,00;518,00;496,86;465,14;560,29;272,45;3,36;171,55;171,55;310,80;148,00;384,80;49,33;394,67;444,00;197,33;96,20;120,87;14,80;42,08;91,41;88,51;21,00;32,00;7,00;7,00;7,00;11,00;7,00;24,00;0,00;0,00
