Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;37,00;21,00;0,00;5,00;37,00;0,00;0,00;16,00;0,00;16,00;11,00;21,00;16,00;5,00;5,00;11,00;11,00;26,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;16,00;0,00;11,00;0,00;48,00;0,00;5,00;5,00;5,00;5,00;0,00;21,00;0,00;21,00;11,00;32,00;11,00;11,00;0,00;21,00;0,00;0,00;0,00;16,00;0,00;0,00;11,00;21,00;0,00;5,00;11,00;5,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;96,00;11,00;16,00;5,00;27,00;0,00;0,00;11,00;0,00;26,00;5,00;21,00;0,00;16,00;11,00;21,00;16,00;16,00;0,00;16,00;0,00;5,00;0,00;5,00;0,00;0,00;16,00;16,00;26,00;0,00;11,00;0,00;11,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;54,00;0,00;5,00;5,00;27,00;11,00;11,00;0,00;5,00;11,00;0,00;11,00;0,00;32,00;5,00;27,00;5,00;21,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;21,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;94,00;6,00;6,00;0,00;17,00;0,00;6,00;0,00;0,00;6,00;0,00;33,00;6,00;6,00;0,00;11,00;22,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;11,00;28,00;0,00;0,00;6,00;0,00;17,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-02-10;17,00;0,00;6,00;0,00;11,00;0,00;11,00;0,00;6,00;0,00;6,00;22,00;0,00;22,00;0,00;22,00;6,00;6,00;0,00;0,00;0,00;0,00;11,00;6,00;0,00;0,00;6,00;17,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;11,00;11,00;11,00;0,00;34,00;6,00;0,00;6,00;0,00;11,00;6,00;40,00;0,00;11,00;17,00;6,00;17,00;17,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;23,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;50,00;6,00;6,00;0,00;28,00;6,00;6,00;0,00;0,00;6,00;6,00;17,00;6,00;17,00;0,00;5,00;16,00;27,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;32,00;0,00;5,00;0,00;27,00;16,00;11,00;5,00;0,00;37,00;5,00;27,00;0,00;0,00;5,00;11,00;5,00;5,00;0,00;16,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;5,00;11,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;38,00;0,00;5,00;0,00;22,00;6,00;0,00;0,00;0,00;16,00;0,00;11,00;0,00;11,00;0,00;16,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;57,00;6,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;6,00;0,00;17,00;0,00;6,00;6,00;0,00;11,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00
2019-03-24;28,00;6,00;6,00;0,00;11,00;6,00;0,00;6,00;0,00;0,00;0,00;22,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;44,00;5,00;5,00;5,00;16,00;0,00;0,00;11,00;5,00;11,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;5,00;10,00;0,00;15,00;0,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;5,00;10,00;10,00;0,00;0,00;0,00;15,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;48,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;53,00;0,00;6,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;10,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;16,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;43,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;32,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;10,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;75,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;54,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;32,00;0,00;0,00;0,00;16,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;11,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;33,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;47,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;17,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-06-30;85,00;0,00;11,00;11,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;11,00;34,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;63,00;0,00;6,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;6,00;11,00;11,00;6,00;6,00;0,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;68,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;6,00;0,00;12,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;66,00;0,00;13,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;7,00;0,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;7,00;0,00;0,00;7,00;13,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;100,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;33,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;48,00;0,00;6,00;0,00;6,00;0,00;6,00;6,00;0,00;6,00;0,00;18,00;0,00;0,00;6,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
