Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;22,00;4,00;72,00;4,00;4,00
2019-01-13;9,00;4,00;51,00;2,00;2,00
2019-01-20;11,00;0,00;45,00;4,00;9,00
2019-01-27;21,00;2,00;48,00;4,00;10,00
2019-02-03;6,00;0,00;38,00;2,00;25,00
2019-02-10;20,00;0,00;47,00;0,00;9,00
2019-02-17;24,00;0,00;31,00;0,00;4,00
2019-02-24;13,00;0,00;26,00;2,00;9,00
2019-03-03;11,00;0,00;30,00;0,00;20,00
2019-03-10;9,00;0,00;24,00;0,00;9,00
2019-03-17;16,00;2,00;58,00;0,00;4,00
2019-03-24;14,00;2,00;34,00;2,00;5,00
2019-03-31;13,00;0,00;71,00;2,00;7,00
2019-04-07;20,00;2,00;35,00;2,00;9,00
2019-04-14;2,00;0,00;51,00;5,00;2,00
2019-04-21;16,00;4,00;40,00;2,00;7,00
2019-04-28;15,00;0,00;39,00;4,00;2,00
2019-05-05;18,00;2,00;35,00;0,00;0,00
2019-05-12;22,00;2,00;49,00;2,00;4,00
2019-05-19;18,00;2,00;42,00;0,00;2,00
2019-05-26;15,00;2,00;39,00;2,00;2,00
2019-06-02;8,00;0,00;42,00;2,00;8,00
2019-06-09;15,00;6,00;61,00;6,00;4,00
2019-06-16;4,00;0,00;44,00;2,00;2,00
2019-06-23;15,00;2,00;48,00;0,00;2,00
2019-06-30;17,00;2,00;59,00;2,00;0,00
2019-07-07;13,00;0,00;44,00;2,00;4,00
2019-07-14;20,00;0,00;39,00;2,00;0,00
2019-07-21;16,00;4,00;60,00;2,00;7,00
2019-07-28;13,00;4,00;47,00;2,00;0,00
2019-08-04;13,00;2,00;32,00;4,00;6,00
2019-08-11;19,00;6,00;39,00;9,00;6,00
2019-08-18;24,00;2,00;27,00;2,00;0,00
2019-08-25;24,00;2,00;37,00;2,00;2,00
2019-09-01;4,00;2,00;34,00;2,00;6,00
2019-09-08;21,00;0,00;44,00;4,00;4,00
2019-09-15;13,00;4,00;86,00;4,00;8,00
2019-09-22;12,00;10,00;76,00;8,00;6,00
2019-09-29;12,00;0,00;59,00;6,00;6,00
2019-10-06;14,00;2,00;100,00;6,00;6,00
2019-10-13;12,00;4,00;57,00;4,00;2,00
2019-10-20;14,00;4,00;47,00;6,00;2,00
2019-10-27;22,00;2,00;36,00;4,00;4,00
2019-11-03;8,00;4,00;37,00;0,00;4,00
2019-11-10;21,00;4,00;41,00;0,00;2,00
2019-11-17;19,00;6,00;74,00;2,00;2,00
2019-11-24;9,00;2,00;30,00;6,00;2,00
2019-12-01;10,00;6,00;50,00;4,00;4,00
2019-12-08;18,00;2,00;32,00;0,00;0,00
2019-12-15;17,00;6,00;25,00;2,00;10,00
2019-12-22;16,00;2,00;52,00;4,00;4,00
2019-12-29;16,00;2,00;49,00;0,00;2,00
2020-01-05;9,00;4,00;56,00;2,00;13,00
2020-01-12;16,00;11,00;66,00;13,00;2,00
2020-01-19;10,00;4,00;46,00;0,00;6,00
2020-01-26;13,00;6,00;44,00;0,00;8,00
2020-02-02;9,00;0,00;49,00;2,00;2,00
2020-02-09;17,00;0,00;24,00;4,00;2,00
2020-02-16;5,00;5,00;49,00;2,00;5,00
2020-02-23;9,00;9,00;47,00;2,00;7,00
2020-03-01;11,00;2,00;45,00;2,00;5,00
2020-03-08;16,00;0,00;47,00;2,00;5,00
2020-03-15;14,00;2,00;33,00;3,00;3,00
2020-03-22;18,00;3,00;38,00;2,00;7,00
2020-03-29;3,00;2,00;43,00;7,00;0,00
2020-04-05;12,00;3,00;34,00;0,00;8,00
2020-04-12;7,00;5,00;40,00;2,00;5,00
2020-04-19;19,00;7,00;35,00;2,00;7,00
2020-04-26;26,00;2,00;42,00;5,00;5,00
2020-05-03;18,00;2,00;22,00;2,00;3,00
2020-05-10;18,00;7,00;28,00;0,00;3,00
2020-05-17;10,00;3,00;37,00;2,00;3,00
2020-05-24;7,00;2,00;39,00;2,00;4,00
2020-05-31;10,00;2,00;38,00;0,00;5,00
2020-06-07;13,00;2,00;39,00;6,00;3,00
2020-06-14;10,00;3,00;21,00;0,00;0,00
2020-06-21;15,00;5,00;34,00;3,00;2,00
2020-06-28;8,00;8,00;48,00;5,00;5,00
2020-07-05;14,00;3,00;38,00;0,00;2,00
2020-07-12;22,00;2,00;20,00;5,00;4,00
2020-07-19;15,00;4,00;48,00;2,00;7,00
2020-07-26;15,00;4,00;30,00;0,00;7,00
2020-08-02;20,00;0,00;31,00;2,00;7,00
2020-08-09;11,00;4,00;28,00;0,00;6,00
2020-08-16;13,00;4,00;46,00;5,00;2,00
2020-08-23;9,00;2,00;44,00;4,00;2,00
2020-08-30;11,00;4,00;38,00;2,00;2,00
2020-09-06;11,00;6,00;30,00;4,00;0,00
2020-09-13;17,00;0,00;35,00;2,00;0,00
2020-09-20;16,00;5,00;29,00;4,00;5,00
2020-09-27;4,00;2,00;35,00;0,00;2,00
2020-10-04;17,00;0,00;30,00;4,00;2,00
2020-10-11;8,00;0,00;35,00;6,00;0,00
2020-10-18;4,00;2,00;27,00;0,00;6,00
2020-10-25;15,00;2,00;36,00;0,00;2,00
2020-11-01;5,00;4,00;35,00;0,00;2,00
2020-11-08;5,00;4,00;44,00;0,00;5,00
2020-11-15;6,00;4,00;35,00;0,00;0,00
2020-11-22;11,00;4,00;22,00;2,00;2,00
2020-11-29;11,00;2,00;45,00;2,00;2,00
2020-12-06;6,00;0,00;29,00;0,00;0,00
2020-12-13;14,00;2,00;27,00;4,00;4,00
2020-12-20;9,00;2,00;28,00;4,00;4,00
2020-12-27;11,00;0,00;38,00;8,00;4,00
2021-01-03;17,00;2,00;41,00;4,00;2,00
2021-01-10;16,00;0,00;22,00;9,00;5,00
2021-01-17;20,00;5,00;35,00;2,00;2,00
2021-01-24;4,00;0,00;26,00;0,00;0,00
2021-01-31;9,00;0,00;18,00;2,00;2,00
2021-02-07;9,00;0,00;32,00;2,00;0,00
2021-02-14;10,00;0,00;31,00;2,00;4,00
2021-02-21;6,00;0,00;18,00;6,00;4,00
2021-02-28;9,00;0,00;23,00;0,00;6,00
2021-03-07;10,00;2,00;27,00;6,00;2,00
2021-03-14;15,00;8,00;23,00;0,00;2,00
2021-03-21;2,00;8,00;30,00;0,00;0,00
2021-03-28;6,00;0,00;31,00;2,00;0,00
2021-04-04;22,00;0,00;18,00;2,00;2,00
2021-04-11;2,00;2,00;17,00;10,00;2,00
2021-04-18;8,00;0,00;21,00;4,00;0,00
2021-04-25;4,00;0,00;24,00;0,00;0,00
2021-05-02;6,00;0,00;33,00;0,00;2,00
2021-05-09;10,00;6,00;14,00;4,00;0,00
2021-05-16;6,00;0,00;16,00;0,00;0,00
2021-05-23;8,00;0,00;21,00;2,00;2,00
2021-05-30;15,00;0,00;20,00;0,00;2,00
2021-06-06;8,00;0,00;18,00;4,00;0,00
2021-06-13;6,00;0,00;18,00;2,00;2,00
2021-06-20;6,00;0,00;12,00;6,00;0,00
2021-06-27;4,00;4,00;20,00;2,00;0,00
2021-07-04;0,00;4,00;16,00;2,00;2,00
2021-07-11;11,00;0,00;26,00;2,00;0,00
2021-07-18;9,00;0,00;33,00;0,00;2,00
2021-07-25;15,00;0,00;77,00;0,00;2,00
2021-08-01;11,00;0,00;19,00;2,00;0,00
2021-08-08;11,00;4,00;15,00;4,00;2,00
2021-08-15;25,00;2,00;19,00;2,00;2,00
2021-08-22;0,00;0,00;21,00;0,00;0,00
2021-08-29;11,00;2,00;33,00;0,00;0,00
2021-09-05;9,00;2,00;20,00;0,00;0,00
2021-09-12;7,00;7,00;42,00;2,00;2,00
