Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;52,00;374,40;530,40;322,40;189,43;18,57;167,14;170,86;97,07;239,20;83,20;121,33;44,20;75,40;83,20;26,00;78,00;130,00;13,00;52,00;26,63;78,63;52,00;52,00;13,00;45,00;19,00;58,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00
2019-01-13;19,00;408,50;446,50;304,00;148,20;7,60;129,20;102,60;57,00;152,00;63,33;164,67;51,57;84,14;51,57;19,00;58,90;85,50;5,70;58,90;39,27;97,53;45,60;64,60;0,00;19,00;25,00;26,00;6,00;6,00;13,00;0,00;13,00;0,00;0,00
2019-01-20;43,00;419,25;505,25;279,50;238,45;27,36;179,82;109,45;93,17;189,92;68,08;114,67;80,63;56,44;75,25;5,38;74,78;125,26;18,70;61,70;12,65;93,59;49,32;61,97;12,00;31,00;18,00;37,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00
2019-01-27;19,00;370,50;342,00;228,00;83,60;11,40;106,40;68,40;114,00;281,20;49,40;155,80;65,14;57,00;70,57;5,43;51,30;96,90;19,00;51,30;19,00;69,67;76,00;63,33;12,00;12,00;12,00;75,00;6,00;12,00;0,00;0,00;19,00;6,00;0,00
2019-02-03;19,00;351,50;475,00;247,00;167,20;19,00;163,40;148,20;133,00;247,00;57,00;158,33;59,71;65,14;86,86;27,14;98,80;93,10;5,70;79,80;51,93;103,87;84,87;45,60;38,00;32,00;6,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;20,00;350,00;380,00;220,00;132,00;28,00;168,00;112,00;70,00;183,33;50,00;140,00;57,14;91,43;48,57;14,29;38,18;149,09;12,73;58,18;6,25;40,00;46,25;72,50;13,00;39,00;0,00;26,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00
2019-02-17;20,00;470,00;500,00;280,00;172,00;20,00;144,00;128,00;76,67;236,67;63,33;130,00;25,00;75,00;57,50;0,00;25,45;65,45;32,73;92,73;26,25;67,50;53,75;46,25;13,00;27,00;0,00;27,00;7,00;7,00;0,00;0,00;20,00;0,00;7,00
2019-02-24;33,00;484,00;561,00;352,00;205,33;11,00;212,67;113,67;40,33;256,67;69,67;209,00;88,00;74,25;96,25;0,00;51,33;71,50;20,17;51,33;33,00;79,96;39,35;33,00;13,00;20,00;0,00;65,00;13,00;20,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;27,00;432,00;468,00;252,00;142,71;19,29;293,14;96,43;84,38;178,88;104,63;168,75;62,10;102,60;54,00;13,50;48,21;109,93;21,21;42,43;27,00;41,14;41,14;82,29;26,00;60,00;0,00;46,00;33,00;13,00;0,00;0,00;7,00;0,00;0,00
2019-03-10;19,00;427,50;370,50;285,00;174,80;19,00;133,00;133,00;57,00;235,60;98,80;193,80;59,71;70,57;46,14;19,00;51,30;136,80;32,30;51,30;19,00;89,93;31,67;38,00;19,00;70,00;6,00;70,00;6,00;0,00;0,00;6,00;19,00;0,00;0,00
