Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;31,00;31,00;31,00;31,00;899,00;15,50;31,00;1550,00;0,00;46,50;31,00;612,25;255,75;795,67;0,00;31,00;1033,33;0,00;31,00;275,13;0,00;0,00;0,00;292,78;48,22;0,00;16,00;16,00;16,00;0,00;0,00;459,83;15,50;258,33;0,00;160,17;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;15,00;15,00;15,00;30,00;690,00;60,00;15,00;975,00;30,00;15,00;0,00;562,50;195,00;585,00;0,00;60,00;945,00;15,00;15,00;228,75;15,00;0,00;15,00;231,00;15,00;0,00;0,00;0,00;30,00;0,00;15,00;360,00;0,00;167,50;0,00;212,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;77,00;38,50;19,25;0,00;462,00;0,00;12,83;641,67;12,83;0,00;0,00;346,50;146,30;397,83;12,83;12,83;526,17;0,00;16,21;316,11;0,00;0,00;30,13;234,35;0,00;0,00;15,00;0,00;0,00;0,00;0,00;328,53;0,00;168,90;0,00;29,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;15,50;0,00;0,00;558,00;46,50;15,50;790,50;15,50;15,50;15,50;224,75;310,00;392,67;0,00;41,33;434,00;15,50;15,50;170,50;0,00;17,22;0,00;210,11;48,22;0,00;16,00;16,00;0,00;0,00;0,00;418,50;0,00;209,85;0,00;73,92;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;64,00;16,00;64,00;16,00;480,00;25,60;25,60;691,20;12,80;0,00;0,00;291,56;156,44;268,80;38,40;12,80;729,60;0,00;0,00;228,00;0,00;0,00;0,00;229,05;16,84;0,00;0,00;0,00;0,00;0,00;14,77;280,62;0,00;110,77;0,00;78,77;16,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;16,00;0,00;16,00;32,00;416,00;16,00;0,00;608,00;16,00;16,00;0,00;328,00;176,00;320,00;0,00;80,00;720,00;64,00;16,00;228,00;32,00;0,00;48,00;108,80;0,00;0,00;16,00;0,00;0,00;16,00;0,00;240,00;0,00;120,00;0,00;85,33;16,00;0,00;16,00;0,00;0,00;0,00;0,00
2019-02-17;82,00;41,00;20,50;41,00;656,00;13,67;27,33;656,00;0,00;0,00;29,82;342,91;149,09;433,43;0,00;11,71;468,57;0,00;15,62;164,00;0,00;0,00;16,40;147,60;0,00;16,00;0,00;0,00;0,00;51,25;0,00;199,88;0,00;131,70;0,00;32,30;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;51,00;51,00;0,00;25,50;765,00;51,00;0,00;535,50;0,00;0,00;14,57;262,29;145,71;433,50;0,00;12,75;535,50;0,00;35,31;117,69;0,00;17,00;0,00;156,40;17,00;0,00;17,00;0,00;0,00;0,00;0,00;204,00;0,00;137,70;0,00;35,70;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;95,00;63,33;15,83;15,83;348,33;13,57;0,00;583,57;0,00;14,62;14,62;190,00;168,08;427,50;0,00;35,63;427,50;15,83;15,83;95,00;0,00;0,00;16,38;111,38;32,76;0,00;0,00;0,00;32,00;15,00;0,00;110,00;0,00;80,00;0,00;62,50;0,00;32,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;80,00;40,00;160,00;0,00;720,00;0,00;13,33;506,67;13,33;14,55;14,55;363,64;123,64;308,57;11,43;34,29;320,00;16,00;0,00;164,00;0,00;0,00;16,67;96,67;33,33;0,00;16,00;0,00;32,00;0,00;0,00;225,00;0,00;112,50;0,00;32,50;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;33,00;16,50;0,00;0,00;429,00;33,00;0,00;412,50;0,00;0,00;0,00;255,75;107,25;198,00;0,00;11,00;352,00;0,00;0,00;189,75;0,00;0,00;0,00;49,50;16,50;0,00;0,00;0,00;17,00;14,14;0,00;108,43;0,00;50,77;17,77;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;17,00;34,00;34,00;0,00;272,00;34,00;0,00;306,00;0,00;0,00;0,00;289,00;246,50;238,00;0,00;0,00;306,00;0,00;0,00;55,25;0,00;0,00;17,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;113,33;0,00;99,57;0,00;48,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;65,00;16,25;32,50;16,25;357,50;0,00;13,00;130,00;13,00;0,00;14,44;173,33;79,44;117,00;0,00;0,00;221,00;16,25;0,00;166,56;0,00;0,00;0,00;133,42;0,00;0,00;0,00;16,00;16,00;0,00;0,00;130,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;64,00;16,00;0,00;16,00;224,00;12,80;0,00;89,60;0,00;14,22;0,00;106,67;149,33;64,00;0,00;12,80;153,60;0,00;0,00;96,00;16,00;0,00;0,00;64,00;16,84;0,00;0,00;16,00;0,00;0,00;0,00;93,54;0,00;14,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;18,00;0,00;0,00;0,00;396,00;0,00;0,00;234,00;0,00;0,00;45,00;234,00;108,00;18,00;18,00;18,00;396,00;0,00;0,00;58,50;0,00;0,00;0,00;39,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168,00;0,00;18,00;0,00;54,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;86,00;0,00;21,50;0,00;301,00;0,00;0,00;129,00;14,33;0,00;0,00;114,67;100,33;12,29;0,00;0,00;331,71;15,64;15,64;15,64;0,00;0,00;0,00;52,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101,18;0,00;17,20;0,00;34,40;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;31,00;0,00;0,00;0,00;279,00;0,00;0,00;124,00;0,00;0,00;0,00;100,75;131,75;51,67;0,00;41,33;237,67;0,00;0,00;46,50;15,50;0,00;0,00;96,44;0,00;16,00;0,00;0,00;0,00;0,00;0,00;77,50;15,50;14,31;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;47,00;0,00;23,50;23,50;94,00;0,00;0,00;188,00;0,00;0,00;0,00;94,00;47,00;58,75;0,00;0,00;199,75;0,00;0,00;78,33;0,00;0,00;0,00;77,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,33;0,00;61,84;0,00;14,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;32,00;0,00;0,00;0,00;64,00;0,00;0,00;144,00;0,00;0,00;0,00;16,00;72,00;85,33;0,00;0,00;138,67;16,00;16,00;64,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,33;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;16,00;0,00;0,00;0,00;128,00;32,00;0,00;144,00;0,00;0,00;16,00;120,00;120,00;64,00;48,00;16,00;144,00;0,00;0,00;96,00;16,00;0,00;16,00;60,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,33;0,00;50,67;0,00;34,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;0,00;0,00;0,00;0,00;1,00;1,00;0,00;13,00;0,00;0,00;0,00;4,00;2,00;4,00;0,00;0,00;20,00;0,00;0,00;20,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;45,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;48,00;0,00;24,00;0,00;144,00;0,00;0,00;224,00;0,00;0,00;0,00;152,00;72,00;108,00;12,00;12,00;264,00;0,00;0,00;64,00;0,00;0,00;0,00;99,43;0,00;0,00;0,00;0,00;16,00;0,00;0,00;69,33;0,00;15,16;0,00;32,84;0,00;0,00;0,00;16,00;0,00;0,00;0,00
