Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;21,00;9,00;0,00;0,00;9,00;0,00;4,00;4,00;0,00;0,00;0,00;65,33;25,67;39,00;0,00;9,00;9,00;0,00;0,00;100,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;9,00;4,00;0,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-01-13;21,00;4,00;12,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;9,33;25,67;4,00;0,00;12,00;4,00;0,00;0,00;73,50;0,00;4,00;8,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;36,00;4,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;4,50;4,50;6,75;20,25;8,00;4,00;8,00;0,00;0,00;0,00;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;12,00;12,00;0,00;12,00;12,00;0,00;0,00;4,00;0,00;0,00;4,80;0,00;24,00;4,00;4,00;4,00;4,00;0,00;0,00;42,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;32,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;6,86;27,43;0,00;4,00;8,00;0,00;4,00;0,00;68,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;8,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;32,00;4,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;4,57;22,86;4,00;0,00;8,00;0,00;0,00;0,00;72,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;21,00;0,00;0,00;8,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;4,67;11,67;4,00;0,00;0,00;8,00;0,00;0,00;88,20;0,00;0,00;0,00;4,00;8,00;0,00;4,00;4,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;29,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,83;12,08;0,00;0,00;4,00;0,00;0,00;0,00;87,00;0,00;4,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;34,00;4,00;4,00;17,00;4,00;0,00;0,00;13,00;0,00;0,00;0,00;4,53;29,47;0,00;0,00;9,00;4,00;4,00;0,00;42,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;38,00;0,00;4,00;13,00;8,00;13,00;0,00;8,00;0,00;4,75;0,00;4,75;21,38;4,00;0,00;8,00;8,00;0,00;0,00;29,56;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
