Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;3,00;16,00;7,00;100,00;41,00;144,00
2019-01-13;4,00;27,00;3,00;76,00;63,00;204,00
2019-01-20;6,00;13,00;7,00;74,00;44,00;360,00
2019-01-27;4,00;18,00;3,00;58,00;47,00;180,00
2019-02-03;3,00;10,00;4,00;50,00;31,00;120,00
2019-02-10;3,00;12,00;2,00;64,00;36,00;105,00
2019-02-17;3,00;9,00;3,00;57,00;36,00;120,00
2019-02-24;2,00;11,00;7,00;57,00;40,00;144,00
2019-03-03;2,00;9,00;4,00;43,00;31,00;152,00
2019-03-10;2,00;8,00;1,00;42,00;30,00;132,00
2019-03-17;3,00;7,00;3,00;43,00;17,00;102,00
2019-03-24;3,00;6,00;5,00;54,00;29,00;102,00
2019-03-31;1,00;12,00;3,00;41,00;27,00;66,00
2019-04-07;7,00;8,00;1,00;41,00;33,00;245,00
2019-04-14;2,00;5,00;4,00;50,00;19,00;104,00
2019-04-21;2,00;10,00;1,00;44,00;32,00;116,00
2019-04-28;1,00;4,00;6,00;42,00;24,00;58,00
2019-05-05;1,00;2,00;4,00;50,00;27,00;60,00
2019-05-12;3,00;7,00;2,00;57,00;22,00;78,00
2019-05-19;2,00;7,00;3,00;59,00;25,00;116,00
2019-05-26;7,00;7,00;1,00;46,00;27,00;168,00
2019-06-02;4,00;5,00;2,00;63,00;21,00;112,00
2019-06-09;4,00;10,00;2,00;73,00;21,00;100,00
2019-06-16;4,00;1,00;3,00;87,00;16,00;104,00
2019-06-23;9,00;6,00;0,00;86,00;20,00;99,00
2019-06-30;3,00;7,00;2,00;51,00;27,00;81,00
2019-07-07;1,00;3,00;2,00;54,00;35,00;50,00
2019-07-14;2,00;7,00;6,00;43,00;26,00;116,00
2019-07-21;4,00;3,00;0,00;51,00;26,00;100,00
2019-07-28;1,00;6,00;4,00;39,00;15,00;50,00
2019-08-04;2,00;4,00;6,00;55,00;28,00;124,00
2019-08-11;0,00;11,00;4,00;43,00;26,00;29,00
2019-08-18;0,00;6,00;2,00;35,00;31,00;30,00
2019-08-25;1,00;9,00;7,00;50,00;15,00;66,00
2019-09-01;2,00;7,00;8,00;63,00;29,00;116,00
2019-09-08;3,00;12,00;5,00;44,00;33,00;66,00
2019-09-15;6,00;11,00;4,00;79,00;32,00;138,00
2019-09-22;5,00;5,00;3,00;69,00;43,00;155,00
2019-09-29;4,00;3,00;5,00;43,00;28,00;112,00
2019-10-06;5,00;6,00;6,00;47,00;28,00;130,00
2019-10-13;5,00;14,00;2,00;60,00;25,00;150,00
2019-10-20;8,00;8,00;5,00;42,00;18,00;116,00
2019-10-27;0,00;5,00;3,00;36,00;25,00;32,00
2019-11-03;4,00;12,00;7,00;52,00;34,00;100,00
2019-11-10;7,00;6,00;4,00;38,00;25,00;217,00
2019-11-17;8,00;11,00;1,00;37,00;24,00;100,00
2019-11-24;8,00;11,00;7,00;44,00;27,00;104,00
2019-12-01;5,00;3,00;4,00;37,00;27,00;120,00
2019-12-08;6,00;6,00;3,00;38,00;25,00;138,00
2019-12-15;11,00;8,00;1,00;40,00;20,00;126,50
2019-12-22;6,00;10,00;2,00;53,00;40,00;216,00
2019-12-29;7,00;7,00;7,00;84,00;59,00;350,00
2020-01-05;5,00;22,00;3,00;70,00;57,00;275,00
2020-01-12;4,00;13,00;2,00;69,00;44,00;196,00
2020-01-19;13,00;17,00;2,00;64,00;39,00;164,67
2020-01-26;7,00;11,00;4,00;67,00;49,00;259,00
2020-02-02;3,00;19,00;11,00;49,00;36,00;114,00
2020-02-09;5,00;18,00;6,00;31,00;39,00;160,00
2020-02-16;10,00;11,00;4,00;52,00;33,00;165,00
2020-02-23;8,00;15,00;2,00;51,00;37,00;112,00
2020-03-01;6,00;10,00;2,00;41,00;26,00;180,00
2020-03-08;2,00;8,00;4,00;58,00;27,00;160,00
2020-03-15;3,00;5,00;4,00;54,00;32,00;102,00
2020-03-22;1,00;4,00;0,00;19,00;14,00;36,00
2020-03-29;1,00;5,00;2,00;24,00;9,00;30,00
2020-04-05;3,00;6,00;5,00;22,00;14,00;42,00
2020-04-12;1,00;4,00;1,00;18,00;15,00;36,00
2020-04-19;3,00;11,00;3,00;17,00;20,00;36,00
2020-04-26;1,00;6,00;6,00;15,00;8,00;28,00
2020-05-03;2,00;9,00;3,00;21,00;9,00;52,00
2020-05-10;2,00;8,00;5,00;22,00;18,00;52,00
2020-05-17;6,00;10,00;2,00;28,00;8,00;90,00
2020-05-24;5,00;9,00;4,00;40,00;13,00;70,00
2020-05-31;5,00;13,00;3,00;29,00;13,00;70,00
2020-06-07;4,00;5,00;3,00;22,00;13,00;52,00
2020-06-14;2,00;6,00;3,00;35,00;16,00;52,00
2020-06-21;3,00;5,00;1,00;42,00;21,00;54,00
2020-06-28;5,00;5,00;2,00;17,00;17,00;85,00
2020-07-05;6,00;1,00;3,00;28,00;17,00;156,00
2020-07-12;2,00;7,00;6,00;21,00;17,00;92,00
2020-07-19;3,00;5,00;3,00;37,00;21,00;54,00
2020-07-26;4,00;8,00;4,00;19,00;20,00;104,00
2020-08-02;5,00;9,00;1,00;35,00;14,00;105,00
2020-08-09;8,00;8,00;6,00;31,00;17,00;80,00
2020-08-16;4,00;8,00;4,00;27,00;13,00;88,00
2020-08-23;5,00;7,00;2,00;35,00;19,00;115,00
2020-08-30;3,00;7,00;2,00;16,00;20,00;69,00
2020-09-06;3,00;5,00;4,00;19,00;16,00;63,00
2020-09-13;7,00;16,00;0,00;21,00;30,00;210,00
2020-09-20;1,00;8,00;2,00;18,00;31,00;48,00
2020-09-27;0,00;14,00;3,00;25,00;24,00;23,00
2020-10-04;8,00;7,00;2,00;32,00;19,00;84,00
2020-10-11;3,00;4,00;6,00;22,00;19,00;54,00
2020-10-18;4,00;6,00;3,00;32,00;38,00;84,00
2020-10-25;6,00;1,00;1,00;24,00;29,00;132,00
2020-11-01;3,00;7,00;1,00;9,00;11,00;45,00
2020-11-08;2,00;4,00;4,00;29,00;24,00;84,00
2020-11-15;2,00;5,00;3,00;29,00;13,00;64,00
2020-11-22;4,00;4,00;3,00;38,00;23,00;88,00
2020-11-29;4,00;8,00;3,00;19,00;31,00;124,00
2020-12-06;2,00;6,00;3,00;26,00;31,00;84,00
2020-12-13;4,00;4,00;0,00;24,00;29,00;108,00
2020-12-20;2,00;4,00;1,00;26,00;30,00;104,00
2020-12-27;5,00;6,00;2,00;22,00;25,00;170,00
2021-01-03;4,00;21,00;3,00;23,00;31,00;116,00
2021-01-10;3,00;21,00;3,00;28,00;13,00;78,00
