Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;13,00;32,00;4,00;1,00;4,00;21,00;2,00;3,00;16,00;22,00;1,00;3,00;7,00;0,50;2,00;1,00;0,00;1,00;1,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;12,00;27,00;3,00;0,00;2,00;25,00;1,00;6,00;24,00;27,00;2,00;1,00;5,00;1,00;9,00;1,00;0,00;0,50;2,00;0,50;0,00;4,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;12,00;31,00;1,00;1,00;2,00;25,00;5,00;5,00;19,00;36,00;1,00;2,00;9,00;2,00;6,00;1,00;0,50;0,00;0,50;1,00;2,00;2,00;3,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;15,00;28,00;2,00;0,50;2,00;21,00;4,00;7,00;20,00;32,00;0,50;3,00;5,00;1,00;17,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;0,50;0,00;0,00;0,00;0,00;4,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;13,00;26,00;2,00;0,50;3,00;20,00;2,00;5,00;12,00;31,00;1,00;3,00;5,00;1,00;14,00;0,00;0,00;1,00;1,00;1,00;0,50;3,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;16,00;33,00;2,00;4,00;1,00;27,00;3,00;6,00;21,00;20,00;3,00;2,00;3,00;1,00;10,00;1,00;0,00;0,50;2,00;1,00;2,00;3,00;1,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;15,00;29,00;2,00;4,00;3,00;26,00;4,00;7,00;22,00;40,00;1,00;1,00;6,00;3,00;17,00;1,00;0,00;1,00;2,00;1,00;1,00;4,00;2,00;0,00;0,00;0,00;0,00;3,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;41,00;5,00;2,00;2,00;30,00;4,00;8,00;22,00;33,00;3,00;4,00;3,00;2,00;13,00;1,00;0,00;0,00;0,50;1,00;1,00;5,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
2019-03-03;12,00;34,00;6,00;0,50;1,00;24,00;5,00;11,00;25,00;37,00;2,00;5,00;5,00;0,50;12,00;2,00;0,50;1,00;1,00;3,00;2,00;3,00;3,00;0,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;18,00;36,00;5,00;1,00;1,00;21,00;3,00;5,00;26,00;34,00;2,00;1,00;6,00;1,00;15,00;1,00;0,00;0,50;0,50;2,00;1,00;4,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;37,00;4,00;0,50;0,50;32,00;5,00;6,00;21,00;38,00;3,00;3,00;6,00;2,00;13,00;0,50;0,50;0,50;1,00;0,50;1,00;4,00;3,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;15,00;39,00;4,00;0,50;2,00;28,00;4,00;14,00;19,00;39,00;3,00;4,00;6,00;1,00;17,00;2,00;0,50;1,00;2,00;1,00;4,00;6,00;4,00;0,00;0,50;0,00;0,50;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;15,00;35,00;2,00;0,50;2,00;31,00;6,00;7,00;21,00;36,00;2,00;3,00;6,00;2,00;7,00;3,00;0,00;0,00;2,00;0,50;1,00;4,00;3,00;0,00;0,50;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;16,00;38,00;5,00;1,00;1,00;27,00;4,00;11,00;30,00;40,00;1,00;1,00;4,00;2,00;7,00;1,00;0,50;0,50;1,00;1,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;27,00;41,00;5,00;0,50;0,50;35,00;4,00;8,00;25,00;37,00;2,00;3,00;6,00;3,00;11,00;1,00;0,50;1,00;1,00;0,00;4,00;7,00;6,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
