Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;28,00;2,00;51,00;0,50;2,00
2019-01-13;30,00;1,00;40,00;2,00;1,00
2019-01-20;33,00;2,00;46,00;1,00;3,00
2019-01-27;32,00;2,00;38,00;1,00;3,00
2019-02-03;29,00;1,00;43,00;2,00;1,00
2019-02-10;27,00;1,00;37,00;2,00;2,00
2019-02-17;28,00;2,00;40,00;1,00;1,00
2019-02-24;32,00;1,00;37,00;1,00;3,00
2019-03-03;28,00;2,00;53,00;2,00;3,00
2019-03-10;26,00;1,00;39,00;1,00;0,50
2019-03-17;23,00;2,00;36,00;1,00;1,00
2019-03-24;27,00;4,00;39,00;1,00;2,00
2019-03-31;25,00;4,00;36,00;1,00;2,00
2019-04-07;19,00;2,00;34,00;1,00;1,00
2019-04-14;23,00;2,00;29,00;2,00;1,00
2019-04-21;21,00;1,00;41,00;0,00;1,00
2019-04-28;23,00;2,00;36,00;1,00;2,00
2019-05-05;22,00;2,00;39,00;0,50;2,00
2019-05-12;26,00;4,00;46,00;1,00;2,00
2019-05-19;21,00;2,00;39,00;1,00;3,00
2019-05-26;30,00;1,00;42,00;0,50;1,00
2019-06-02;20,00;2,00;100,00;2,00;2,00
2019-06-09;23,00;2,00;54,00;1,00;1,00
2019-06-16;20,00;1,00;42,00;1,00;1,00
2019-06-23;22,00;1,00;40,00;1,00;2,00
2019-06-30;22,00;1,00;36,00;1,00;2,00
2019-07-07;20,00;1,00;42,00;2,00;3,00
2019-07-14;20,00;2,00;48,00;1,00;2,00
2019-07-21;25,00;3,00;42,00;1,00;2,00
2019-07-28;23,00;2,00;36,00;2,00;2,00
2019-08-04;23,00;1,00;43,00;1,00;1,00
2019-08-11;25,00;1,00;42,00;2,00;1,00
2019-08-18;23,00;2,00;36,00;0,50;1,00
2019-08-25;37,00;2,00;35,00;1,00;2,00
2019-09-01;21,00;1,00;35,00;1,00;2,00
2019-09-08;19,00;2,00;34,00;1,00;2,00
2019-09-15;20,00;1,00;30,00;2,00;1,00
2019-09-22;18,00;1,00;34,00;1,00;2,00
2019-09-29;19,00;2,00;32,00;2,00;3,00
2019-10-06;23,00;2,00;33,00;1,00;1,00
2019-10-13;21,00;2,00;30,00;0,50;1,00
2019-10-20;24,00;3,00;33,00;2,00;2,00
2019-10-27;20,00;2,00;26,00;0,50;3,00
2019-11-03;23,00;1,00;29,00;2,00;2,00
2019-11-10;22,00;2,00;29,00;2,00;1,00
2019-11-17;19,00;2,00;33,00;1,00;3,00
2019-11-24;21,00;2,00;30,00;2,00;2,00
2019-12-01;18,00;2,00;33,00;1,00;2,00
2019-12-08;22,00;3,00;24,00;2,00;2,00
2019-12-15;24,00;3,00;41,00;1,00;2,00
2019-12-22;25,00;2,00;46,00;3,00;3,00
2019-12-29;27,00;3,00;36,00;2,00;3,00
2020-01-05;26,00;2,00;50,00;2,00;5,00
2020-01-12;25,00;4,00;45,00;2,00;3,00
2020-01-19;27,00;4,00;39,00;3,00;3,00
2020-01-26;25,00;4,00;38,00;2,00;2,00
2020-02-02;24,00;2,00;34,00;1,00;2,00
2020-02-09;25,00;2,00;35,00;1,00;2,00
2020-02-16;24,00;4,00;46,00;2,00;1,00
2020-02-23;17,00;2,00;42,00;2,00;3,00
2020-03-01;23,00;2,00;36,00;2,00;3,00
2020-03-08;22,00;1,00;35,00;1,00;3,00
2020-03-15;22,00;3,00;27,00;2,00;1,00
2020-03-22;15,00;1,00;27,00;2,00;2,00
2020-03-29;14,00;3,00;24,00;2,00;2,00
2020-04-05;18,00;3,00;31,00;4,00;2,00
2020-04-12;17,00;1,00;29,00;3,00;2,00
2020-04-19;14,00;3,00;38,00;2,00;2,00
2020-04-26;16,00;3,00;33,00;2,00;2,00
2020-05-03;12,00;2,00;29,00;2,00;3,00
2020-05-10;12,00;0,50;25,00;2,00;1,00
2020-05-17;18,00;3,00;30,00;1,00;1,00
2020-05-24;15,00;1,00;25,00;2,00;1,00
2020-05-31;17,00;2,00;28,00;1,00;2,00
2020-06-07;19,00;1,00;27,00;1,00;1,00
2020-06-14;17,00;2,00;26,00;1,00;3,00
2020-06-21;19,00;4,00;30,00;1,00;2,00
2020-06-28;16,00;3,00;32,00;2,00;1,00
2020-07-05;18,00;1,00;26,00;1,00;1,00
2020-07-12;14,00;2,00;27,00;1,00;1,00
2020-07-19;18,00;1,00;25,00;1,00;1,00
2020-07-26;18,00;1,00;27,00;1,00;2,00
2020-08-02;24,00;1,00;26,00;1,00;2,00
2020-08-09;17,00;2,00;28,00;1,00;2,00
2020-08-16;17,00;2,00;39,00;0,50;1,00
2020-08-23;16,00;1,00;32,00;2,00;1,00
2020-08-30;21,00;1,00;31,00;1,00;1,00
2020-09-06;23,00;1,00;25,00;0,50;1,00
2020-09-13;21,00;4,00;24,00;1,00;1,00
2020-09-20;18,00;0,50;20,00;1,00;3,00
2020-09-27;15,00;2,00;27,00;1,00;1,00
2020-10-04;15,00;4,00;22,00;6,00;1,00
2020-10-11;18,00;1,00;21,00;1,00;1,00
2020-10-18;16,00;2,00;23,00;0,50;1,00
2020-10-25;19,00;2,00;18,00;1,00;1,00
2020-11-01;15,00;1,00;17,00;1,00;1,00
2020-11-08;14,00;1,00;19,00;2,00;0,50
2020-11-15;19,00;2,00;25,00;1,00;1,00
2020-11-22;18,00;3,00;23,00;1,00;2,00
2020-11-29;15,00;2,00;20,00;1,00;1,00
2020-12-06;19,00;3,00;24,00;1,00;2,00
2020-12-13;14,00;2,00;25,00;2,00;1,00
2020-12-20;17,00;2,00;23,00;2,00;3,00
2020-12-27;21,00;3,00;38,00;1,00;1,00
2021-01-03;21,00;1,00;22,00;2,00;2,00
2021-01-10;17,00;1,00;21,00;1,00;1,00
2021-01-17;19,00;2,00;22,00;2,00;1,00
2021-01-24;17,00;2,00;25,00;1,00;1,00
2021-01-31;14,00;2,00;27,00;1,00;3,00
2021-02-07;16,00;4,00;26,00;2,00;3,00
2021-02-14;15,00;3,00;22,00;2,00;2,00
2021-02-21;13,00;2,00;32,00;2,00;0,50
2021-02-28;15,00;3,00;19,00;1,00;2,00
2021-03-07;19,00;3,00;21,00;1,00;1,00
2021-03-14;19,00;3,00;22,00;1,00;2,00
2021-03-21;20,00;1,00;30,00;1,00;2,00
2021-03-28;19,00;2,00;31,00;0,50;3,00
2021-04-04;19,00;3,00;21,00;3,00;2,00
2021-04-11;21,00;3,00;34,00;3,00;1,00
2021-04-18;18,00;2,00;37,00;2,00;2,00
2021-04-25;16,00;2,00;25,00;0,50;2,00
2021-05-02;21,00;3,00;32,00;1,00;2,00
2021-05-09;17,00;1,00;32,00;2,00;1,00
2021-05-16;23,00;2,00;29,00;2,00;1,00
2021-05-23;21,00;2,00;27,00;2,00;3,00
2021-05-30;21,00;2,00;26,00;1,00;2,00
2021-06-06;18,00;3,00;28,00;1,00;1,00
2021-06-13;22,00;4,00;23,00;2,00;2,00
2021-06-20;24,00;2,00;25,00;1,00;1,00
2021-06-27;24,00;2,00;29,00;1,00;2,00
2021-07-04;24,00;2,00;32,00;2,00;1,00
2021-07-11;21,00;2,00;27,00;1,00;2,00
2021-07-18;23,00;1,00;32,00;1,00;5,00
2021-07-25;21,00;3,00;37,00;2,00;2,00
2021-08-01;19,00;2,00;28,00;1,00;2,00
2021-08-08;24,00;2,00;31,00;1,00;1,00
2021-08-15;20,00;3,00;19,00;1,00;2,00
2021-08-22;18,00;1,00;96,00;1,00;1,00
2021-08-29;19,00;2,00;36,00;1,00;2,00
2021-09-05;17,00;2,00;27,00;2,00;1,00
2021-09-12;16,00;1,00;21,00;2,00;1,00
2021-09-19;19,00;1,00;25,00;2,00;2,00
2021-09-26;13,00;1,00;23,00;0,50;1,00
2021-10-03;14,00;3,00;31,00;1,00;1,00
2021-10-10;17,00;3,00;25,00;2,00;1,00
2021-10-17;21,00;2,00;27,00;1,00;0,50
2021-10-24;16,00;0,50;27,00;1,00;4,00
