Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);M¸nchen (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);GenËve (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2021-01-24;20,00;20,00;2,86;5,71;0,00;4,00;1,00;3,00;8,00;4,00;3,00;1,00;0,50;3,00;2,00;0,50;3,00;1,00;3,00;2,00;2,00;0,00;6,15;12,31;20,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00
2021-01-31;19,00;13,57;2,71;5,43;0,00;5,00;1,00;2,00;4,00;3,00;2,00;1,00;2,00;3,00;1,00;1,00;3,00;1,00;2,00;2,00;2,00;19,00;0,00;5,85;19,00;0,00;5,85;0,00;0,00;24,85;5,85;0,00
2021-02-07;18,00;18,00;3,00;6,00;0,00;4,00;1,00;2,00;9,00;5,00;2,00;2,00;1,00;3,00;2,00;1,00;2,00;1,00;4,00;2,00;2,00;10,00;0,00;10,00;18,00;8,00;0,00;0,00;8,00;10,00;0,00;0,00
2021-02-14;19,00;13,57;2,71;2,71;0,00;3,00;2,00;4,00;6,00;3,00;3,00;2,00;2,00;4,00;3,00;0,50;2,00;0,50;2,00;4,00;2,00;0,00;9,00;4,00;9,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00
2021-02-21;16,00;16,00;2,67;2,67;0,50;6,00;1,00;3,00;6,00;4,00;2,00;2,00;1,00;4,00;2,00;1,00;1,00;1,00;2,00;2,00;10,00;8,89;8,89;8,89;8,89;7,11;0,00;0,00;0,00;16,00;16,00;0,00
2021-02-28;18,00;15,00;3,00;3,00;0,50;6,00;2,00;3,00;6,00;3,00;3,00;1,00;1,00;4,00;1,00;1,00;3,00;1,00;2,00;2,00;3,00;12,46;5,54;12,46;12,46;12,46;0,00;0,00;0,00;5,54;0,00;0,00
2021-03-07;16,00;16,00;5,33;2,67;0,50;4,00;2,00;4,00;4,00;4,00;5,00;2,00;3,00;3,00;2,00;1,00;3,00;1,00;2,00;1,00;2,00;4,92;9,85;9,85;16,00;4,92;4,92;4,92;0,00;4,92;0,00;4,92
2021-03-14;20,00;14,29;2,86;5,71;0,53;6,32;2,11;3,16;6,32;5,26;2,11;2,11;2,11;4,21;1,05;0,53;2,11;1,05;4,21;2,11;2,11;4,00;0,00;0,00;16,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-03-21;21,00;15,00;3,00;6,00;0,50;6,00;1,00;4,00;6,00;4,00;3,00;2,00;1,00;4,00;3,00;0,50;3,00;1,00;3,00;3,00;4,00;4,94;4,94;11,12;25,94;0,00;11,12;0,00;0,00;4,94;0,00;0,00
2021-03-28;21,00;15,00;3,00;6,00;0,00;7,00;2,00;3,00;4,00;4,00;4,00;1,00;0,50;4,00;2,00;0,50;2,00;1,00;3,00;3,00;4,00;42,00;0,00;11,67;11,67;11,67;11,67;0,00;0,00;21,00;0,00;0,00
2021-04-04;20,00;17,14;5,71;5,71;0,00;7,00;3,00;4,00;5,00;4,00;4,00;1,00;1,00;3,00;1,00;0,50;1,00;1,00;4,00;3,00;3,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00
2021-04-11;30,00;13,64;5,45;5,45;0,00;7,00;2,00;4,00;7,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;3,00;3,00;3,00;0,00;6,67;15,00;15,00;0,00;6,67;0,00;6,67;6,67;0,00;0,00
2021-04-18;22,00;13,75;2,75;8,25;0,00;5,00;4,00;3,00;8,00;4,00;3,00;2,00;0,50;4,00;5,00;1,00;2,00;1,00;3,00;2,00;2,00;0,00;0,00;0,00;22,00;49,50;22,00;0,00;0,00;49,50;22,00;22,00
2021-04-25;21,00;18,00;3,00;6,00;0,50;8,00;2,00;2,00;5,00;3,00;3,00;3,00;1,00;5,00;2,00;1,00;2,00;1,00;8,00;2,00;2,00;5,83;10,50;5,83;5,83;0,00;0,00;0,00;0,00;5,83;0,00;0,00
2021-05-02;20,00;17,14;2,86;5,71;0,50;21,00;4,00;6,00;6,00;3,00;2,00;1,00;1,00;5,00;1,00;1,00;1,00;1,00;4,00;2,00;3,00;65,00;45,00;45,00;45,00;20,00;0,00;0,00;20,00;20,00;0,00;0,00
2021-05-09;36,00;36,00;5,14;10,29;0,95;20,84;5,68;7,58;13,26;3,79;7,58;3,79;1,89;11,37;5,68;1,89;3,79;1,89;5,68;3,79;3,79;9,00;5,00;0,00;14,00;0,00;9,00;4,00;4,00;14,00;5,00;0,00
2021-05-16;21,00;21,00;3,00;9,00;0,53;5,25;3,15;4,20;5,25;3,15;5,25;2,10;1,05;6,30;3,15;7,35;4,20;2,10;3,15;3,15;4,20;9,00;34,00;4,00;17,00;4,00;0,00;8,00;4,00;26,00;0,00;0,00
2021-05-23;22,00;19,25;5,50;11,00;0,50;7,00;4,00;4,00;6,00;3,00;3,00;1,00;1,00;7,00;1,00;1,00;3,00;2,00;4,00;3,00;4,00;4,00;0,00;9,00;13,00;0,00;13,00;0,00;4,00;53,00;0,00;4,00
2021-05-30;36,00;49,50;9,00;18,00;0,00;13,09;8,18;8,18;13,09;6,55;6,55;3,27;1,64;11,45;6,55;1,64;3,27;0,82;6,55;3,27;3,27;0,00;9,00;5,00;23,00;5,00;14,00;14,00;5,00;9,00;0,00;0,00
2021-06-06;27,00;40,50;9,00;18,00;0,75;15,00;7,50;6,00;7,50;7,50;4,50;6,00;1,50;10,50;4,50;3,00;4,50;3,00;6,00;3,00;7,50;14,00;18,00;18,00;36,00;9,00;14,00;5,00;5,00;5,00;0,00;0,00
2021-06-13;48,00;43,20;14,40;24,00;1,71;15,43;8,57;5,14;17,14;10,29;8,57;3,43;0,86;13,71;5,14;1,71;5,14;1,71;12,00;3,43;6,86;4,00;9,00;9,00;26,00;4,00;17,00;13,00;4,00;17,00;9,00;0,00
2021-06-20;75,00;83,33;33,33;41,67;0,00;30,00;27,00;12,00;33,00;21,00;27,00;15,00;3,00;30,00;15,00;6,00;12,00;12,00;15,00;12,00;9,00;31,00;13,00;9,00;22,00;9,00;0,00;9,00;4,00;9,00;0,00;0,00
2021-06-27;80,00;100,00;20,00;50,00;1,82;25,45;21,82;18,18;25,45;18,18;25,45;18,18;3,64;25,45;18,18;3,64;10,91;3,64;36,36;7,27;14,55;31,00;22,00;9,00;40,00;9,00;13,00;4,00;13,00;0,00;4,00;9,00
2021-07-04;49,00;54,44;10,89;32,67;0,00;16,96;9,42;9,42;16,96;13,19;16,96;13,19;1,88;16,96;5,65;3,77;7,54;5,65;11,31;3,77;9,42;27,00;31,00;4,00;45,00;18,00;22,00;4,00;13,00;4,00;9,00;4,00
2021-07-11;27,00;24,30;5,40;10,80;0,50;10,00;4,00;5,00;12,00;4,00;6,00;4,00;1,00;4,00;3,00;2,00;3,00;1,00;5,00;2,00;4,00;54,00;54,00;17,36;88,71;0,00;17,36;0,00;17,36;36,64;44,36;9,64
2021-07-18;100,00;125,00;37,50;37,50;2,27;31,82;22,73;27,27;40,91;27,27;31,82;13,64;2,27;22,73;18,18;9,09;13,64;4,55;18,18;18,18;22,73;30,00;35,00;20,00;35,00;10,00;10,00;5,00;0,00;10,00;20,00;0,00
2021-07-25;48,00;48,00;16,00;21,33;2,00;18,00;10,00;10,00;18,00;8,00;18,00;10,00;2,00;14,00;4,00;4,00;10,00;2,00;12,00;4,00;8,00;10,00;24,00;19,00;29,00;10,00;10,00;5,00;10,00;0,00;10,00;5,00
2021-08-01;65,00;92,86;27,86;27,86;1,71;23,95;17,11;23,95;23,95;13,68;20,53;13,68;3,42;23,95;13,68;6,84;17,11;6,84;27,37;6,84;17,11;25,00;25,00;20,00;30,00;10,00;30,00;15,00;15,00;15,00;10,00;0,00
2021-08-08;57,00;106,88;28,50;35,63;1,19;23,75;14,25;16,63;26,13;11,88;14,25;19,00;7,13;14,25;9,50;4,75;11,88;7,13;19,00;7,13;14,25;31,00;15,00;10,00;57,00;5,00;10,00;5,00;0,00;5,00;5,00;0,00
2021-08-15;25,00;46,88;12,50;15,63;0,57;12,50;10,23;9,09;13,64;4,55;12,50;5,68;2,27;5,68;4,55;2,27;5,68;3,41;7,95;3,41;6,82;25,00;25,00;0,00;44,00;25,00;5,00;5,00;5,00;15,00;5,00;5,00
2021-08-22;41,00;76,88;20,50;25,63;1,78;14,26;7,13;12,48;17,83;7,13;14,26;12,48;3,57;8,91;7,13;3,57;8,91;5,35;12,48;5,35;7,13;10,00;15,00;15,00;57,00;10,00;10,00;5,00;5,00;31,00;10,00;0,00
2021-08-29;100,00;187,50;62,50;50,00;2,27;45,45;27,27;45,45;50,00;27,27;50,00;31,82;9,09;27,27;27,27;4,55;18,18;13,64;54,55;22,73;31,82;20,00;20,00;35,00;15,00;20,00;5,00;0,00;0,00;0,00;10,00;0,00
2021-09-05;52,00;97,50;32,50;32,50;1,08;30,33;17,33;17,33;23,83;10,83;17,33;13,00;2,17;10,83;6,50;2,17;6,50;4,33;19,50;13,00;13,00;10,00;5,00;16,00;41,00;10,00;10,00;0,00;5,00;5,00;5,00;0,00
2021-09-12;46,00;82,80;18,40;18,40;0,79;20,62;11,10;15,86;12,69;11,10;26,97;6,34;3,17;7,93;6,34;3,17;6,34;3,17;11,10;4,76;9,52;10,00;15,00;5,00;15,00;15,00;15,00;5,00;0,00;10,00;0,00;5,00
2021-09-19;56,00;93,33;31,11;24,89;2,24;26,88;15,68;22,40;24,64;15,68;22,40;11,20;4,48;8,96;8,96;2,24;11,20;2,24;17,92;11,20;11,20;30,00;10,00;0,00;46,00;15,00;20,00;15,00;5,00;35,00;5,00;0,00
2021-09-26;49,00;84,64;17,82;22,27;0,79;17,39;9,48;17,39;20,55;11,06;18,97;12,65;3,16;9,48;9,48;3,16;6,32;3,16;14,23;6,32;11,06;15,00;29,00;0,00;29,00;15,00;5,00;0,00;0,00;10,00;0,00;5,00
2021-10-03;35,00;63,64;15,91;15,91;0,53;12,73;5,30;13,79;14,85;7,42;13,79;8,48;3,18;6,36;6,36;2,12;4,24;2,12;8,48;5,30;9,55;5,00;25,00;5,00;40,00;15,00;0,00;5,00;5,00;15,00;0,00;0,00
2021-10-10;32,00;61,09;14,55;17,45;0,00;14,00;8,00;13,00;12,00;5,00;17,00;8,00;2,00;4,00;5,00;1,00;6,00;2,00;10,00;4,00;8,00;10,67;21,33;42,67;130,13;32,00;10,67;21,33;10,67;0,00;21,33;0,00
2021-10-17;32,00;64,00;14,55;11,64;0,00;14,00;10,00;13,00;13,00;5,00;17,00;11,00;2,00;5,00;5,00;2,00;4,00;2,00;8,00;4,00;6,00;21,33;5,33;5,33;42,67;0,00;5,33;5,33;5,33;16,00;0,00;0,00
2021-10-24;40,00;97,78;31,11;22,22;0,80;25,60;12,80;20,80;22,40;9,60;20,80;14,40;1,60;8,00;9,60;4,80;9,60;3,20;12,80;4,80;9,60;5,00;10,00;10,00;25,00;5,00;0,00;0,00;5,00;10,00;0,00;0,00
