Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;27,00;135,00;132,55;54,00;71,18;66,91;0,00;55,17;90,39;66,27;122,73;110,45;36,82;57,60;59,40;37,80;14,40;24,00;45,00;27,00;51,00;11,00;64,00;13,00;21,00;0,00;3,00;48,00;5,00;8,00;5,00;0,00;0,00;8,00;3,00
2019-01-13;27,00;95,73;108,00;68,73;76,09;54,00;2,35;39,91;75,13;47,25;83,25;135,00;56,25;36,00;36,00;30,60;14,40;46,00;27,00;24,00;59,00;0,00;52,00;22,00;14,00;11,00;0,00;46,00;5,00;3,00;5,00;5,00;3,00;0,00;0,00
2019-01-20;24,00;122,40;139,20;57,60;96,00;61,71;0,00;61,71;83,43;48,00;103,20;144,00;33,60;46,29;51,43;65,14;15,43;35,00;40,00;19,00;51,00;8,00;24,00;24,00;19,00;13,00;3,00;54,00;3,00;0,00;3,00;3,00;0,00;5,00;0,00
2019-01-27;18,00;144,00;123,43;43,71;82,29;59,63;0,00;67,50;65,25;45,00;90,00;137,25;58,50;34,20;61,20;54,00;27,00;29,00;21,00;21,00;39,00;11,00;42,00;11,00;11,00;5,00;0,00;37,00;0,00;5,00;0,00;5,00;3,00;0,00;0,00
2019-02-03;19,00;140,13;125,88;26,13;64,13;68,88;0,00;60,56;52,25;68,88;92,63;161,50;68,88;43,18;62,18;34,55;29,36;44,00;33,00;14,00;53,00;14,00;56,00;8,00;14,00;22,00;3,00;61,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00
2019-02-10;6,00;189,00;171,00;81,00;111,00;61,20;2,40;73,20;61,20;42,00;81,00;156,00;60,00;32,00;56,00;40,00;22,00;22,00;44,00;11,00;39,00;17,00;42,00;8,00;17,00;8,00;0,00;36,00;6,00;0,00;8,00;0,00;6,00;0,00;6,00
2019-02-17;22,00;151,56;102,67;75,78;97,78;32,42;0,00;76,42;60,21;36,67;107,56;129,56;63,56;32,15;45,69;64,31;27,08;39,00;36,00;19,00;42,00;8,00;53,00;33,00;17,00;11,00;0,00;47,00;0,00;14,00;6,00;6,00;8,00;3,00;3,00
2019-02-24;36,00;115,20;98,40;50,40;81,60;72,00;0,00;74,40;61,20;40,80;86,40;117,60;62,40;55,80;84,60;34,20;19,80;27,00;36,00;25,00;25,00;3,00;66,00;14,00;8,00;11,00;0,00;38,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00
2019-03-03;11,00;143,00;118,25;60,50;110,00;69,67;11,00;75,78;107,56;63,25;121,00;176,00;74,25;38,50;67,83;40,33;29,33;26,00;63,00;26,00;37,00;13,00;68,00;24,00;21,00;5,00;0,00;37,00;0,00;8,00;8,00;5,00;10,00;3,00;0,00
2019-03-10;38,00;131,73;121,60;58,27;91,20;53,44;0,00;59,38;59,38;59,38;99,75;147,25;71,25;48,86;72,38;48,86;27,14;32,00;62,00;16,00;40,00;13,00;38,00;22,00;22,00;11,00;3,00;83,00;3,00;3,00;5,00;3,00;11,00;0,00;3,00
2019-03-17;41,00;120,59;62,71;84,41;62,71;67,94;2,34;41,00;62,09;54,67;66,06;159,44;50,11;30,30;64,17;49,91;24,96;36,00;36,00;30,00;38,00;14,00;36,00;19,00;6,00;5,00;0,00;55,00;8,00;3,00;3,00;3,00;16,00;0,00;3,00
2019-03-24;8,00;125,33;101,33;82,67;85,33;67,43;0,00;59,43;57,14;36,00;60,00;170,00;58,00;56,00;60,80;56,00;25,60;48,00;17,00;20,00;42,00;20,00;42,00;8,00;14,00;8,00;3,00;48,00;3,00;6,00;0,00;0,00;6,00;6,00;0,00
2019-03-31;36,00;136,80;110,40;69,60;88,80;69,60;0,00;50,40;94,80;62,40;79,20;168,00;74,40;64,80;66,60;55,80;30,60;41,00;30,00;19,00;33,00;22,00;50,00;8,00;11,00;5,00;3,00;49,00;0,00;8,00;8,00;5,00;14,00;0,00;5,00
2019-04-07;28,00;198,55;119,64;78,91;119,64;88,67;2,33;73,50;82,83;56,00;114,33;170,33;63,00;40,25;91,00;57,75;33,25;41,00;28,00;41,00;64,00;18,00;59,00;23,00;15,00;8,00;8,00;64,00;5,00;5,00;3,00;3,00;10,00;8,00;5,00
2019-04-14;58,00;249,65;123,57;98,35;153,83;95,88;0,00;68,65;89,96;87,00;89,42;241,67;87,00;42,18;140,61;54,48;50,97;54,00;39,00;60,00;51,00;21,00;73,00;12,00;30,00;12,00;6,00;63,00;12,00;12,00;6,00;6,00;24,00;9,00;9,00
2019-04-21;55,00;115,00;140,00;55,00;145,00;74,89;3,51;80,74;99,47;64,57;124,35;155,43;86,09;72,74;76,29;76,29;42,58;27,00;58,00;40,00;43,00;18,00;73,00;21,00;21,00;18,00;9,00;79,00;0,00;0,00;3,00;6,00;9,00;3,00;3,00
2019-04-28;32,00;137,85;110,77;59,08;108,31;71,11;2,37;66,37;68,74;61,71;64,00;155,43;73,14;48,00;60,44;48,00;32,00;45,00;26,00;18,00;37,00;13,00;58,00;26,00;24,00;13,00;3,00;71,00;8,00;3,00;3,00;0,00;13,00;0,00;5,00
2019-05-05;35,00;165,00;120,00;57,50;130,00;62,76;0,00;70,00;62,76;35,00;70,00;123,67;58,33;47,25;94,50;57,75;35,00;37,00;19,00;37,00;69,00;19,00;35,00;8,00;16,00;11,00;0,00;77,00;5,00;5,00;3,00;5,00;5,00;3,00;8,00
2019-05-12;38,00;136,80;106,40;38,00;101,33;118,75;2,38;76,00;91,44;40,38;66,50;213,75;49,88;68,76;104,95;72,38;25,33;27,00;30,00;32,00;43,00;13,00;35,00;16,00;16,00;13,00;3,00;65,00;5,00;0,00;3,00;0,00;3,00;0,00;0,00
2019-05-19;29,00;123,25;99,08;55,58;106,33;81,20;10,44;49,88;81,20;38,67;67,67;154,67;45,92;40,94;87,00;49,47;34,12;16,00;27,00;29,00;51,00;13,00;56,00;21,00;21,00;8,00;0,00;45,00;3,00;0,00;3,00;0,00;11,00;8,00;0,00
2019-05-26;43,00;140,94;124,22;47,78;105,11;67,41;0,00;61,59;67,41;57,33;78,83;200,67;62,11;93,17;84,21;66,29;50,17;20,00;34,00;40,00;34,00;11,00;58,00;32,00;12,00;3,00;3,00;57,00;14,00;9,00;0,00;0,00;29,00;6,00;0,00
