Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;100,00;65,06;22,89;70,00;0,00;13,00;33,00;21,00;17,00;20,00;18,00;25,00;27,00;1,00;4,00;17,00;5,00;7,00;2,00;9,00;8,00;5,00;3,00;5,00;1,00;7,00;3,00;2,00;2,00;0,00;1,00;0,00;0,00
2019-01-13;94,00;62,67;19,28;69,00;1,00;13,00;29,00;21,00;16,00;21,00;21,00;22,00;26,00;1,00;4,00;18,00;3,00;7,00;3,00;8,00;7,00;8,00;5,00;4,00;1,00;6,00;3,00;1,00;1,00;0,50;1,00;0,50;0,00
2019-01-20;90,00;48,00;21,60;71,00;1,00;8,00;33,00;24,00;13,00;20,00;24,00;21,00;20,00;2,00;6,00;17,00;3,00;4,00;2,00;9,00;9,00;1,00;4,00;3,00;0,50;2,00;3,00;1,00;2,00;0,00;1,00;0,00;0,00
2019-01-27;100,00;58,33;20,24;68,00;0,50;13,00;29,00;21,00;15,00;17,00;24,00;22,00;22,00;0,50;6,00;17,00;2,00;7,00;2,00;6,00;10,00;4,00;5,00;4,00;0,50;5,00;3,00;1,00;1,00;1,00;0,00;0,00;1,00
2019-02-03;92,00;58,55;17,92;56,00;0,50;12,00;39,00;21,00;18,00;21,00;24,00;17,00;23,00;1,00;4,00;16,00;4,00;6,00;3,00;6,00;9,00;2,00;5,00;1,00;0,00;3,00;4,00;1,00;2,00;0,50;1,00;0,00;0,00
2019-02-10;77,00;57,75;15,64;48,00;0,00;16,00;28,00;22,00;20,00;19,00;25,00;24,00;19,00;1,00;6,00;17,00;3,00;6,00;3,00;7,00;10,00;3,00;4,00;1,00;1,00;4,00;1,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-02-17;72,00;60,00;16,80;51,00;1,00;18,00;32,00;18,00;17,00;19,00;23,00;26,00;20,00;3,00;7,00;13,00;3,00;8,00;1,00;7,00;6,00;2,00;5,00;2,00;1,00;3,00;2,00;1,00;4,00;1,00;2,00;1,00;0,50
2019-02-24;88,00;60,27;19,29;58,00;0,50;19,00;34,00;20,00;15,00;22,00;22,00;27,00;26,00;1,00;4,00;16,00;3,00;8,00;3,00;6,00;9,00;4,00;4,00;4,00;1,00;4,00;4,00;1,00;1,00;1,00;1,00;0,50;0,50
2019-03-03;79,00;59,85;15,56;57,00;1,00;13,00;29,00;18,00;11,00;22,00;21,00;29,00;28,00;1,00;6,00;18,00;1,00;8,00;4,00;6,00;7,00;3,00;4,00;1,00;1,00;3,00;2,00;0,50;2,00;1,00;3,00;0,00;0,00
2019-03-10;78,00;56,40;16,80;58,00;0,50;15,00;37,00;17,00;14,00;18,00;18,00;23,00;23,00;2,00;4,00;14,00;2,00;6,00;3,00;6,00;9,00;3,00;6,00;2,00;1,00;5,00;5,00;2,00;2,00;0,50;0,50;1,00;0,50
2019-03-17;74,00;48,94;19,10;50,00;0,00;14,00;28,00;20,00;19,00;22,00;21,00;22,00;25,00;3,00;5,00;18,00;4,00;7,00;2,00;8,00;9,00;4,00;6,00;0,50;0,50;5,00;3,00;1,00;2,00;0,50;1,00;0,50;0,00
2019-03-24;80,00;70,45;16,72;46,00;0,50;21,00;33,00;26,00;14,00;17,00;19,00;22,00;25,00;3,00;7,00;21,00;2,00;10,00;4,00;9,00;6,00;4,00;4,00;2,00;0,50;2,00;3,00;2,00;3,00;0,50;2,00;0,00;0,00
2019-03-31;78,00;57,60;16,80;61,00;1,00;15,00;31,00;22,00;18,00;25,00;22,00;21,00;27,00;3,00;8,00;19,00;3,00;5,00;5,00;6,00;9,00;3,00;6,00;2,00;1,00;5,00;2,00;1,00;3,00;1,00;1,00;0,00;1,00
2019-04-07;95,00;57,72;19,24;57,00;0,50;19,00;33,00;17,00;15,00;22,00;21,00;25,00;19,00;2,00;9,00;15,00;3,00;7,00;4,00;5,00;8,00;4,00;5,00;4,00;1,00;4,00;4,00;1,00;2,00;1,00;0,50;0,50;1,00
2019-04-14;73,00;119,67;17,95;64,00;1,00;25,00;30,00;17,00;16,00;20,00;20,00;21,00;22,00;3,00;5,00;18,00;3,00;4,00;4,00;7,00;8,00;2,00;11,00;2,00;2,00;3,00;2,00;2,00;3,00;1,00;1,00;0,00;0,50
2019-04-21;67,00;44,27;15,55;57,00;0,00;15,00;23,00;12,00;19,00;15,00;26,00;19,00;20,00;4,00;4,00;15,00;2,00;6,00;4,00;6,00;8,00;3,00;5,00;3,00;3,00;6,00;3,00;1,00;3,00;0,00;1,00;0,00;0,50
2019-04-28;64,00;48,30;10,87;50,00;1,00;15,00;24,00;16,00;12,00;19,00;22,00;20,00;19,00;2,00;4,00;16,00;2,00;5,00;4,00;6,00;6,00;5,00;3,00;3,00;2,00;3,00;2,00;1,00;2,00;0,50;1,00;0,50;0,00
2019-05-05;66,00;57,60;15,60;53,00;0,50;17,00;25,00;21,00;15,00;20,00;18,00;26,00;21,00;3,00;8,00;13,00;5,00;9,00;4,00;9,00;5,00;5,00;6,00;3,00;1,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50;0,00
2019-05-12;63,00;54,68;14,26;59,00;0,00;15,00;26,00;17,00;14,00;21,00;20,00;21,00;20,00;1,00;7,00;13,00;5,00;7,00;3,00;7,00;7,00;3,00;6,00;4,00;1,00;6,00;2,00;1,00;3,00;1,00;2,00;0,00;0,50
2019-05-19;69,00;54,72;11,90;60,00;1,00;19,00;32,00;15,00;18,00;16,00;20,00;24,00;18,00;2,00;8,00;19,00;2,00;8,00;4,00;7,00;10,00;5,00;2,00;5,00;2,00;5,00;3,00;1,00;3,00;1,00;2,00;0,00;0,50
2019-05-26;68,00;52,21;14,57;45,00;1,00;16,00;26,00;21,00;13,00;16,00;24,00;18,00;19,00;2,00;7,00;16,00;3,00;6,00;2,00;5,00;9,00;4,00;2,00;3,00;2,00;3,00;4,00;2,00;3,00;1,00;2,00;0,00;0,50
2019-06-02;74,00;51,32;16,71;57,00;1,00;19,00;23,00;17,00;13,00;21,00;21,00;39,00;19,00;3,00;8,00;17,00;1,00;9,00;4,00;8,00;9,00;3,00;5,00;2,00;1,00;4,00;3,00;1,00;3,00;1,00;2,00;0,00;1,00
2019-06-09;76,00;57,00;13,06;50,00;0,00;20,00;25,00;20,00;15,00;26,00;21,00;26,00;22,00;5,00;7,00;17,00;2,00;9,00;3,00;9,00;10,00;5,00;5,00;3,00;2,00;4,00;3,00;3,00;3,00;1,00;1,00;0,00;0,50
2019-06-16;74,00;52,52;15,52;52,00;1,00;14,00;27,00;21,00;18,00;15,00;23,00;27,00;26,00;4,00;8,00;19,00;4,00;7,00;5,00;9,00;6,00;4,00;7,00;2,00;1,00;4,00;4,00;1,00;3,00;1,00;1,00;0,00;0,00
2019-06-23;68,00;55,86;17,00;45,00;1,00;20,00;30,00;24,00;15,00;19,00;17,00;20,00;25,00;3,00;8,00;22,00;2,00;8,00;5,00;7,00;10,00;5,00;7,00;4,00;3,00;7,00;4,00;2,00;3,00;1,00;1,00;1,00;1,00
2019-06-30;74,00;62,06;19,10;54,00;1,00;17,00;34,00;18,00;17,00;20,00;23,00;25,00;21,00;6,00;6,00;22,00;5,00;8,00;5,00;9,00;12,00;4,00;7,00;5,00;2,00;2,00;4,00;4,00;3,00;0,00;1,00;0,00;0,50
2019-07-07;83,00;54,54;20,16;59,00;1,00;19,00;38,00;26,00;16,00;20,00;29,00;31,00;26,00;3,00;6,00;20,00;5,00;9,00;5,00;9,00;13,00;6,00;8,00;4,00;2,00;4,00;5,00;2,00;2,00;1,00;2,00;0,50;1,00
2019-07-14;74,00;59,68;15,52;57,00;0,50;19,00;37,00;24,00;20,00;23,00;32,00;25,00;23,00;3,00;9,00;22,00;3,00;7,00;6,00;10,00;12,00;3,00;6,00;4,00;2,00;3,00;6,00;3,00;6,00;1,00;1,00;1,00;2,00
2019-07-21;76,00;61,75;21,38;51,00;2,00;27,00;37,00;21,00;14,00;28,00;21,00;25,00;24,00;2,00;10,00;21,00;1,00;9,00;3,00;10,00;12,00;5,00;4,00;5,00;1,00;7,00;6,00;3,00;2,00;0,50;1,00;0,00;0,00
2019-07-28;89,00;66,15;21,65;54,00;1,00;25,00;37,00;23,00;12,00;25,00;28,00;30,00;30,00;2,00;8,00;21,00;3,00;9,00;7,00;10,00;15,00;4,00;5,00;3,00;2,00;4,00;6,00;2,00;3,00;1,00;2,00;0,00;0,00
2019-08-04;86,00;68,08;21,50;66,00;2,00;27,00;41,00;19,00;18,00;24,00;33,00;34,00;31,00;4,00;7,00;21,00;5,00;9,00;7,00;12,00;15,00;5,00;9,00;5,00;3,00;6,00;4,00;3,00;5,00;2,00;2,00;0,50;1,00
