Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;56,00;0,00;28,00;13,48;13,48;73,68;17,68;0,00;14,00;56,00;7,00;0,00;5,00;0,00;0,00;14,00;0,00;33,00;0,00;0,00;10,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;4,00;13,00;4,10;44,10;157,14;17,14;6,67;26,67;33,33;0,00;4,00;9,00;0,00;4,00;9,00;4,00;27,00;13,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;34,00;0,00;17,00;0,00;38,12;102,00;42,50;6,80;27,20;68,00;13,60;0,00;4,00;4,00;0,00;9,00;9,00;21,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;22,00;4,00;35,00;8,38;8,38;144,57;59,71;0,00;44,00;58,67;0,00;0,00;9,00;0,00;0,00;4,00;0,00;52,00;22,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;27,00;0,00;18,00;9,35;9,35;114,00;27,00;13,50;20,25;47,25;6,75;9,00;13,00;9,00;0,00;13,00;18,00;27,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;0,00;0,00;31,00;0,00;22,00;37,00;11,00;1,00;4,00;10,00;1,00;13,00;9,00;0,00;0,00;27,00;9,00;18,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;0,00;0,00;0,00;9,41;135,13;23,00;7,67;38,33;107,33;23,00;5,00;5,00;14,00;5,00;9,00;14,00;32,00;5,00;0,00;9,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;58,00;9,00;18,00;0,00;40,39;142,10;23,20;21,75;29,00;58,00;0,00;4,00;9,00;0,00;0,00;27,00;9,00;40,00;4,00;0,00;3,87;0,00;9,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-03-03;41,00;18,00;23,00;4,10;26,65;137,64;32,21;0,00;34,17;47,83;0,00;14,00;5,00;9,00;5,00;14,00;0,00;32,00;5,00;0,00;3,90;3,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2019-03-10;42,00;14,00;18,00;0,00;47,25;114,00;18,00;7,00;63,00;63,00;0,00;14,00;0,00;5,00;0,00;28,00;9,00;32,00;19,00;4,00;0,00;0,00;0,00;9,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;51,00;0,00;32,00;9,37;37,47;180,00;27,00;0,00;36,43;102,00;7,29;5,00;14,00;5,00;5,00;23,00;5,00;37,00;14,00;0,00;9,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-03-24;37,00;0,00;18,00;18,50;50,36;213,46;31,31;0,00;44,40;103,60;7,40;0,00;14,00;9,00;0,00;5,00;0,00;69,00;9,00;0,00;3,89;0,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
