Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;20,00;172,00;236,00;196,00;188,00;148,89;0,00;80,00;102,22;168,00;72,00;128,00;70,00;100,00;115,00;30,00;58,75;86,25;5,00;11,00;38,00;33,00;2,00;16,00;0,00;5,00;1,00;0,00;1,00;5,00;2,00;0,00
2019-01-13;30,00;150,00;213,75;153,75;191,25;122,14;4,29;70,71;109,29;167,14;51,43;137,14;78,00;132,00;144,00;60,00;50,87;87,39;19,57;15,00;47,00;27,00;7,00;7,00;0,00;5,00;5,00;1,00;1,00;7,00;1,00;0,00
2019-01-20;24,00;144,00;195,43;130,29;171,43;106,91;1,09;69,82;85,09;160,00;52,00;116,00;90,00;132,00;126,00;66,00;64,42;103,58;7,58;5,00;42,00;32,00;5,00;21,00;3,00;7,00;5,00;7,00;4,00;6,00;2,00;0,00
2019-01-27;29,00;130,50;213,88;148,63;134,13;82,86;1,04;89,07;93,21;174,00;66,29;136,71;58,00;110,20;145,00;63,80;42,87;85,74;3,78;16,00;51,00;21,00;8,00;15,00;0,00;8,00;7,00;4,00;0,00;7,00;2,00;2,00
2019-02-03;21,00;143,50;185,50;171,50;129,50;69,30;2,10;81,90;92,40;172,20;63,00;142,80;57,75;131,25;126,00;57,75;55,13;81,38;6,56;10,00;35,00;26,00;7,00;7,00;5,00;3,00;1,00;3,00;2,00;8,00;0,00;0,00
2019-02-10;29,00;174,00;195,75;152,25;126,88;87,00;0,00;80,31;98,15;169,86;58,00;145,00;92,80;133,40;133,40;52,20;46,14;76,45;9,23;5,00;37,00;42,00;10,00;11,00;3,00;2,00;4,00;0,00;2,00;6,00;0,00;0,00
2019-02-17;19,00;174,80;212,80;174,80;152,00;82,33;0,00;69,67;124,56;209,00;80,75;166,25;69,67;152,00;120,33;76,00;51,93;78,53;3,80;8,00;37,00;22,00;5,00;10,00;3,00;5,00;3,00;2,00;4,00;9,00;1,00;0,00
2019-02-24;24,00;180,00;224,00;232,00;156,00;87,27;1,09;80,73;111,27;180,00;76,00;140,00;102,00;144,00;132,00;78,00;41,68;74,53;5,05;17,00;36,00;30,00;7,00;8,00;1,00;5,00;4,00;3,00;3,00;6,00;0,00;1,00
2019-03-03;28,00;161,00;199,50;192,50;126,00;88,31;4,31;73,23;127,08;261,33;79,33;149,33;89,60;151,20;128,80;78,40;57,27;90,36;6,36;11,00;30,00;40,00;7,00;12,00;2,00;5,00;2,00;9,00;2,00;8,00;1,00;0,00
2019-03-10;33,00;209,00;212,67;194,33;146,67;92,81;4,13;76,31;154,69;189,75;103,13;156,75;88,00;143,00;132,00;71,50;48,23;87,58;5,08;9,00;44,00;28,00;11,00;17,00;2,00;8,00;3,00;4,00;1,00;7,00;3,00;2,00
