Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;19,00;2,11;211,11;107,67;0,00;15,00
2019-01-13;12,00;2,00;170,00;90,00;1,00;14,00
2019-01-20;12,00;1,00;160,00;82,00;2,00;15,00
2019-01-27;13,00;1,08;143,00;91,00;1,08;12,00
2019-02-03;12,00;2,40;160,80;91,20;2,40;15,00
2019-02-10;9,00;2,25;144,00;101,25;2,25;12,00
2019-02-17;13,00;2,17;121,33;88,83;0,00;9,00
2019-02-24;11,00;4,40;134,20;85,80;1,10;17,00
2019-03-03;15,00;6,43;145,71;85,71;0,00;15,00
2019-03-10;12,00;1,00;126,00;78,00;0,00;9,00
2019-03-17;17,00;4,25;127,50;93,50;1,06;12,00
2019-03-24;11,00;2,20;127,60;88,00;0,00;12,00
2019-03-31;12,00;2,40;124,80;93,60;1,20;10,00
2019-04-07;10,00;4,00;130,00;80,00;1,00;12,00
2019-04-14;10,00;2,50;120,00;97,50;1,25;16,00
2019-04-21;11,00;2,20;145,20;72,60;1,10;12,00
2019-04-28;11,00;1,10;134,20;77,00;0,00;8,00
2019-05-05;17,00;1,06;106,25;74,38;1,06;18,00
2019-05-12;7,00;2,33;135,33;88,67;1,17;12,00
2019-05-19;10,00;2,50;150,00;97,50;2,50;15,00
2019-05-26;15,00;1,07;132,86;64,29;0,00;12,00
2019-06-02;16,00;2,29;137,14;86,86;2,29;11,00
2019-06-09;18,00;1,13;159,75;78,75;2,25;12,00
2019-06-16;14,00;2,33;128,33;95,67;0,00;12,00
2019-06-23;16,00;2,29;116,57;89,14;1,14;11,00
2019-06-30;9,00;0,00;123,75;94,50;1,13;14,00
2019-07-07;13,00;2,17;132,17;75,83;2,17;25,00
2019-07-14;10,00;2,00;122,00;74,00;2,00;8,00
2019-07-21;11,00;2,20;136,40;92,40;2,20;14,00
2019-07-28;11,00;2,20;143,00;101,20;1,10;17,00
2019-08-04;41,00;1,08;146,74;88,47;1,08;9,00
2019-08-11;13,00;1,08;138,67;93,17;2,17;12,00
2019-08-18;17,00;4,25;136,00;78,63;2,13;15,00
2019-08-25;11,00;1,10;143,00;90,20;0,00;9,00
2019-09-01;14,00;2,00;124,00;84,00;1,00;13,00
2019-09-08;17,00;2,13;153,00;95,63;1,06;17,00
2019-09-15;16,00;2,29;150,86;89,14;4,57;11,00
2019-09-22;13,00;2,17;145,17;80,17;2,17;14,00
2019-09-29;17,00;4,25;125,38;82,88;0,00;12,00
2019-10-06;13,00;4,33;134,33;88,83;1,08;11,00
2019-10-13;9,00;4,50;123,75;96,75;1,13;10,00
2019-10-20;11,00;6,60;114,40;77,00;1,10;12,00
2019-10-27;11,00;1,10;107,80;77,00;2,20;13,00
2019-11-03;52,00;2,17;123,50;80,17;0,00;11,00
2019-11-10;18,00;1,13;135,00;63,00;2,25;9,00
2019-11-17;13,00;4,33;95,33;73,67;2,17;12,00
2019-11-24;11,00;2,20;114,40;61,60;2,20;10,00
2019-12-01;9,00;2,25;103,50;69,75;1,13;7,00
2019-12-08;13,00;4,33;88,83;58,50;2,17;9,00
2019-12-15;12,00;2,00;86,00;68,00;2,00;12,00
2019-12-22;14,00;2,33;151,67;88,67;2,33;17,00
2019-12-29;12,00;2,40;211,20;108,00;2,40;31,00
2020-01-05;16,00;4,00;178,00;98,00;2,00;19,00
2020-01-12;21,00;2,10;184,80;102,90;2,10;15,00
2020-01-19;16,00;2,29;182,86;109,71;2,29;16,00
2020-01-26;12,00;4,00;152,00;94,00;2,00;13,00
2020-02-02;12,00;2,40;153,60;105,60;2,40;14,00
2020-02-09;12,00;2,40;151,20;91,20;1,20;15,00
2020-02-16;11,00;4,40;143,00;96,80;2,20;13,00
2020-02-23;11,00;4,40;121,00;77,00;0,00;12,00
2020-03-01;12,00;4,00;90,00;74,00;2,00;9,00
2020-03-08;18,00;2,25;101,25;83,25;1,13;9,00
2020-03-15;8,00;6,00;84,00;74,00;1,00;8,00
2020-03-22;13,00;6,50;49,83;49,83;2,17;6,00
2020-03-29;11,00;6,60;44,00;52,80;1,10;8,00
2020-04-05;12,00;2,40;72,00;64,80;1,20;6,00
2020-04-12;13,00;2,17;132,17;56,33;1,08;12,00
2020-04-19;10,00;4,00;58,00;56,00;0,00;8,00
2020-04-26;9,00;2,25;58,50;47,25;1,13;8,00
2020-05-03;8,00;6,00;44,00;44,00;0,00;9,00
2020-05-10;8,00;4,00;52,00;40,00;1,00;8,00
2020-05-17;8,00;2,00;48,00;46,00;1,00;6,00
2020-05-24;9,00;2,25;58,50;56,25;0,00;3,00
2020-05-31;10,00;4,00;56,00;42,00;1,00;10,00
2020-06-07;7,00;2,33;53,67;53,67;2,33;8,00
2020-06-14;12,00;6,00;42,00;44,00;1,00;7,00
2020-06-21;7,00;4,67;65,33;58,33;2,33;5,00
2020-06-28;18,00;4,50;69,75;54,00;1,13;4,00
2020-07-05;15,00;4,29;68,57;51,43;2,14;7,00
2020-07-12;12,00;2,00;60,00;50,00;1,00;7,00
2020-07-19;10,00;2,00;64,00;38,00;1,00;4,00
2020-07-26;9,00;2,25;58,50;60,75;2,25;6,00
2020-08-02;13,00;2,17;75,83;52,00;2,17;6,00
2020-08-09;14,00;4,67;102,67;60,67;1,17;7,00
2020-08-16;13,00;4,33;73,67;54,17;2,17;9,00
2020-08-23;10,00;1,00;60,00;54,00;2,00;6,00
