Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;100,00;4,00;47,00;5,00;0,00
2019-01-13;32,00;9,00;39,00;0,00;13,00
2019-01-20;46,00;22,00;52,00;9,00;13,00
2019-01-27;22,00;9,00;42,00;4,00;8,00
2019-02-03;42,00;40,00;49,00;0,00;4,00
2019-02-10;38,00;14,00;45,00;0,00;9,00
2019-02-17;33,00;9,00;45,00;5,00;4,00
2019-02-24;19,00;9,00;44,00;14,00;4,00
2019-03-03;36,00;8,00;54,00;4,00;8,00
2019-03-10;23,00;26,00;34,00;9,00;0,00
2019-03-17;42,00;0,00;71,00;5,00;9,00
2019-03-24;23,00;9,00;40,00;0,00;4,00
2019-03-31;56,00;4,00;31,00;0,00;4,00
2019-04-07;22,00;0,00;33,00;4,00;0,00
2019-04-14;36,00;0,00;19,00;5,00;0,00
2019-04-21;41,00;10,00;63,00;0,00;0,00
2019-04-28;49,00;0,00;51,00;0,00;17,00
2019-05-05;18,00;9,00;34,00;14,00;4,00
2019-05-12;37,00;4,00;52,00;5,00;0,00
2019-05-19;28,00;4,00;56,00;0,00;0,00
2019-05-26;40,00;5,00;42,00;0,00;0,00
2019-06-02;32,00;4,00;52,00;0,00;0,00
2019-06-09;37,00;9,00;26,00;0,00;4,00
2019-06-16;33,00;0,00;40,00;14,00;9,00
2019-06-23;25,00;0,00;28,00;10,00;0,00
2019-06-30;39,00;0,00;45,00;14,00;13,00
2019-07-07;40,00;5,00;56,00;15,00;0,00
2019-07-14;21,00;25,00;25,00;5,00;5,00
2019-07-21;28,00;11,00;32,00;6,00;10,00
2019-07-28;46,00;5,00;38,00;6,00;5,00
2019-08-04;37,00;15,00;50,00;5,00;15,00
2019-08-11;78,00;9,00;32,00;0,00;9,00
2019-08-18;33,00;13,00;31,00;5,00;0,00
2019-08-25;47,00;0,00;75,00;9,00;4,00
2019-09-01;36,00;4,00;29,00;4,00;0,00
2019-09-08;60,00;0,00;65,00;9,00;0,00
2019-09-15;37,00;9,00;44,00;9,00;0,00
2019-09-22;69,00;4,00;61,00;18,00;4,00
2019-09-29;28,00;9,00;35,00;0,00;13,00
2019-10-06;42,00;4,00;53,00;5,00;9,00
2019-10-13;23,00;13,00;30,00;9,00;4,00
2019-10-20;22,00;8,00;42,00;4,00;8,00
2019-10-27;26,00;12,00;25,00;0,00;0,00
2019-11-03;44,00;4,00;33,00;4,00;4,00
2019-11-10;44,00;8,00;62,00;4,00;17,00
2019-11-17;39,00;8,00;62,00;0,00;4,00
2019-11-24;30,00;12,00;32,00;9,00;4,00
2019-12-01;18,00;9,00;38,00;9,00;0,00
2019-12-08;44,00;17,00;49,00;4,00;4,00
2019-12-15;72,00;9,00;38,00;4,00;4,00
2019-12-22;43,00;20,00;30,00;0,00;0,00
2019-12-29;78,00;35,00;63,00;0,00;5,00
2020-01-05;47,00;4,00;52,00;0,00;8,00
2020-01-12;58,00;12,00;39,00;0,00;8,00
2020-01-19;67,00;16,00;55,00;0,00;12,00
2020-01-26;42,00;8,00;52,00;0,00;12,00
2020-02-02;59,00;36,00;51,00;4,00;4,00
2020-02-09;51,00;8,00;40,00;8,00;0,00
2020-02-16;34,00;16,00;44,00;4,00;4,00
2020-02-23;45,00;0,00;42,00;4,00;4,00
2020-03-01;29,00;0,00;19,00;0,00;0,00
2020-03-08;31,00;4,00;29,00;20,00;4,00
2020-03-15;43,00;8,00;41,00;8,00;0,00
2020-03-22;34,00;7,00;18,00;0,00;0,00
2020-03-29;39,00;15,00;36,00;8,00;14,00
2020-04-05;41,00;12,00;51,00;8,00;12,00
2020-04-12;21,00;8,00;23,00;0,00;16,00
2020-04-19;23,00;0,00;29,00;4,00;7,00
2020-04-26;34,00;4,00;43,00;4,00;4,00
2020-05-03;35,00;4,00;7,00;0,00;7,00
2020-05-10;12,00;11,00;36,00;4,00;7,00
2020-05-17;21,00;4,00;39,00;0,00;4,00
2020-05-24;32,00;0,00;27,00;0,00;4,00
2020-05-31;4,00;4,00;30,00;8,00;11,00
2020-06-07;27,00;4,00;25,00;0,00;0,00
2020-06-14;48,00;15,00;26,00;4,00;0,00
2020-06-21;34,00;12,00;20,00;0,00;0,00
2020-06-28;29,00;4,00;31,00;0,00;4,00
2020-07-05;39,00;0,00;16,00;0,00;4,00
2020-07-12;40,00;4,00;29,00;0,00;0,00
2020-07-19;51,00;9,00;17,00;0,00;0,00
2020-07-26;32,00;4,00;17,00;5,00;9,00
2020-08-02;36,00;9,00;21,00;4,00;13,00
2020-08-09;26,00;4,00;32,00;9,00;16,00
2020-08-16;29,00;4,00;31,00;8,00;4,00
2020-08-23;29,00;4,00;46,00;0,00;4,00
2020-08-30;51,00;8,00;20,00;0,00;8,00
2020-09-06;35,00;8,00;27,00;0,00;4,00
2020-09-13;23,00;0,00;0,00;8,00;0,00
2020-09-20;38,00;4,00;15,00;4,00;0,00
2020-09-27;39,00;8,00;32,00;4,00;4,00
2020-10-04;40,00;16,00;53,00;8,00;4,00
2020-10-11;21,00;12,00;8,00;0,00;0,00
2020-10-18;8,00;4,00;37,00;4,00;4,00
2020-10-25;31,00;12,00;8,00;0,00;0,00
2020-11-01;15,00;0,00;15,00;0,00;7,00
2020-11-08;20,00;8,00;40,00;8,00;12,00
2020-11-15;48,00;8,00;32,00;8,00;4,00
2020-11-22;31,00;19,00;12,00;0,00;4,00
2020-11-29;23,00;0,00;20,00;8,00;0,00
2020-12-06;23,00;0,00;31,00;0,00;0,00
2020-12-13;20,00;0,00;24,00;0,00;0,00
2020-12-20;36,00;5,00;27,00;5,00;5,00
2020-12-27;23,00;5,00;18,00;0,00;5,00
2021-01-03;39,00;8,00;16,00;0,00;0,00
2021-01-10;39,00;8,00;8,00;8,00;8,00
2021-01-17;43,00;8,00;28,00;0,00;0,00
2021-01-24;39,00;0,00;27,00;8,00;4,00
2021-01-31;23,00;0,00;31,00;0,00;4,00
2021-02-07;27,00;16,00;27,00;4,00;4,00
2021-02-14;24,00;12,00;24,00;0,00;0,00
2021-02-21;20,00;12,00;37,00;8,00;0,00
2021-02-28;39,00;0,00;8,00;8,00;4,00
2021-03-07;35,00;8,00;31,00;4,00;4,00
2021-03-14;22,00;0,00;7,00;0,00;0,00
2021-03-21;39,00;0,00;28,00;0,00;0,00
2021-03-28;30,00;4,00;9,00;0,00;0,00
2021-04-04;29,00;8,00;13,00;0,00;0,00
2021-04-11;35,00;8,00;16,00;0,00;0,00
2021-04-18;28,00;12,00;28,00;4,00;0,00
2021-04-25;23,00;4,00;28,00;0,00;0,00
2021-05-02;12,00;12,00;20,00;0,00;0,00
2021-05-09;20,00;8,00;25,00;0,00;0,00
2021-05-16;47,00;0,00;12,00;8,00;0,00
2021-05-23;41,00;8,00;12,00;4,00;4,00
2021-05-30;20,00;0,00;20,00;0,00;4,00
2021-06-06;32,00;4,00;0,00;0,00;8,00
2021-06-13;37,00;4,00;37,00;0,00;8,00
2021-06-20;64,00;8,00;20,00;0,00;0,00
2021-06-27;52,00;8,00;24,00;4,00;0,00
2021-07-04;51,00;8,00;30,00;4,00;0,00
2021-07-11;47,00;0,00;39,00;4,00;0,00
2021-07-18;39,00;5,00;20,00;10,00;10,00
2021-07-25;28,00;0,00;79,00;0,00;5,00
2021-08-01;56,00;5,00;23,00;9,00;5,00
