Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;58,00;6,00;4,00;14,00;9,00;8,00;1,00;15,00;3,00;7,91;2,64;42,18;36,91;45,00;0,00;11,00;9,00;2,32;0,00;104,40;0,00;0,00;5,00;1,00;4,00;1,00;0,00;1,00;4,00;5,00;19,00;3,00;4,00;1,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;4,00;0,00;8,00;13,00;3,00;1,00;10,00;3,00;2,64;1,32;18,45;36,91;8,00;1,00;4,00;5,00;4,46;0,00;69,15;2,23;0,00;6,00;3,00;4,00;0,00;0,00;1,00;0,00;3,00;15,00;1,00;4,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;51,00;5,00;2,00;6,00;9,00;2,00;5,00;5,00;0,00;0,00;1,28;7,65;20,40;4,00;0,00;2,00;5,00;2,32;2,32;111,27;2,32;0,00;5,00;0,00;4,00;2,00;0,00;1,00;1,00;5,00;15,00;2,00;10,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;23,00;4,00;4,00;8,00;6,00;1,00;1,00;5,00;1,00;1,28;0,00;7,67;28,11;2,00;0,00;1,00;6,00;0,00;2,30;96,60;2,30;0,00;0,00;0,00;6,00;1,00;0,00;2,00;2,00;2,00;16,00;0,00;10,00;2,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;35,00;3,00;6,00;6,00;6,00;0,00;1,00;5,00;0,00;1,35;0,00;8,08;24,23;4,00;2,00;6,00;2,00;2,33;0,00;63,00;0,00;1,00;3,00;0,00;9,00;0,00;2,00;0,00;4,00;2,00;4,00;0,00;12,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;36,00;3,00;9,00;13,00;6,00;3,00;3,00;4,00;1,00;1,29;1,29;5,14;28,29;3,00;4,00;9,00;1,00;2,40;0,00;84,00;0,00;3,00;5,00;0,00;6,00;1,00;1,00;0,00;1,00;3,00;3,00;3,00;4,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;24,00;7,00;5,00;8,00;6,00;1,00;3,00;4,00;0,00;2,67;0,00;13,33;26,67;3,00;3,00;8,00;1,00;4,36;2,18;80,73;0,00;0,00;5,00;3,00;6,00;1,00;0,00;6,00;0,00;4,00;6,00;1,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;5,00;9,00;9,00;13,00;0,00;0,00;4,00;0,00;2,69;1,35;5,38;32,31;1,00;0,00;11,00;4,00;2,33;0,00;88,67;2,33;0,00;6,00;3,00;6,00;1,00;1,00;1,00;0,00;1,00;6,00;4,00;3,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;1,00;0,00
2019-03-03;46,00;13,00;4,00;8,00;8,00;1,00;1,00;4,00;1,00;0,00;2,71;10,82;29,76;3,00;1,00;5,00;4,00;2,30;2,30;73,60;2,30;0,00;1,00;0,00;5,00;0,00;3,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;9,00;0,00;0,00;0,00;0,00
2019-03-10;35,00;1,00;13,00;5,00;9,00;6,00;3,00;6,00;0,00;2,50;1,25;12,50;35,00;3,00;1,00;6,00;8,00;2,33;0,00;53,67;0,00;0,00;3,00;0,00;5,00;0,00;0,00;4,00;1,00;1,00;4,00;0,00;3,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-17;20,00;4,00;0,00;7,00;9,00;1,00;1,00;4,00;1,00;0,00;0,00;2,50;20,00;1,00;0,00;5,00;3,00;4,44;0,00;44,44;2,22;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;7,00;1,00;0,00;1,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00
2019-03-24;27,00;1,00;7,00;7,00;3,00;4,00;0,00;1,00;0,00;2,70;0,00;10,80;32,40;1,00;1,00;5,00;0,00;0,00;2,25;54,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;5,00;1,00;3,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;1,00;0,00
2019-03-31;34,00;1,00;0,00;4,00;4,00;1,00;1,00;4,00;0,00;0,00;0,00;10,46;28,77;1,00;0,00;3,00;0,00;2,27;0,00;45,33;0,00;0,00;7,00;0,00;3,00;0,00;0,00;3,00;0,00;4,00;1,00;1,00;5,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;29,00;3,00;3,00;16,00;3,00;1,00;0,00;1,00;0,00;1,32;0,00;5,27;21,09;1,00;0,00;3,00;4,00;0,00;0,00;41,08;2,42;0,00;1,00;3,00;1,00;1,00;1,00;4,00;4,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;37,00;4,00;3,00;4,00;5,00;3,00;0,00;3,00;0,00;0,00;2,64;7,93;23,79;1,00;1,00;0,00;0,00;2,31;0,00;43,94;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;7,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;43,00;6,00;4,00;13,00;3,00;0,00;1,00;3,00;0,00;2,69;5,38;2,69;18,81;1,00;0,00;1,00;6,00;0,00;0,00;59,72;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;7,00;0,00;6,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
