Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;67,00;5,83;7,28;2,91;59,72;8,65;7,56;12,97;1,08;17,00;5,00;82,00;45,00;13,00;8,00;14,00;8,00;16,00;0,00;10,00;4,00;3,00;4,00;9,00;0,00;4,00;8,00;13,00;9,00;0,00;3,00;0,00;1,00;3,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;76,00;5,85;5,85;4,38;67,23;9,91;4,41;8,81;5,51;24,00;0,00;49,00;3,00;14,00;10,00;6,00;15,00;28,00;0,00;10,00;1,00;0,00;1,00;10,00;0,00;4,00;0,00;19,00;8,00;0,00;3,00;6,00;8,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;70,00;4,38;8,75;2,92;36,46;2,19;5,47;5,47;0,00;19,00;3,00;26,00;0,00;15,00;6,00;18,00;8,00;20,00;0,00;13,00;0,00;1,00;0,00;11,00;0,00;3,00;4,00;11,00;24,00;0,00;4,00;0,00;5,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;60,00;5,71;4,29;4,29;47,14;7,64;7,64;3,27;5,45;23,00;5,00;33,00;0,00;21,00;9,00;14,00;6,00;16,00;1,00;5,00;1,00;1,00;1,00;13,00;0,00;5,00;5,00;11,00;9,00;0,00;9,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;75,00;4,33;2,88;1,44;34,62;2,17;4,35;7,61;2,17;16,00;1,00;26,00;1,00;11,00;9,00;22,00;12,00;16,00;0,00;7,00;1,00;4,00;4,00;9,00;0,00;7,00;3,00;17,00;7,00;0,00;3,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;83,00;7,28;8,74;1,46;49,51;4,37;2,18;7,64;2,18;7,00;4,00;23,00;4,00;9,00;4,00;13,00;12,00;20,00;1,00;8,00;0,00;1,00;3,00;5,00;0,00;3,00;1,00;17,00;8,00;0,00;0,00;0,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;70,00;8,75;2,92;0,00;26,25;2,19;9,84;1,09;4,38;15,00;0,00;17,00;3,00;13,00;8,00;7,00;17,00;11,00;1,00;7,00;1,00;4,00;3,00;8,00;0,00;4,00;4,00;12,00;4,00;0,00;3,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;65,00;4,33;4,33;2,89;30,33;8,67;0,00;10,83;5,42;17,00;0,00;21,00;1,00;8,00;7,00;4,00;8,00;10,00;0,00;3,00;0,00;1,00;3,00;8,00;0,00;3,00;0,00;9,00;7,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;57,00;4,38;7,31;2,92;46,77;7,67;3,29;7,67;2,19;19,00;4,00;19,00;5,00;7,00;11,00;11,00;2,00;5,00;0,00;4,00;3,00;2,00;3,00;5,00;1,00;0,00;4,00;11,00;5,00;0,00;6,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;70,00;5,83;10,21;1,46;24,79;7,66;2,19;7,66;0,00;10,00;1,00;36,00;0,00;6,00;5,00;10,00;8,00;6,00;0,00;10,00;1,00;1,00;0,00;5,00;0,00;3,00;3,00;5,00;3,00;0,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
