Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;93,00;52,66;23,53;65,56;0,76;15,25;33,00;21,00;15,00;20,00;25,00;23,00;27,00;2,00;4,00;18,00;2,00;8,00;3,00;7,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50
2019-01-13;89,00;59,71;21,41;62,91;0,77;13,81;31,00;21,00;18,00;18,00;24,00;25,00;25,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;7,00;5,00;3,00;3,00;1,00;6,00;2,00;1,00;1,00;0,50;1,00;0,50;0,50
2019-01-20;80,00;50,00;18,89;61,54;0,77;12,31;28,00;20,00;17,00;16,00;20,00;24,00;20,00;1,00;5,00;16,00;3,00;6,00;2,00;6,00;8,00;4,00;3,00;3,00;1,00;3,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-01-27;86,00;51,38;20,10;44,54;0,77;13,82;26,00;20,00;11,00;17,00;22,00;21,00;24,00;1,00;4,00;18,00;2,00;7,00;2,00;7,00;8,00;4,00;3,00;2,00;0,50;3,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-02-03;90,00;58,50;19,13;41,90;0,78;13,97;31,00;25,00;10,00;21,00;23,00;18,00;22,00;2,00;5,00;17,00;2,00;7,00;3,00;7,00;9,00;3,00;2,00;2,00;0,50;6,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-02-10;78,00;59,91;18,09;40,56;0,78;15,60;26,00;21,00;12,00;20,00;23,00;21,00;24,00;2,00;5,00;19,00;3,00;6,00;2,00;7,00;7,00;4,00;3,00;2,00;0,50;4,00;2,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;74,00;59,42;17,94;38,54;0,77;16,96;23,00;20,00;13,00;19,00;20,00;19,00;23,00;2,00;5,00;18,00;13,00;6,00;3,00;6,00;7,00;3,00;3,00;2,00;1,00;4,00;4,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-02-24;78,00;53,49;16,71;39,00;0,78;17,16;27,00;19,00;13,00;18,00;21,00;18,00;23,00;2,00;5,00;19,00;3,00;7,00;2,00;6,00;10,00;3,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-03-03;76,00;55,88;19,00;40,33;0,78;12,41;24,00;19,00;11,00;21,00;20,00;19,00;22,00;2,00;5,00;18,00;3,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;78,00;55,71;18,94;36,71;0,76;15,29;27,00;19,00;12,00;22,00;19,00;20,00;24,00;1,00;4,00;21,00;4,00;8,00;3,00;6,00;10,00;4,00;4,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-17;73,00;63,05;16,59;38,02;0,76;15,21;21,00;22,00;13,00;22,00;19,00;20,00;25,00;2,00;5,00;19,00;3,00;7,00;3,00;8,00;8,00;4,00;3,00;1,00;0,50;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-24;77,00;53,57;17,86;36,96;0,77;16,94;24,00;22,00;12,00;22,00;19,00;16,00;23,00;2,00;6,00;16,00;3,00;8,00;3,00;7,00;7,00;4,00;2,00;1,00;1,00;5,00;3,00;1,00;2,00;1,00;2,00;0,50;0,50
2019-03-31;69,00;48,97;14,47;56,73;0,77;21,47;31,00;20,00;16,00;23,00;22,00;22,00;20,00;2,00;7,00;18,00;2,00;6,00;3,00;7,00;9,00;5,00;6,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;2,00;0,50;0,50
2019-04-07;75,00;53,73;16,79;55,10;1,53;19,90;30,00;18,00;16,00;22,00;25,00;21,00;19,00;3,00;5,00;17,00;2,00;6,00;4,00;7,00;8,00;4,00;5,00;4,00;1,00;3,00;4,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-04-14;73,00;112,31;12,35;63,68;0,78;24,85;29,00;18,00;15,00;22,00;21,00;21,00;20,00;2,00;5,00;19,00;3,00;8,00;5,00;7,00;10,00;4,00;7,00;4,00;1,00;4,00;5,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-04-21;65,00;50,43;14,57;52,62;0,77;15,48;27,00;16,00;14,00;20,00;18,00;21,00;17,00;2,00;6,00;16,00;3,00;7,00;4,00;6,00;8,00;3,00;7,00;3,00;2,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-04-28;62,00;44,29;13,29;43,40;0,78;18,60;25,00;18,00;13,00;18,00;24,00;20,00;18,00;1,00;5,00;14,00;3,00;6,00;3,00;6,00;7,00;3,00;4,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-05-05;67,00;59,18;15,63;47,20;0,76;18,27;25,00;18,00;16,00;21,00;16,00;22,00;18,00;2,00;6,00;16,00;3,00;7,00;3,00;7,00;6,00;3,00;5,00;4,00;2,00;4,00;2,00;1,00;3,00;1,00;1,00;0,50;0,50
2019-05-12;59,00;46,75;14,47;125,56;0,76;16,64;24,00;17,00;14,00;22,00;19,00;20,00;18,00;2,00;7,00;15,00;3,00;7,00;3,00;9,00;9,00;3,00;5,00;3,00;1,00;3,00;4,00;1,00;2,00;0,50;2,00;0,00;0,50
2019-05-19;57,00;48,06;14,53;73,95;0,77;13,86;25,00;14,00;13,00;18,00;19,00;24,00;18,00;2,00;7,00;15,00;4,00;8,00;4,00;6,00;9,00;4,00;5,00;3,00;1,00;4,00;3,00;1,00;3,00;1,00;2,00;0,50;1,00
2019-05-26;60,00;44,15;12,45;47,69;0,77;15,38;24,00;16,00;13,00;18,00;22,00;20,00;15,00;2,00;6,00;16,00;3,00;5,00;2,00;8,00;6,00;4,00;4,00;3,00;2,00;3,00;3,00;2,00;2,00;0,50;2,00;0,50;0,50
2019-06-02;68,00;55,74;15,61;47,91;0,77;18,55;26,00;18,00;14,00;18,00;20,00;35,00;16,00;4,00;8,00;17,00;3,00;7,00;3,00;7,00;8,00;4,00;6,00;3,00;1,00;5,00;5,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-06-09;67,00;48,02;15,63;48,73;0,76;15,23;27,00;20,00;16,00;20,00;21,00;24,00;20,00;4,00;8,00;18,00;4,00;7,00;5,00;7,00;9,00;3,00;5,00;4,00;1,00;4,00;4,00;2,00;3,00;1,00;2,00;0,50;1,00
