Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;55,00;484,00;445,50;412,50;319,00;11,00;165,00;132,00;222,62;144,05;89,05;128,33;238,33;265,83;73,33;4,58;97,78;562,22;18,33;48,89;14,53;53,96;40,47;46,70;23,73;77,65;9,71;29,12;18,68;5,19;10,38;5,19;13,00;2,00;3,00
2019-01-13;56,00;412,36;376,73;376,73;252,00;9,33;140,00;102,67;203,64;140,00;76,36;114,55;228,67;233,33;60,67;9,33;84,00;476,00;16,80;33,60;20,36;37,67;35,64;43,78;22,81;73,63;11,41;28,00;16,29;8,15;7,13;5,09;12,00;2,00;1,00
2019-01-20;54,00;410,40;410,40;388,80;280,80;10,80;172,80;118,80;198,00;131,14;87,43;100,29;207,00;225,00;54,00;9,00;84,00;498,00;18,00;42,00;12,23;41,77;38,72;41,77;22,85;71,65;11,42;19,73;16,30;6,11;17,32;4,08;15,00;1,00;1,00
2019-01-27;48,00;378,67;352,00;373,33;201,60;9,60;144,00;105,60;174,32;123,79;83,37;116,21;183,27;187,64;48,00;8,73;96,00;516,00;18,00;42,00;18,00;43,00;34,00;39,00;21,91;78,26;7,30;22,96;14,00;6,00;9,00;5,00;13,00;2,00;0,00
2019-02-03;51,00;382,50;311,10;377,40;275,40;10,20;173,40;102,00;206,55;124,95;81,60;132,60;217,91;236,45;60,27;9,27;85,00;464,67;17,00;39,67;15,61;37,47;46,84;45,80;24,44;72,25;11,69;25,50;15,61;9,37;11,45;4,16;11,00;2,00;2,00
2019-02-10;52,00;395,20;332,80;379,60;249,60;10,40;166,40;104,00;195,00;135,20;80,60;124,80;203,27;226,91;66,18;4,73;80,89;456,44;17,33;34,67;18,35;40,78;37,73;42,82;22,88;58,24;6,24;23,92;16,31;8,16;10,20;3,06;12,00;2,00;1,00
2019-02-17;53,00;397,50;333,90;386,90;254,40;10,60;180,20;106,00;189,29;118,62;93,38;138,81;207,58;212,00;61,83;8,83;88,33;500,56;17,67;41,22;17,00;37,00;39,00;41,00;23,90;68,59;8,31;27,02;20,00;6,00;8,00;7,00;15,00;2,00;2,00
2019-02-24;53,00;376,30;307,40;402,80;254,40;10,60;190,80;116,60;171,62;126,19;83,29;131,24;194,33;198,75;57,42;4,42;88,33;441,67;17,67;35,33;15,00;34,00;36,00;34,00;21,40;56,06;8,15;23,44;13,00;8,00;9,00;5,00;11,00;2,00;3,00
2019-03-03;59,00;391,55;295,00;407,64;236,00;9,83;167,17;108,17;179,57;130,83;87,22;141,09;217,85;204,23;54,46;9,08;88,50;466,10;11,80;41,30;24,84;44,51;35,19;38,30;26,82;71,87;9,65;28,96;17,60;9,32;11,39;5,18;12,00;1,00;1,00
2019-03-10;64,00;369,23;295,38;393,85;237,71;9,14;155,43;100,57;176,64;117,76;89,60;133,12;192,00;224,00;59,43;13,71;87,27;442,18;11,64;40,73;17,00;41,00;34,00;45,00;23,74;64,00;6,19;23,74;15,00;6,00;9,00;2,00;12,00;2,00;2,00
2019-03-17;58,00;395,45;284,73;416,55;251,33;9,67;154,67;106,33;168,96;113,48;93,30;136,17;182,92;214,15;53,54;4,46;87,00;429,20;17,40;34,80;19,00;38,00;34,00;41,00;23,82;55,93;6,21;23,82;12,00;8,00;6,00;3,00;9,00;2,00;1,00
2019-03-24;57,00;336,82;253,91;383,45;228,00;9,50;152,00;104,50;163,57;99,13;94,17;128,87;184,15;214,85;43,85;8,77;85,50;416,10;17,10;45,60;18,00;37,00;41,00;38,00;24,87;51,82;10,36;25,91;15,00;6,00;6,00;5,00;15,00;1,00;1,00
2019-03-31;72,00;349,71;272,57;411,43;246,86;10,29;174,86;123,43;172,29;113,14;97,71;151,71;198,00;216,00;54,00;9,00;102,00;438,00;18,00;42,00;16,23;41,58;43,61;50,70;29,22;53,22;11,48;25,04;15,21;9,13;8,11;6,08;17,00;1,00;1,00
2019-04-07;80,00;426,67;309,33;469,33;270,00;10,00;170,00;120,00;206,45;131,61;108,39;157,42;208,89;235,56;66,67;8,89;97,14;440,00;17,14;45,71;23,29;39,49;34,43;46,58;20,78;54,03;12,47;23,90;16,20;12,15;13,16;3,04;14,00;2,00;1,00
2019-04-14;71,00;447,85;262,15;546,15;243,43;10,14;192,71;121,71;176,19;128,85;97,30;136,74;213,00;222,47;52,07;9,47;112,42;426,00;17,75;47,33;18,52;37,04;28,81;32,93;26,49;37,09;11,66;24,37;18,52;9,26;11,32;3,09;16,00;2,00;2,00
2019-04-21;69,00;339,69;244,15;445,85;216,86;9,86;177,43;108,43;148,22;112,44;79,22;140,56;197,80;220,80;59,80;9,20;86,25;425,50;17,25;40,25;21,00;32,00;34,00;43,00;23,69;44,28;9,27;27,81;16,00;10,00;6,00;6,00;14,00;2,00;1,00
2019-04-28;68,00;324,31;251,08;444,62;213,71;9,71;184,57;116,57;158,67;110,81;85,63;128,44;185,87;235,73;54,40;9,07;96,33;385,33;17,00;45,33;23,00;39,00;51,00;51,00;23,70;36,06;13,39;23,70;16,00;7,00;7,00;7,00;12,00;1,00;2,00
2019-05-05;83,00;342,38;285,31;518,75;238,63;10,38;1037,50;124,50;150,91;108,15;103,12;140,85;187,84;244,63;48,05;8,74;100,79;391,29;17,79;53,36;24,29;39,48;45,55;36,44;31,13;41,50;17,64;26,98;26,32;9,11;8,10;12,15;19,00;1,00;2,00
2019-05-12;85,00;350,63;239,06;456,88;233,75;10,63;371,88;127,50;146,82;113,33;100,45;131,36;188,89;240,83;56,67;9,44;103,21;406,79;18,21;42,50;20,73;44,57;39,39;45,61;23,38;42,50;11,69;26,56;17,62;8,29;10,37;4,15;20,00;1,00;2,00
2019-05-19;85,00;380,00;275,00;430,00;245,56;9,44;217,22;103,89;172,50;122,50;87,50;122,50;178,95;228,16;53,68;8,95;107,67;413,67;22,67;45,33;26,00;33,00;39,00;44,00;24,58;50,18;10,24;30,72;16,00;10,00;8,00;9,00;35,42;1,01;2,02
2019-05-26;79,00;395,00;273,87;437,13;217,25;9,88;543,13;108,63;152,90;122,32;91,74;147,81;254,56;206,28;57,06;8,78;115,46;443,62;18,23;42,54;27,35;41,53;38,49;37,47;28,07;39,50;11,43;24,95;15,19;7,09;13,17;5,06;33,00;3,00;3,00
2019-06-02;93,00;392,67;253,17;439,17;227,33;10,33;268,67;124,00;170,50;111,08;100,75;134,33;203,71;411,86;48,71;13,29;110,44;412,69;23,25;46,50;27,59;38,84;42,92;43,95;36,57;43,89;14,63;29,26;23,51;8,18;15,33;8,18;17,00;2,00;3,00
2019-06-09;91,00;390,76;278,35;481,76;222,44;10,11;182,00;121,33;187,20;124,80;101,40;148,20;209,30;250,25;54,60;13,65;115,27;497,47;24,27;48,53;31,70;35,79;36,81;49,08;29,29;36,61;13,60;32,43;19,43;8,18;11,25;8,18;20,00;2,00;5,00
2019-06-16;94,00;433,44;276,78;433,44;229,78;10,44;177,56;104,44;165,14;116,86;99,08;149,89;205,90;205,90;53,71;13,43;105,75;452,38;23,50;41,13;26,57;42,91;37,80;50,07;36,56;35,51;11,49;27,16;18,39;11,24;12,26;10,22;17,00;2,00;3,00
2019-06-23;94,00;438,67;287,22;449,11;250,67;10,44;167,11;114,89;185,46;119,41;99,08;149,89;214,86;205,90;58,19;13,43;105,75;499,38;29,38;41,13;27,59;44,96;36,78;49,04;32,74;45,42;13,73;28,52;27,59;12,26;10,22;8,17;17,00;1,00;3,00
2019-06-30;80,00;395,00;275,00;405,00;220,00;10,00;170,00;110,00;187,50;125,00;90,00;142,50;204,44;204,44;57,78;13,33;114,29;514,29;34,29;40,00;30,00;43,00;39,00;43,00;30,77;38,97;12,31;23,59;16,00;11,00;17,00;6,00;17,00;2,00;3,00
