Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;35,00;402,50;315,00;192,50;157,50;115,65;76,09;80,65;103,48;63,97;80,86;54,31;55,52;75,00;62,50;35,00;22,50;38,00;40,00;21,00;36,00;21,00;27,00;26,00;16,00;17,00;23,00;16,00;9,00;7,00;8,00;4,00;4,00;4,00;3,00;2,00
2019-01-13;33,00;363,00;297,00;198,00;181,50;127,29;86,43;70,71;121,00;62,46;61,29;54,21;57,75;73,62;66,00;33,00;22,85;38,00;66,00;25,00;30,00;25,00;18,00;19,00;23,00;28,00;13,00;14,00;12,00;12,00;4,00;9,00;8,00;0,00;4,00;2,00
2019-01-20;30,00;285,00;240,00;195,00;120,00;126,32;78,95;101,05;121,58;81,60;55,20;58,80;61,20;72,50;70,00;25,00;20,00;40,00;53,00;23,00;25,00;24,00;30,00;22,00;27,00;18,00;23,00;16,00;12,00;9,00;7,00;6,00;5,00;4,00;3,00;2,00
2019-01-27;22,00;231,00;209,00;121,00;110,00;113,14;70,71;88,00;116,29;88,00;63,56;53,78;72,11;70,89;58,67;36,67;29,33;30,00;48,00;25,00;24,00;32,00;23,00;16,00;24,00;15,00;20,00;6,00;10,00;9,00;12,00;5,00;5,00;5,00;0,00;1,00
2019-02-03;18,00;414,00;324,00;234,00;144,00;88,50;58,50;93,00;112,50;67,20;73,20;51,60;76,80;79,71;72,00;23,14;20,57;32,00;61,00;29,00;21,00;28,00;23,00;27,00;24,00;14,00;20,00;4,00;16,00;10,00;14,00;5,00;4,00;5,00;2,00;2,00
2019-02-10;28,00;322,00;266,00;182,00;126,00;121,33;63,78;91,78;101,11;81,57;59,65;47,48;71,83;76,36;71,27;28,00;33,09;37,00;52,00;21,00;26,00;31,00;14,00;18,00;15,00;16,00;15,00;4,00;12,00;13,00;17,00;11,00;10,00;11,00;1,00;3,00
2019-02-17;25,00;262,50;237,50;150,00;112,50;96,88;53,13;95,31;120,31;72,62;51,19;59,52;73,81;60,00;77,50;30,00;22,50;41,00;55,00;35,00;30,00;31,00;23,00;16,00;22,00;26,00;17,00;4,00;8,00;13,00;8,00;7,00;8,00;6,00;2,00;5,00
2019-02-24;28,00;322,00;266,00;168,00;112,00;119,78;65,33;102,67;108,89;73,50;79,33;50,17;74,67;63,64;61,09;17,82;22,91;37,00;47,00;27,00;36,00;30,00;14,00;15,00;15,00;18,00;15,00;2,00;9,00;13,00;10,00;7,00;8,00;7,00;4,00;5,00
2019-03-03;31,00;403,00;279,00;217,00;139,50;128,65;75,95;105,40;103,85;67,96;67,96;51,27;83,46;59,42;69,75;33,58;28,42;31,00;51,00;30,00;31,00;25,00;19,00;26,00;22,00;26,00;19,00;4,00;10,00;10,00;13,00;6,00;9,00;3,00;2,00;4,00
2019-03-10;23,00;276,00;207,00;138,00;103,50;110,40;58,27;95,07;113,47;65,55;55,20;58,65;90,85;46,00;61,33;23,00;28,11;32,00;53,00;23,00;27,00;28,00;27,00;22,00;22,00;17,00;21,00;3,00;7,00;11,00;11,00;9,00;10,00;4,00;2,00;4,00
2019-03-17;27,00;351,00;243,00;189,00;108,00;117,53;55,59;90,53;106,41;49,30;64,57;64,57;75,13;46,64;58,91;27,00;19,64;36,00;51,00;20,00;26,00;24,00;26,00;18,00;18,00;19,00;21,00;6,00;8,00;5,00;17,00;4,00;2,00;4,00;2,00;2,00
2019-03-24;37,00;296,00;234,33;148,00;111,00;115,83;70,78;93,30;119,04;65,65;68,03;52,52;75,19;69,07;69,07;32,07;27,13;30,00;48,00;30,00;39,00;38,00;22,00;17,00;21,00;21,00;13,00;6,00;7,00;13,00;10,00;6,00;17,00;6,00;4,00;4,00
2019-03-31;38,00;316,67;215,33;177,33;152,00;137,75;79,17;93,42;142,50;87,88;72,44;72,44;92,63;78,53;78,53;27,87;20,27;41,00;43,00;23,00;31,00;42,00;23,00;11,00;22,00;23,00;18,00;15,00;16,00;19,00;16,00;10,00;14,00;7,00;9,00;5,00
2019-04-07;45,00;420,00;315,00;225,00;195,00;153,62;103,97;108,62;117,93;81,71;78,16;72,24;63,95;82,50;77,50;27,50;25,00;54,00;52,00;28,00;37,00;32,00;23,00;23,00;21,00;27,00;10,00;14,00;12,00;8,00;13,00;2,00;13,00;9,00;4,00;0,00
2019-04-14;36,00;1800,00;306,00;306,00;198,00;111,13;98,61;92,35;134,61;66,00;68,40;58,80;62,40;74,57;48,86;25,71;43,71;37,00;51,00;26,00;29,00;36,00;11,00;15,00;18,00;32,00;14,00;19,00;12,00;12,00;16,00;10,00;9,00;6,00;7,00;1,00
2019-04-21;41,00;341,67;205,00;150,33;123,00;85,15;74,12;88,31;89,88;66,32;53,06;41,00;71,15;46,13;43,56;33,31;30,75;42,00;50,00;32,00;19,00;41,00;17,00;11,00;25,00;28,00;12,00;9,00;11,00;11,00;12,00;10,00;10,00;2,00;2,00;3,00
2019-04-28;35,00;385,00;245,00;210,00;157,50;125,68;60,45;89,09;114,55;67,59;66,38;49,48;54,31;60,00;55,00;27,50;17,50;56,00;42,00;29,00;28,00;24,00;21,00;26,00;17,00;18,00;10,00;20,00;17,00;10,00;5,00;10,00;9,00;5,00;6,00;0,00
2019-05-05;43,00;315,33;186,33;157,67;114,67;109,04;52,21;135,14;104,43;60,92;59,72;57,33;52,56;63,24;70,82;20,24;20,24;51,00;48,00;20,00;30,00;32,00;22,00;22,00;21,00;28,00;19,00;20,00;20,00;15,00;16,00;4,00;16,00;8,00;7,00;7,00
