Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;55,00;440,00;410,00;370,00;265,83;9,17;137,50;110,00;220,00;144,05;89,05;125,71;233,75;261,25;73,33;9,17;91,67;556,11;18,33;48,89;14,00;55,00;40,00;45,00;23,27;75,10;8,46;30,67;20,00;5,00;10,00;5,00;14,00;2,00;3,00
2019-01-13;57,00;424,91;383,45;383,45;256,50;9,50;142,50;104,50;204,68;139,91;80,32;114,00;214,85;219,23;57,00;8,77;85,50;484,50;17,10;34,20;19,00;36,00;37,00;42,00;22,17;74,94;11,61;29,56;16,00;9,00;7,00;5,00;12,00;2,00;1,00
2019-01-20;54,00;405,00;410,40;383,40;280,80;10,80;172,80;118,80;192,86;128,57;84,86;100,29;202,50;220,50;54,00;9,00;84,00;486,00;18,00;42,00;13,00;41,00;38,00;40,00;23,29;70,94;10,59;20,12;17,00;5,00;17,00;3,00;15,00;1,00;1,00
2019-01-27;49,00;347,90;318,50;338,10;215,60;9,80;147,00;107,80;180,53;123,79;85,11;113,47;187,09;196,00;49,00;8,91;98,00;526,75;18,38;42,88;17,00;42,00;35,00;41,00;22,94;77,15;7,30;22,94;14,00;6,00;8,00;5,00;11,00;2,00;0,00
2019-02-03;50,00;370,00;305,00;370,00;270,00;10,00;170,00;100,00;210,53;126,32;81,58;134,21;213,64;227,27;59,09;9,09;83,33;455,56;16,67;38,89;15,00;37,00;44,00;44,00;23,96;70,83;11,46;23,96;15,00;9,00;11,00;4,00;11,00;2,00;1,00
2019-02-10;50,00;375,00;315,00;365,00;240,00;10,00;160,00;110,00;194,74;134,21;84,21;126,32;195,45;218,18;63,64;4,55;77,78;438,89;16,67;33,33;17,00;39,00;37,00;43,00;21,88;57,29;6,25;25,00;16,00;7,00;9,00;4,00;12,00;3,00;1,00
2019-02-17;54,00;405,00;345,60;388,80;248,40;10,80;183,60;108,00;190,29;120,86;92,57;138,86;211,50;216,00;63,00;9,00;90,00;510,00;12,00;42,00;16,00;37,00;39,00;41,00;23,29;66,71;9,53;28,59;19,00;6,00;8,00;7,00;14,00;2,00;2,00
2019-02-24;54,00;383,40;318,60;410,40;259,20;10,80;194,40;118,80;169,71;126,00;87,43;133,71;198,00;207,00;58,50;4,50;84,00;444,00;18,00;36,00;16,00;34,00;37,00;35,00;22,24;56,12;8,47;24,35;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;57,00;383,45;285,00;393,82;228,00;9,50;161,50;104,50;176,18;124,36;85,50;139,91;210,46;201,69;52,62;8,77;79,80;444,60;11,40;39,90;23,00;42,00;37,00;37,00;26,39;68,61;9,50;27,44;18,00;9,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;64,00;394,67;314,67;426,67;219,43;9,14;155,43;100,57;171,52;117,76;87,04;133,12;192,00;224,00;59,43;13,71;87,27;442,18;11,64;40,73;17,00;42,00;34,00;46,00;23,08;62,95;6,30;25,18;15,00;6,00;9,00;2,00;12,00;2,00;2,00
