Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;42,00;630,00;644,00;308,00;226,80;12,60;176,40;264,60;273,00;285,60;105,00;176,40;176,40;123,20;120,40;14,00;91,00;120,75;12,25;56,00;21,00;102,00;51,00;73,50;16,55;44,55;29,27;56,00;9,00;9,00;5,00;5,00;15,00;3,00;3,00
2019-01-13;45,00;600,00;600,00;315,00;212,73;20,45;180,00;261,82;184,09;278,18;106,36;155,45;150,00;111,00;117,00;15,00;83,08;145,38;17,31;69,23;21,00;117,00;66,00;76,50;23,14;36,00;36,00;65,57;8,00;11,00;4,00;3,00;16,00;1,00;4,00
2019-01-20;43,00;530,33;587,67;258,00;240,80;25,80;180,60;245,10;206,40;240,80;116,10;172,00;146,20;91,73;86,00;11,47;84,28;139,32;22,36;41,28;19,28;80,07;65,24;50,41;12,65;34,15;35,41;36,68;5,00;10,00;15,00;3,00;9,00;1,00;1,00
2019-01-27;18,00;666,00;756,00;360,00;220,50;9,00;171,00;292,50;175,50;324,00;153,00;207,00;135,00;93,00;114,00;18,00;57,60;124,20;21,60;77,40;13,50;106,50;49,50;69,00;20,57;37,29;6,43;23,14;9,00;10,00;6,00;6,00;8,00;1,00;1,00
2019-02-03;22,00;880,00;924,00;440,00;224,40;13,20;176,00;242,00;184,80;308,00;127,60;215,60;145,75;74,25;90,75;16,50;55,85;110,00;11,85;54,15;19,07;79,20;55,73;70,40;11,65;44,00;3,88;47,88;5,00;14,00;4,00;4,00;9,00;3,00;4,00
2019-02-10;24,00;912,00;936,00;384,00;200,00;20,00;184,00;252,00;148,00;288,00;144,00;184,00;177,00;111,00;108,00;21,00;44,57;125,14;18,86;68,57;22,50;97,50;43,50;52,50;13,89;24,00;3,79;49,26;5,00;7,00;7,00;11,00;9,00;0,00;0,00
2019-02-17;28,00;504,00;574,00;294,00;220,00;12,00;172,00;272,00;164,00;252,00;128,00;200,00;148,40;100,80;98,00;16,80;59,50;119,00;52,50;57,75;20,63;89,89;48,63;45,68;17,82;30,55;3,82;50,91;15,00;12,00;5,00;4,00;17,00;3,00;1,00
2019-02-24;37,00;795,50;795,50;370,00;213,78;16,44;238,44;238,44;160,33;234,33;123,33;180,89;130,92;128,08;96,77;5,69;56,38;139,19;8,81;56,38;29,60;76,96;63,64;45,88;24,24;25,52;7,66;43,38;12,00;7,00;4,00;4,00;4,00;1,00;1,00
2019-03-03;33,00;693,00;709,50;330,00;189,75;12,38;301,13;251,63;152,63;239,25;148,50;202,13;132,00;123,00;81,00;12,00;57,32;132,00;13,89;52,11;18,00;84,00;64,50;52,50;16,50;45,69;6,35;31,73;13,00;4,00;13,00;3,00;11,00;0,00;4,00
2019-03-10;31,00;635,50;635,50;341,00;256,86;22,14;199,29;301,14;163,86;243,57;146,14;203,71;126,82;95,82;84,55;19,73;58,56;146,39;37,89;84,39;32,48;85,62;76,76;45,76;11,63;56,83;9,04;51,67;15,00;12,00;5,00;6,00;9,00;1,00;0,00
2019-03-17;22,00;770,00;792,00;374,00;202,40;8,80;149,60;250,80;162,80;242,00;145,20;180,40;112,75;96,25;66,00;8,25;58,67;113,67;7,33;69,67;19,07;83,60;46,93;58,67;19,41;31,06;3,88;40,12;9,00;12,00;4,00;5,00;12,00;8,00;0,00
2019-03-24;29,00;580,00;551,00;275,50;190,57;8,29;174,00;252,71;145,00;273,43;145,00;182,29;127,60;118,90;89,90;17,40;54,59;153,53;8,53;63,12;33,58;80,89;61,05;45,79;17,65;27,74;2,52;58,00;11,00;5,00;1,00;4,00;17,00;3,00;0,00
2019-03-31;47,00;642,33;548,33;297,67;222,18;17,09;183,73;273,45;200,82;269,18;136,73;209,36;143,94;129,25;99,88;14,69;76,59;121,85;20,89;67,89;16,68;78,84;47,00;60,65;20,32;21,59;16,51;49,54;5,00;8,00;12,00;7,00;8,00;7,00;4,00
2019-04-07;66,00;709,50;676,50;363,00;251,63;20,63;189,75;226,88;202,13;301,13;169,13;185,63;149,22;137,74;97,57;11,48;92,05;142,42;22,58;64,26;42,00;82,50;60,00;58,50;15,53;29,76;20,71;51,76;6,00;5,00;8,00;10,00;13,00;3,00;3,00
2019-04-14;47,00;1566,67;720,67;344,67;260,64;34,18;217,91;209,36;235,00;264,91;132,45;166,64;123,38;138,06;82,25;26,44;81,81;134,04;19,15;71,37;21,23;89,45;48,52;43,97;17,78;17,78;34,30;48,27;8,00;11,00;7,00;7,00;12,00;6,00;0,00
2019-04-21;55,00;880,00;733,33;385,00;232,69;12,69;211,54;279,23;215,77;304,62;118,46;181,92;138,95;150,53;86,84;14,47;60,32;108,23;23,06;85,16;29,03;73,33;67,22;73,33;17,91;28,14;38,37;71,63;7,00;12,00;7,00;10,00;8,00;11,00;6,00
2019-04-28;62,00;821,50;775,00;372,00;256,27;20,67;347,20;252,13;227,33;322,40;107,47;157,07;153,52;135,81;94,48;26,57;79,71;139,94;23,03;69,09;18,15;84,68;83,17;57,46;20,67;32,29;29,71;67,17;13,00;8,00;14,00;8,00;14,00;3,00;3,00
2019-05-05;59,00;545,75;604,75;339,25;219,14;12,64;421,43;261,29;185,43;303,43;105,36;160,14;135,70;118,00;100,30;17,70;112,64;134,09;23,24;85,82;19,67;74,13;51,44;49,92;25,65;29,50;52,59;43,61;19,00;9,00;4,00;4,00;12,00;5,00;1,00
2019-05-12;59,00;590,00;486,75;368,75;265,50;16,86;164,36;244,43;177,00;273,93;122,21;155,93;141,60;112,10;100,30;26,55;69,73;109,06;21,45;62,58;34,79;74,13;66,56;49,92;19,24;19,24;20,52;46,17;10,00;7,00;3,00;8,00;10,00;4,00;4,00
2019-05-19;58,00;609,00;493,00;319,00;215,43;12,43;165,71;207,14;186,43;248,57;116,00;161,57;130,50;104,40;113,10;17,40;82,61;116,00;40,42;65,03;21,37;90,05;65,63;51,89;32,22;28,36;21,91;68,31;9,00;15,00;6,00;6,00;41,00;6,00;0,00
2019-05-26;49,00;718,67;588,00;375,67;253,17;28,58;196,00;216,42;208,25;265,42;122,50;171,50;161,41;106,65;98,00;25,94;92,75;119,00;22,75;50,75;26,73;80,18;54,94;53,45;29,66;21,92;37,39;51,58;10,00;16,00;8,00;8,00;51,00;8,00;3,00
2019-06-02;55,00;861,67;715,00;385,00;224,23;25,38;148,08;236,92;215,77;258,08;143,85;135,38;138,95;289,47;112,89;17,37;74,52;115,32;17,74;88,71;21,39;88,61;42,78;59,58;37,09;28,14;33,26;52,44;13,00;10,00;7,00;5,00;17,00;4,00;2,00
2019-06-09;61,00;594,75;579,50;305,00;223,67;20,33;134,20;215,53;174,87;260,27;77,27;146,40;116,19;142,33;78,43;20,33;61,00;116,77;24,40;64,49;28,27;84,80;53,56;66,95;27,96;22,88;50,83;57,19;14,00;19,00;9,00;8,00;6,00;1,00;3,00
2019-06-16;62,00;620,00;542,50;310,00;198,40;20,67;161,20;202,53;206,67;272,80;111,60;165,33;126,95;118,10;97,43;17,71;97,43;139,94;24,80;74,40;39,32;99,80;54,44;55,95;28,42;38,75;42,63;59,42;14,00;10,00;10,00;4,00;13,00;6,00;0,00
2019-06-23;60,00;585,00;510,00;270,00;171,43;21,43;150,00;188,57;222,86;252,86;120,00;197,14;144,00;114,00;78,00;12,00;81,18;109,41;42,35;61,76;21,54;87,69;53,85;55,38;22,17;28,70;37,83;52,17;25,00;14,00;6,00;6,00;10,00;10,00;3,00
2019-06-30;75,00;645,00;630,00;285,00;187,50;29,17;150,00;187,50;237,50;300,00;120,83;158,33;138,46;112,50;138,46;31,73;81,98;129,07;109,88;83,72;25,50;94,50;69,00;73,50;27,16;29,74;45,26;71,12;14,00;16,00;17,00;16,00;18,00;9,00;5,00
2019-07-07;73,00;744,60;642,40;408,80;253,35;25,76;176,06;261,94;261,94;360,71;154,59;197,53;154,76;148,92;122,64;32,12;90,80;115,73;40,95;85,46;41,06;115,58;80,60;79,08;34,58;38,42;42,26;73,00;23,00;19,00;8,00;9,00;22,00;13,00;3,00
2019-07-14;85,00;935,00;765,00;442,00;255,00;25,50;144,50;229,50;259,25;365,50;136,00;199,75;190,52;172,93;123,10;32,24;97,40;123,96;26,56;111,56;33,39;113,84;69,82;77,41;36,06;32,20;41,21;83,71;20,00;27,00;11,00;8,00;15,00;12,00;5,00
2019-07-21;70,00;927,50;735,00;437,50;247,06;41,18;156,47;226,47;255,29;354,12;177,06;197,65;192,50;177,92;128,33;26,25;82,25;136,50;40,25;138,25;56,30;152,17;85,22;68,48;54,73;44,55;44,55;101,82;19,00;19,00;15,00;6,00;19,00;10,00;1,00
2019-07-28;79,00;1027,00;711,00;458,20;232,84;16,63;178,79;253,63;261,95;349,26;149,68;174,63;251,63;172,63;128,74;40,96;93,04;112,36;35,11;143,96;21,27;142,81;80,52;97,23;38,85;46,62;53,10;76,41;26,00;24,00;7,00;17,00;30,00;13,00;3,00
2019-08-04;74,00;843,60;710,40;429,20;213,78;28,78;160,33;238,44;300,11;411,11;152,11;156,22;270,38;182,15;130,92;42,69;126,86;149,76;28,19;68,71;37,76;122,33;90,61;75,51;43,38;30,62;48,48;85,48;16,00;29,00;10,00;9,00;29,00;10,00;9,00
2019-08-11;60,00;735,00;705,00;390,00;222,86;25,71;154,29;231,43;278,57;330,00;132,86;180,00;202,86;128,57;108,57;34,29;81,18;125,29;26,47;77,65;30,00;108,00;49,50;78,00;31,91;42,13;33,19;77,87;12,00;17,00;9,00;5,00;13,00;4,00;7,00
2019-08-18;72,00;756,00;864,00;414,00;220,24;21,18;173,65;249,88;228,71;317,65;127,06;156,71;155,52;100,80;109,44;28,80;98,34;112,39;21,07;73,76;36,77;75,06;67,40;58,21;20,57;23,14;47,57;60,43;12,00;17,00;6,00;6,00;19,00;3,00;0,00
2019-08-25;68,00;629,00;714,00;408,00;195,50;42,50;161,50;229,50;199,75;318,75;114,75;165,75;130,09;85,74;94,61;17,74;83,69;141,23;19,18;76,72;28,71;87,64;54,40;51,38;19,25;24,38;42,34;73,13;12,00;17,00;5,00;3,00;11,00;3,00;3,00
2019-09-01;60,00;570,00;690,00;345,00;231,43;17,14;188,57;274,29;201,43;321,43;141,43;171,43;117,14;145,71;108,57;17,14;93,53;151,76;28,24;70,59;28,50;75,00;76,50;66,00;20,43;37,02;35,74;53,62;9,00;14,00;6,00;3,00;21,00;8,00;0,00
2019-09-08;65,00;715,00;731,25;357,50;203,13;16,25;174,69;211,25;203,67;316,33;121,33;199,33;144,77;109,32;109,32;20,68;100,14;163,38;17,57;63,24;25,70;68,02;71,05;54,42;20,39;38,24;28,04;79,02;17,00;8,00;10,00;10,00;11,00;4,00;0,00
2019-09-15;53,00;777,33;777,33;335,67;212,00;16,31;207,92;228,31;228,31;313,92;85,62;187,54;156,06;111,89;103,06;23,56;97,17;159,00;30,03;61,83;16,66;92,37;59,06;49,97;12,93;33,61;38,78;72,39;6,00;10,00;8,00;4,00;11,00;3,00;3,00
2019-09-22;46,00;628,67;782,00;291,33;230,00;25,09;192,36;263,45;242,55;347,09;117,09;184,00;152,38;112,13;97,75;8,63;104,38;152,15;14,15;76,08;21,47;92,00;62,87;50,60;15,33;20,44;26,83;49,83;5,00;5,00;2,00;4,00;12,00;1,00;4,00
2019-09-29;47,00;705,00;752,00;344,67;239,27;17,09;222,18;235,00;213,64;324,73;115,36;166,64;129,25;99,88;96,94;26,44;88,78;160,15;31,33;53,96;21,23;98,55;40,94;59,13;13,06;35,25;28,72;45,69;19,00;11,00;9,00;1,00;9,00;2,00;4,00
2019-10-06;41,00;669,67;683,33;300,67;225,50;24,60;200,90;246,00;233,70;299,30;114,80;172,20;137,64;102,50;161,07;17,57;92,70;178,26;14,26;57,04;16,70;82,00;71,37;60,74;14,09;20,50;35,88;62,78;11,00;6,00;6,00;4,00;10,00;2,00;2,00
2019-10-13;35,00;857,50;962,50;490,00;231,88;26,25;175,00;253,75;258,13;310,63;118,13;183,75;142,92;87,50;119,58;20,42;73,50;157,50;14,00;57,75;22,83;79,13;54,78;65,43;18,15;23,33;47,96;62,22;9,00;11,00;6,00;2,00;10,00;2,00;0,00
2019-10-20;27,00;648,00;661,50;229,50;196,71;19,29;158,14;185,14;252,00;364,50;117,00;189,00;117,00;99,00;120,00;21,00;64,13;104,63;13,50;47,25;18,00;64,50;40,50;48,00;21,86;18,00;24,43;50,14;10,00;10,00;5,00;4,00;9,00;1,00;0,00
2019-10-27;23,00;805,00;989,00;368,00;164,83;19,17;141,83;176,33;202,40;262,20;101,20;170,20;112,13;74,75;86,25;14,38;70,77;138,00;23,00;49,54;19,93;64,40;50,60;50,60;11,50;17,89;21,72;57,50;7,00;4,00;5,00;2,00;6,00;1,00;0,00
2019-11-03;21,00;798,00;945,00;315,00;168,00;16,80;147,00;197,40;197,40;273,00;130,20;189,00;111,00;72,00;120,00;18,00;87,50;131,25;10,50;68,25;18,00;64,50;46,50;57,00;13,13;22,31;13,13;57,75;10,00;7,00;2,00;1,00;9,00;2,00;0,00
2019-11-10;21,00;798,00;903,00;336,00;155,40;25,20;151,20;172,20;155,40;268,80;96,60;151,20;147,00;261,00;93,00;18,00;80,50;133,00;14,00;57,75;19,50;63,00;51,00;43,50;14,44;36,75;19,69;53,81;5,00;6,00;2,00;2,00;6,00;5,00;1,00
2019-11-17;30,00;540,00;735,00;195,00;154,29;12,86;180,00;145,71;201,43;218,57;150,00;171,43;135,00;159,00;129,00;21,00;70,59;118,24;14,12;54,71;16,50;54,00;54,00;46,50;10,43;26,09;28,70;54,78;10,00;9,00;2,00;4,00;6,00;2,00;0,00
2019-11-24;26,00;507,00;676,00;143,00;164,67;43,33;138,67;186,33;195,00;247,00;95,33;147,33;104,00;89,56;66,44;17,33;83,20;110,93;12,13;64,13;9,18;62,71;48,94;41,29;13,00;19,50;14,30;49,40;6,00;9,00;4,00;0,00;8,00;1,00;0,00
2019-12-01;22,00;814,00;990,00;286,00;149,60;8,80;162,80;167,20;184,80;242,00;88,00;167,20;134,75;55,00;99,00;16,50;62,62;96,46;13,54;74,46;23,47;48,40;58,67;27,87;9,06;28,47;16,82;47,88;5,00;0,00;5,00;4,00;7,00;4,00;1,00
2019-12-08;20,00;680,00;940,00;260,00;152,00;20,00;136,00;168,00;156,00;232,00;76,00;132,00;122,86;60,00;128,57;22,86;63,64;118,18;23,64;72,73;15,38;78,46;35,38;27,69;15,00;43,75;16,25;47,50;1,00;9,00;6,00;4,00;11,00;1,00;0,00
2019-12-15;48,00;608,00;704,00;224,00;144,00;21,82;157,09;174,55;178,91;253,09;91,64;148,36;96,00;57,00;135,00;21,00;48,00;115,56;17,78;60,44;22,50;79,50;55,50;43,50;15,57;15,57;12,97;50,59;6,00;6,00;5,00;2,00;15,00;0,00;5,00
2019-12-22;46,00;720,67;751,33;230,00;175,64;20,91;154,73;184,00;204,91;292,73;100,36;184,00;135,13;66,13;123,63;17,25;65,46;130,92;15,92;70,77;19,93;92,00;46,00;52,13;20,44;33,22;24,28;49,83;3,00;11,00;3,00;1,00;5,00;1,00;1,00
2019-12-29;30,00;675,00;645,00;255,00;210,00;17,14;171,43;197,14;205,71;287,14;115,71;154,29;153,00;69,00;165,00;12,00;81,18;158,82;17,65;58,24;27,00;94,50;63,00;70,50;12,50;20,00;21,25;42,50;10,00;6,00;3,00;3,00;5,00;4,00;0,00
2020-01-05;45,00;615,00;630,00;330,00;208,64;20,45;155,45;270,00;208,64;249,55;102,27;171,82;123,75;95,63;118,13;11,25;76,15;128,08;19,04;62,31;18,00;76,50;43,50;51,00;15,43;36,00;24,43;54,00;8,00;8,00;7,00;4,00;5,00;1,00;0,00
2020-01-12;48,00;688,00;736,00;352,00;261,82;13,09;170,18;288,00;213,82;322,91;96,00;196,36;165,00;129,00;123,00;18,00;108,44;140,44;21,33;53,33;34,06;94,45;86,71;80,52;22,05;42,81;31,14;63,57;10,00;9,00;7,00;3,00;12,00;8,00;2,00
