Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;95,00;54,45;24,33;64,35;0,77;15,32;33,00;21,00;16,00;20,00;24,00;24,00;26,00;2,00;4,00;18,00;2,00;8,00;3,00;8,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50
2019-01-13;90,00;60,00;21,92;62,54;0,76;13,73;32,00;21,00;18,00;19,00;25,00;26,00;26,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;5,00;3,00;3,00;1,00;6,00;2,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-01-20;77,00;49,42;19,54;61,60;0,77;12,32;29,00;20,00;17,00;17,00;21,00;23,00;20,00;1,00;5,00;16,00;3,00;6,00;3,00;6,00;8,00;4,00;3,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-01-27;87,00;55,68;20,88;45,79;0,76;15,26;26,00;21,00;12,00;18,00;21,00;20,00;24,00;1,00;4,00;18,00;2,00;7,00;2,00;7,00;7,00;4,00;3,00;2,00;1,00;3,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-02-03;91,00;55,29;19,58;41,64;0,77;15,42;32,00;25,00;10,00;21,00;23,00;17,00;22,00;2,00;5,00;17,00;2,00;6,00;3,00;7,00;9,00;3,00;2,00;2,00;0,50;6,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-02-10;79,00;60,41;18,59;40,27;0,77;15,49;26,00;21,00;13,00;20,00;23,00;20,00;25,00;2,00;5,00;19,00;3,00;6,00;3,00;7,00;7,00;4,00;3,00;2,00;1,00;4,00;2,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;75,00;60,00;18,46;38,27;0,77;16,84;24,00;21,00;14,00;20,00;19,00;19,00;23,00;2,00;5,00;18,00;13,00;6,00;3,00;6,00;7,00;3,00;3,00;2,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-02-24;77,00;52,87;17,24;38,50;0,77;16,94;27,00;19,00;13,00;18,00;21,00;18,00;23,00;2,00;5,00;19,00;2,00;7,00;2,00;6,00;10,00;3,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-03-03;76,00;56,12;19,88;40,33;0,78;12,41;25,00;20,00;12,00;21,00;21,00;19,00;22,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;77,00;59,76;19,54;36,96;0,77;16,94;27,00;19,00;12,00;22,00;19,00;19,00;24,00;2,00;4,00;21,00;4,00;8,00;3,00;7,00;10,00;3,00;3,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-17;72,00;62,86;17,14;38,30;0,77;15,32;21,00;23,00;14,00;21,00;20,00;20,00;25,00;2,00;5,00;19,00;3,00;7,00;3,00;8,00;8,00;4,00;3,00;1,00;0,50;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-24;78,00;53,91;18,35;35,18;0,76;18,35;24,00;22,00;12,00;22,00;19,00;16,00;24,00;2,00;6,00;16,00;3,00;8,00;3,00;8,00;7,00;4,00;3,00;1,00;1,00;5,00;3,00;1,00;2,00;1,00;2,00;0,50;0,50
2019-03-31;71,00;51,21;15,13;57,11;0,77;21,61;31,00;21,00;16,00;23,00;22,00;23,00;20,00;2,00;7,00;18,00;2,00;6,00;3,00;7,00;9,00;5,00;6,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;2,00;0,50;0,50
2019-04-07;75,00;54,23;17,31;56,63;1,53;19,90;31,00;18,00;16,00;21,00;25,00;21,00;19,00;3,00;5,00;17,00;2,00;6,00;4,00;7,00;8,00;4,00;5,00;3,00;1,00;3,00;4,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-04-14;73,00;115,87;12,75;60,83;1,52;25,85;29,00;18,00;15,00;22,00;21,00;21,00;20,00;2,00;5,00;19,00;3,00;8,00;4,00;7,00;10,00;4,00;7,00;4,00;2,00;5,00;5,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-04-21;65,00;49,91;15,09;52,62;0,77;15,48;27,00;17,00;14,00;20,00;19,00;21,00;17,00;2,00;6,00;16,00;3,00;7,00;4,00;7,00;8,00;3,00;6,00;3,00;2,00;4,00;3,00;2,00;2,00;1,00;1,00;0,00;1,00
2019-04-28;63,00;44,67;12,60;44,56;0,77;18,44;25,00;18,00;14,00;18,00;24,00;20,00;17,00;1,00;5,00;15,00;2,00;6,00;3,00;6,00;7,00;3,00;4,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-05-05;69,00;58,47;15,20;49,07;0,77;19,93;25,00;18,00;16,00;21,00;16,00;21,00;18,00;2,00;6,00;16,00;3,00;7,00;3,00;7,00;6,00;2,00;5,00;4,00;1,00;4,00;2,00;1,00;3,00;1,00;1,00;0,50;0,50
2019-05-12;60,00;47,31;13,85;129,23;0,77;16,92;24,00;17,00;14,00;22,00;19,00;20,00;18,00;2,00;7,00;15,00;3,00;7,00;3,00;9,00;9,00;3,00;5,00;3,00;2,00;3,00;4,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-05-19;57,00;47,69;15,12;75,49;0,77;13,86;25,00;14,00;14,00;18,00;19,00;23,00;17,00;2,00;7,00;15,00;4,00;8,00;4,00;6,00;9,00;4,00;5,00;3,00;1,00;4,00;3,00;1,00;3,00;1,00;2,00;0,50;1,00
2019-05-26;60,00;45,00;11,54;47,69;0,77;15,38;24,00;16,00;13,00;18,00;22,00;20,00;15,00;3,00;6,00;16,00;3,00;5,00;2,00;8,00;6,00;3,00;4,00;3,00;2,00;3,00;3,00;2,00;2,00;0,50;2,00;0,50;0,50
2019-06-02;68,00;53,02;16,14;49,45;0,77;17,00;26,00;18,00;14,00;18,00;20,00;35,00;17,00;4,00;8,00;17,00;3,00;8,00;4,00;7,00;8,00;4,00;6,00;3,00;1,00;4,00;5,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-06-09;68,00;47,25;16,14;51,00;0,77;15,45;27,00;20,00;16,00;20,00;21,00;25,00;20,00;5,00;8,00;18,00;4,00;7,00;5,00;8,00;9,00;3,00;5,00;4,00;1,00;4,00;4,00;2,00;3,00;1,00;2,00;0,50;1,00
2019-06-16;71,00;50,39;16,03;43,22;1,54;16,98;29,00;18,00;14,00;21,00;24,00;23,00;19,00;4,00;7,00;17,00;3,00;7,00;4,00;8,00;8,00;4,00;6,00;3,00;2,00;4,00;4,00;1,00;3,00;1,00;2,00;0,50;0,50
2019-06-23;69,00;50,60;16,10;46,00;0,77;21,47;24,00;19,00;17,00;22,00;21,00;22,00;19,00;3,00;7,00;20,00;3,00;9,00;4,00;8,00;9,00;4,00;6,00;2,00;2,00;3,00;3,00;2,00;4,00;1,00;2,00;0,50;0,50
2019-06-30;66,00;50,95;19,68;46,05;0,77;19,95;30,00;23,00;13,00;20,00;22,00;23,00;21,00;4,00;6,00;23,00;4,00;7,00;4,00;8,00;9,00;5,00;7,00;3,00;2,00;5,00;4,00;2,00;3,00;1,00;2,00;0,50;1,00
2019-07-07;70,00;52,79;17,21;44,13;1,52;19,78;34,00;21,00;16,00;21,00;25,00;26,00;22,00;3,00;7,00;19,00;3,00;8,00;5,00;8,00;10,00;5,00;6,00;3,00;2,00;6,00;4,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-07-14;70,00;61,83;21,00;46,67;0,78;23,33;33,00;21,00;18,00;20,00;25,00;26,00;23,00;2,00;9,00;22,00;4,00;9,00;5,00;10,00;12,00;4,00;7,00;4,00;3,00;4,00;5,00;1,00;4,00;1,00;2,00;0,50;1,00
2019-07-21;81,00;62,49;19,67;47,38;1,53;22,92;35,00;23,00;18,00;23,00;27,00;24,00;22,00;3,00;8,00;22,00;3,00;10,00;5,00;9,00;13,00;4,00;8,00;3,00;3,00;5,00;4,00;2,00;3,00;1,00;2,00;0,50;1,00
2019-07-28;82,00;65,83;20,79;47,96;1,55;24,75;35,00;25,00;18,00;25,00;29,00;27,00;25,00;3,00;8,00;22,00;3,00;11,00;5,00;10,00;15,00;4,00;9,00;3,00;2,00;5,00;6,00;2,00;3,00;1,00;3,00;0,50;1,00
2019-08-04;83,00;63,40;19,60;53,80;1,54;26,13;42,00;23,00;15,00;24,00;33,00;28,00;28,00;3,00;7,00;25,00;4,00;9,00;7,00;10,00;17,00;5,00;10,00;4,00;2,00;5,00;5,00;3,00;4,00;1,00;3,00;0,50;1,00
2019-08-11;79,00;65,26;17,17;68,16;0,77;24,78;39,00;22,00;16,00;24,00;29,00;24,00;26,00;3,00;7,00;21,00;4,00;9,00;7,00;8,00;12,00;5,00;9,00;3,00;2,00;4,00;6,00;4,00;4,00;2,00;2,00;0,50;0,50
2019-08-18;76,00;61,03;19,58;52,73;0,78;21,71;38,00;23,00;16,00;24,00;30,00;23,00;25,00;3,00;8,00;18,00;4,00;8,00;5,00;9,00;10,00;5,00;9,00;3,00;2,00;5,00;6,00;3,00;3,00;1,00;3,00;0,50;0,50
2019-08-25;75,00;57,69;17,31;48,98;1,53;19,90;35,00;23,00;17,00;21,00;26,00;25,00;22,00;4,00;6,00;19,00;3,00;8,00;6,00;8,00;10,00;4,00;7,00;4,00;1,00;6,00;4,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-09-01;78,00;59,37;18,63;50,47;0,76;18,35;34,00;21,00;18,00;29,00;26,00;26,00;21,00;2,00;6,00;20,00;3,00;7,00;4,00;7,00;9,00;5,00;7,00;3,00;2,00;5,00;4,00;1,00;3,00;0,50;1,00;0,50;0,50
2019-09-08;72,00;54,58;17,42;47,49;1,53;16,85;31,00;18,00;17,00;21,00;25,00;25,00;21,00;4,00;6,00;19,00;3,00;9,00;5,00;7,00;9,00;4,00;5,00;3,00;2,00;5,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
