Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;55,00;6,00;4,00;12,00;9,00;7,00;1,00;16,00;2,00;5,24;1,31;41,90;36,67;34,00;0,00;12,00;10,00;2,20;0,00;99,00;0,00;0,00;5,00;1,00;4,00;1,00;0,00;1,00;5,00;5,00;17,00;2,00;4,00;1,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;7,00;0,00;11,00;12,00;2,00;1,00;9,00;2,00;2,64;1,32;15,82;39,55;5,00;1,00;4,00;5,00;4,46;0,00;71,38;2,23;1,00;6,00;2,00;4,00;0,00;0,00;1,00;0,00;2,00;16,00;1,00;4,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;49,00;7,00;2,00;6,00;8,00;2,00;5,00;5,00;0,00;0,00;1,29;7,74;20,63;3,00;0,00;3,00;5,00;2,23;2,23;106,91;2,23;1,00;5,00;0,00;3,00;2,00;0,00;1,00;2,00;5,00;14,00;2,00;9,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;25,00;4,00;3,00;8,00;6,00;1,00;1,00;4,00;1,00;1,25;0,00;7,50;27,50;2,00;0,00;1,00;6,00;0,00;2,27;95,45;2,27;0,00;0,00;0,00;6,00;1,00;0,00;2,00;2,00;2,00;16,00;0,00;9,00;2,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;38,00;1,00;6,00;7,00;6,00;1,00;1,00;5,00;0,00;1,27;0,00;10,13;20,27;4,00;2,00;7,00;3,00;2,24;0,00;62,59;0,00;1,00;3,00;0,00;8,00;0,00;2,00;1,00;3,00;3,00;5,00;0,00;11,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;38,00;3,00;8,00;14,00;6,00;3,00;2,00;3,00;1,00;1,27;1,27;5,07;25,33;2,00;3,00;8,00;1,00;2,24;0,00;80,47;0,00;2,00;5,00;0,00;6,00;1,00;1,00;0,00;1,00;2,00;2,00;2,00;3,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;27,00;7,00;5,00;7,00;6,00;1,00;2,00;6,00;0,00;2,70;0,00;13,50;27,00;2,00;2,00;7,00;1,00;4,50;2,25;92,25;0,00;0,00;5,00;2,00;7,00;1,00;0,00;6,00;0,00;4,00;6,00;1,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;5,00;8,00;11,00;12,00;0,00;0,00;5,00;0,00;2,50;1,25;5,00;27,50;1,00;0,00;11,00;4,00;2,19;0,00;78,75;2,19;0,00;7,00;2,00;6,00;2,00;1,00;1,00;0,00;1,00;7,00;4,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;1,00;0,00
2019-03-03;43,00;11,00;5,00;10,00;7,00;1,00;2,00;4,00;1,00;0,00;1,26;10,12;27,82;3,00;1,00;5,00;4,00;2,15;2,15;66,65;2,15;0,00;1,00;0,00;5,00;0,00;2,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;9,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;2,00;13,00;5,00;8,00;6,00;4,00;7,00;0,00;2,46;1,23;12,31;32,00;2,00;2,00;7,00;7,00;2,13;0,00;49,07;0,00;0,00;4,00;0,00;5,00;0,00;0,00;4,00;2,00;1,00;4,00;0,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;4,00;0,00;6,00;8,00;1,00;1,00;4,00;1,00;0,00;0,00;2,38;19,00;1,00;0,00;6,00;2,00;4,22;0,00;46,44;2,11;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;6,00;1,00;0,00;1,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-03-24;26,00;2,00;6,00;7,00;4,00;4,00;0,00;1,00;0,00;2,60;0,00;10,40;31,20;1,00;1,00;5,00;0,00;0,00;2,17;52,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;5,00;1,00;2,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00
2019-03-31;34,00;1,00;0,00;4,00;4,00;1,00;0,00;4,00;0,00;0,00;0,00;10,46;31,38;1,00;0,00;2,00;0,00;2,27;0,00;43,07;0,00;0,00;6,00;0,00;2,00;0,00;0,00;2,00;1,00;2,00;1,00;1,00;5,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;27,00;2,00;2,00;19,00;2,00;1,00;0,00;1,00;0,00;1,23;0,00;4,91;19,64;1,00;0,00;2,00;4,00;0,00;0,00;40,50;2,25;0,00;1,00;2,00;1,00;1,00;1,00;4,00;4,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;36,00;4,00;2,00;4,00;5,00;2,00;0,00;2,00;0,00;0,00;1,29;5,14;23,14;1,00;1,00;0,00;0,00;2,25;0,00;40,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;6,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;42,00;5,00;4,00;13,00;4,00;0,00;1,00;3,00;0,00;2,63;5,25;2,63;23,63;1,00;0,00;3,00;5,00;0,00;0,00;55,26;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;6,00;1,00;6,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;31,00;4,00;1,00;5,00;2,00;2,00;1,00;2,00;0,00;1,29;0,00;2,58;12,92;0,00;0,00;1,00;6,00;0,00;0,00;53,14;2,21;0,00;0,00;0,00;2,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;4,00;0,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00
