Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;23,00;144,57;193,86;141,29;138,00;93,77;1,77;60,15;90,23;141,29;49,29;111,71;64,40;96,60;105,80;36,80;48,19;70,10;5,48;10,00;37,00;20,00;6,00;12,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;22,00;141,43;207,43;132,00;138,29;110,00;1,83;64,17;99,00;168,67;55,00;128,33;71,50;121,00;137,50;49,50;49,50;78,10;5,50;11,00;38,00;25,00;5,00;11,00;5,00;5,00;4,00;2,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;188,57;138,29;138,29;100,83;1,83;78,83;93,50;135,14;44,00;103,71;66,00;110,00;132,00;49,50;51,70;75,90;7,70;8,00;36,00;20,00;4,00;11,00;3,00;4,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-01-27;18,00;154,80;212,40;158,40;133,20;66,60;0,90;72,00;95,40;133,20;61,20;126,00;63,00;99,00;99,00;40,50;51,75;84,38;4,50;11,00;35,00;24,00;7,00;11,00;2,00;3,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;14,00;140,00;182,00;154,00;119,00;54,25;1,75;70,00;98,00;122,50;52,50;129,50;60,67;126,00;107,33;46,67;49,54;75,38;6,46;10,00;36,00;23,00;6,00;9,00;2,00;7,00;3,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;185,60;140,80;118,40;56,89;1,78;71,11;106,67;118,40;44,80;121,60;74,67;117,33;117,33;64,00;50,13;75,73;4,27;9,00;36,00;23,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;18,00;162,00;190,80;158,40;115,20;59,40;1,80;70,20;100,80;136,80;64,80;144,00;63,00;103,50;103,50;49,50;52,88;73,13;11,25;7,00;35,00;23,00;7,00;9,00;1,00;5,00;3,00;3,00;0,50;9,00;1,00;1,00
2019-02-24;16,00;150,40;176,00;160,00;118,40;65,78;1,78;80,00;97,78;128,00;57,60;121,60;74,67;144,00;112,00;64,00;45,87;67,20;5,33;11,00;30,00;15,00;7,00;12,00;2,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;166,60;204,00;166,60;129,20;59,50;1,70;69,70;102,00;149,60;74,80;142,80;85,00;141,67;130,33;68,00;55,25;66,94;7,44;7,00;36,00;24,00;10,00;19,00;2,00;4,00;3,00;3,00;2,00;10,00;0,50;1,00
2019-03-10;20,00;160,00;193,33;160,00;123,33;61,82;1,82;80,00;110,91;130,00;73,33;133,33;70,00;130,00;115,00;60,00;43,33;82,22;5,56;11,00;31,00;19,00;6,00;16,00;2,00;8,00;3,00;2,00;3,00;10,00;1,00;0,50
