Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;81,00;64,00;70,00;81,00;73,00;62,44;62,44;81,00;43,88
2019-01-13;81,00;54,00;72,00;78,00;72,00;62,44;59,06;81,00;42,19
2019-01-20;72,00;50,00;66,00;70,00;69,00;56,93;48,56;78,70;40,19
2019-01-27;56,00;49,00;65,00;69,00;77,00;60,94;46,12;72,47;37,88
2019-02-03;55,00;43,00;65,00;60,00;76,00;58,33;43,33;68,33;38,33
2019-02-10;51,00;47,00;62,00;55,00;74,00;57,58;42,77;59,23;39,48
2019-02-17;53,00;41,00;60,00;51,00;75,00;59,84;44,45;64,97;42,74
2019-02-24;66,00;44,00;58,00;48,00;75,00;64,31;44,00;64,31;42,31
2019-03-03;54,00;44,00;61,00;53,00;74,00;62,44;42,19;65,81;43,88
2019-03-10;52,00;44,00;60,00;50,00;76,00;63,74;43,61;60,39;43,61
2019-03-17;52,00;43,00;59,00;46,00;78,00;62,06;35,23;62,06;41,94
2019-03-24;53,00;41,00;53,00;44,00;79,00;63,26;37,61;59,84;41,03
2019-03-31;70,00;51,00;56,00;41,00;72,00;59,76;37,56;61,46;40,98
2019-04-07;71,00;45,00;62,00;42,00;77,00;59,17;38,88;72,69;38,88
2019-04-14;66,00;44,00;59,00;42,00;68,00;57,54;37,23;64,31;37,23
2019-04-21;67,00;43,00;63,00;42,00;66,00;61,98;38,53;65,33;38,53
2019-04-28;66,00;45,00;58,00;45,00;66,00;57,75;42,90;64,35;36,30
2019-05-05;64,00;41,00;59,00;43,00;70,00;57,26;40,42;62,32;37,05
2019-05-12;59,00;44,00;57,00;42,00;73,00;53,94;38,77;64,06;40,46
2019-05-19;59,00;47,00;55,00;41,00;72,00;53,94;40,46;69,11;40,46
2019-05-26;55,00;43,00;55,00;42,00;71,00;55,00;41,25;70,47;42,97
2019-06-02;58,00;48,00;56,00;42,00;79,00;63,12;44,35;71,65;46,06
2019-06-09;65,00;50,00;62,00;46,00;78,00;65,00;43,33;75,00;45,00
2019-06-16;67,00;50,00;62,00;46,00;79,00;67,00;40,20;72,03;48,58
2019-06-23;66,00;54,00;57,00;44,00;85,00;69,38;42,31;72,77;45,69
2019-06-30;74,00;60,00;64,00;50,00;90,00;72,32;48,77;72,32;43,73
2019-07-07;72,00;66,00;72,00;68,00;93,00;73,67;55,26;75,35;43,53
2019-07-14;75,00;64,00;69,00;60,00;89,00;75,00;56,25;76,70;44,32
2019-07-21;81,00;61,00;66,00;53,00;94,00;81,00;50,63;74,25;42,19
2019-07-28;96,00;64,00;70,00;52,00;100,00;80,84;53,89;75,79;40,42
2019-08-04;84,00;57,00;73,00;51,00;90,00;82,32;52,08;77,28;42,00
2019-08-11;80,00;53,00;66,00;50,00;89,00;73,19;51,06;74,89;39,15
2019-08-18;64,00;52,00;65,00;50,00;85,00;69,05;48,84;72,42;40,42
2019-08-25;62,00;51,00;57,00;47,00;80,00;62,00;45,24;72,05;35,19
2019-09-01;58,00;51,00;62,00;50,00;73,00;59,71;49,47;69,94;37,53
2019-09-08;61,00;48,00;59,00;47,00;64,00;57,61;40,67;72,86;35,58
2019-09-15;60,00;49,00;61,00;46,00;66,00;53,14;39,43;75,43;37,71
2019-09-22;68,00;54,00;65,00;96,00;73,00;53,07;46,44;84,59;36,49
2019-09-29;57,00;45,00;65,00;55,00;71,00;50,29;43,59;68,74;36,88
2019-10-06;54,00;42,00;64,00;49,00;75,00;48,94;40,50;69,19;35,44
2019-10-13;55,00;47,00;51,00;48,00;71,00;53,33;40,00;61,67;33,33
2019-10-20;60,00;49,00;53,00;48,00;61,00;51,43;42,86;63,43;36,00
2019-10-27;59,00;51,00;54,00;48,00;62,00;48,89;40,46;53,94;32,03
2019-11-03;54,00;53,00;59,00;46,00;62,00;48,94;42,19;59,06;37,13
2019-11-10;51,00;53,00;52,00;43,00;58,00;51,00;39,10;56,10;34,00
2019-11-17;50,00;46,00;52,00;42,00;61,00;50,00;38,33;50,00;35,00
2019-11-24;50,00;45,00;49,00;39,00;59,00;48,33;35,00;48,33;36,67
2019-12-01;45,00;43,00;50,00;38,00;59,00;46,67;38,33;45,00;36,67
2019-12-08;45,00;46,00;52,00;38,00;57,00;46,67;38,33;45,00;35,00
2019-12-15;51,00;46,00;53,00;40,00;53,00;47,60;37,40;54,40;39,10
2019-12-22;60,00;53,00;63,00;52,00;60,00;56,57;46,29;60,00;44,57
2019-12-29;70,00;58,00;74,00;72,00;68,00;60,00;55,00;83,33;46,67
2020-01-05;81,00;64,00;74,00;81,00;73,00;62,44;60,75;89,44;48,94
2020-01-12;81,00;64,00;75,00;74,00;78,00;65,81;60,75;87,75;50,63
