Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;79,00;54,00;39,00;40,00;8,00;38,54;88,63;192,68;94,41
2019-01-13;81,00;48,00;34,00;41,00;11,00;38,57;84,86;173,57;88,71
2019-01-20;72,00;45,00;30,00;37,00;11,00;36,97;64,22;153,73;83,68
2019-01-27;78,00;51,00;40,00;37,00;12,00;33,15;66,30;142,35;78,00
2019-02-03;86,00;53,00;38,00;32,00;10,00;31,27;68,41;144,64;76,23
2019-02-10;100,00;42,00;42,00;29,00;14,00;32,69;59,62;123,08;69,23
2019-02-17;96,00;37,00;40,00;27,00;13,00;32,64;57,60;124,80;80,64
2019-02-24;91,00;43,00;27,00;26,00;12,00;38,72;54,21;123,91;79,38
2019-03-03;85,00;44,00;37,00;27,00;10,00;32,84;50,23;119,77;77,27
2019-03-10;66,00;33,00;26,00;26,00;11,00;33,00;54,35;118,41;69,88
2019-03-17;68,00;39,00;32,00;27,00;11,00;33,03;50,51;128,23;64,11
2019-03-24;63,00;41,00;27,00;23,00;13,00;32,45;53,45;120,27;64,91
2019-03-31;65,00;38,00;34,00;24,00;11,00;28,68;51,62;120,44;61,18
2019-04-07;64,00;37,00;45,00;26,00;14,00;29,09;56,24;129,94;58,18
2019-04-14;55,00;43,00;24,00;26,00;13,00;27,50;47,14;123,75;56,96
2019-04-21;59,00;41,00;34,00;27,00;12,00;34,26;49,48;144,65;55,19
2019-04-28;60,00;41,00;41,00;27,00;13,00;32,90;65,81;147,10;54,19
2019-05-05;58,00;34,00;26,00;27,00;14,00;29,00;52,20;141,13;52,20
2019-05-12;52,00;33,00;31,00;27,00;18,00;26,96;48,15;154,07;53,93
2019-05-19;51,00;41,00;41,00;30,00;17,00;35,31;62,77;160,85;54,92
2019-05-26;53,00;43,00;31,00;32,00;16,00;31,41;62,81;164,89;60,85
2019-06-02;53,00;44,00;32,00;36,00;16,00;37,86;60,57;159,00;56,79
2019-06-09;61,00;55,00;41,00;39,00;18,00;43,84;59,09;160,13;61,00
2019-06-16;63,00;53,00;48,00;43,00;22,00;53,16;61,03;173,25;64,97
2019-06-23;62,00;49,00;33,00;41,00;20,00;48,44;63,94;170,50;58,13
2019-06-30;64,00;54,00;45,00;43,00;26,00;50,42;75,64;166,79;52,36
2019-07-07;67,00;74,00;49,00;46,00;24,00;51,69;89,97;166,54;55,51
2019-07-14;87,00;63,00;50,00;45,00;21,00;46,40;90,87;170,13;58,00
2019-07-21;81,00;61,00;47,00;43,00;25,00;48,21;81,00;162,00;57,86
2019-07-28;83,00;56,00;46,00;43,00;25,00;52,12;83,00;154,42;55,98
2019-08-04;84,00;57,00;51,00;44,00;21,00;54,70;87,91;171,91;52,74
2019-08-11;81,00;44,00;32,00;38,00;24,00;48,21;81,00;146,57;50,14
2019-08-18;69,00;46,00;41,00;34,00;20,00;38,33;63,25;141,83;47,92
2019-08-25;61,00;47,00;36,00;37,00;23,00;34,31;59,09;142,97;43,84
2019-09-01;55,00;37,00;32,00;31,00;15,00;25,54;64,82;139,46;47,14
2019-09-08;46,00;31,00;33,00;32,00;13,00;21,08;51,75;139,92;42,17
2019-09-15;48,00;31,00;28,00;30,00;14,00;17,28;49,92;144,00;48,00
2019-09-22;45,00;27,00;31,00;31,00;14,00;13,13;48,75;174,38;45,00
2019-09-29;47,00;31,00;30,00;29,00;10,00;13,71;41,13;125,33;48,96
2019-10-06;41,00;33,00;28,00;25,00;13,00;13,67;46,86;119,10;42,95
2019-10-13;43,00;33,00;24,00;27,00;9,00;15,64;37,14;101,64;44,95
2019-10-20;44,00;31,00;26,00;26,00;9,00;11,48;44,00;86,09;45,91
2019-10-27;42,00;35,00;15,00;22,00;6,00;11,45;34,36;78,27;42,00
2019-11-03;41,00;42,00;24,00;27,00;8,00;15,62;37,10;89,81;48,81
2019-11-10;41,00;32,00;26,00;20,00;9,00;13,67;37,10;80,05;46,86
2019-11-17;40,00;36,00;22,00;24,00;7,00;17,14;38,10;70,48;47,62
2019-11-24;37,00;29,00;20,00;23,00;8,00;13,63;33,11;75,95;48,68
2019-12-01;34,00;25,00;22,00;22,00;9,00;14,00;34,00;74,00;52,00
2019-12-08;36,00;35,00;22,00;21,00;7,00;11,37;37,89;66,32;49,26
2019-12-15;49,00;36,00;26,00;22,00;8,00;16,96;35,81;79,15;49,00
2019-12-22;57,00;30,00;26,00;31,00;10,00;17,69;55,03;123,83;66,83
2019-12-29;67,00;52,00;40,00;37,00;12,00;26,80;65,09;178,03;89,97
2020-01-05;67,00;49,00;35,00;43,00;12,00;30,63;84,23;183,77;97,63
2020-01-12;70,00;49,00;43,00;40,00;11,00;33,06;75,83;192,50;103,06
2020-01-19;67,00;40,00;41,00;38,00;12,00;30,63;70,83;168,46;93,80
2020-01-26;67,00;42,00;34,00;34,00;9,00;26,80;59,34;147,40;70,83
2020-02-02;64,00;44,00;40,00;30,00;10,00;27,15;54,30;139,64;73,70
2020-02-09;66,00;45,00;29,00;27,00;9,00;27,18;56,29;126,18;71,82
2020-02-16;62,00;48,00;40,00;29,00;13,00;25,19;62,00;137,56;81,38
2020-02-23;51,00;27,00;27,00;24,00;10,00;13,22;39,67;105,78;68,00
2020-03-01;32,00;29,00;22,00;20,00;8,00;13,18;30,12;86,59;52,71
2020-03-08;28,00;24,00;15,00;16,00;4,00;3,73;26,13;69,07;52,27
2020-03-15;8,00;6,00;3,00;9,00;3,00;4,00;6,00;40,00;32,00
2020-03-22;11,00;7,00;11,00;7,00;2,00;3,67;7,33;29,33;23,83
2020-03-29;11,00;9,00;5,00;6,00;3,00;3,67;7,33;27,50;22,00
2020-04-05;11,00;8,00;7,00;9,00;3,00;3,67;7,33;38,50;23,83
2020-04-12;11,00;5,00;14,00;8,00;2,00;3,67;7,33;40,33;27,50
2020-04-19;10,00;9,00;7,00;7,00;2,00;4,00;8,00;36,00;28,00
2020-04-26;8,00;10,00;8,00;7,00;2,00;4,00;8,00;36,00;26,00
2020-05-03;10,00;8,00;7,00;8,00;2,00;4,00;10,00;42,00;30,00
2020-05-10;9,00;6,00;11,00;10,00;2,00;3,60;12,60;32,40;28,80
2020-05-17;14,00;12,00;11,00;13,00;3,00;8,00;18,00;46,00;32,00
2020-05-24;15,00;11,00;12,00;13,00;5,00;9,38;18,75;45,00;30,00
2020-05-31;26,00;13,00;23,00;14,00;4,00;16,71;27,86;50,14;31,57
2020-06-07;26,00;16,00;22,00;17,00;4,00;18,00;24,00;52,00;40,00
2020-06-14;31,00;20,00;15,00;16,00;4,00;21,31;27,13;52,31;38,75
2020-06-21;31,00;20,00;17,00;19,00;6,00;27,13;32,94;69,75;42,63
2020-06-28;38,00;27,00;20,00;22,00;6,00;36,10;36,10;64,60;32,30
2020-07-05;38,00;25,00;28,00;21,00;7,00;34,20;39,90;68,40;36,10
2020-07-12;30,00;20,00;25,00;19,00;7,00;31,88;45,00;75,00;35,63
2020-07-19;29,00;13,00;27,00;22,00;7,00;34,80;40,60;83,13;38,67
2020-07-26;32,00;11,00;28,00;18,00;8,00;36,00;42,00;62,00;38,00
2020-08-02;34,00;14,00;24,00;19,00;11,00;42,00;38,00;62,00;40,00
2020-08-09;34,00;19,00;21,00;15,00;10,00;34,00;28,33;69,89;37,78
2020-08-16;33,00;17,00;13,00;15,00;9,00;23,29;31,06;62,12;38,82
2020-08-23;28,00;17,00;11,00;14,00;8,00;16,80;26,13;65,33;35,47
2020-08-30;27,00;18,00;11,00;15,00;9,00;9,64;28,93;61,71;36,64
2020-09-06;25,00;19,00;16,00;15,00;5,00;9,62;36,54;53,85;38,46
2020-09-13;21,00;12,00;16,00;14,00;3,00;5,73;17,18;53,45;38,18
