Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;67,00;62,33;87,26;24,93;12,47;24,00;41,00;36,00;17,00
2019-01-13;66,00;50,65;90,56;18,42;10,74;19,00;37,00;30,00;17,00
2019-01-20;73,00;49,70;88,53;17,09;15,53;21,00;33,00;29,00;16,00
2019-01-27;70,00;51,33;87,11;20,22;17,11;16,00;28,00;24,00;14,00
2019-02-03;77,00;36,14;99,00;22,00;18,86;16,00;26,00;25,00;13,00
2019-02-10;82,00;28,38;105,65;18,92;17,35;17,00;31,00;23,00;14,00
2019-02-17;80,00;31,37;100,39;15,69;14,12;18,00;31,00;22,00;14,00
2019-02-24;58,00;39,19;76,81;14,11;12,54;13,00;23,00;18,00;11,00
2019-03-03;43,00;33,44;58,93;11,15;11,15;12,00;20,00;16,00;10,00
2019-03-10;33,00;25,14;58,14;9,43;9,43;11,00;16,00;12,00;8,00
2019-03-17;26,00;21,41;47,41;7,65;6,12;8,00;10,00;13,00;6,00
2019-03-24;19,00;14,25;31,67;4,75;4,75;6,00;8,00;11,00;5,00
2019-03-31;16,00;20,80;27,20;3,20;4,80;6,00;7,00;9,00;4,00
2019-04-07;14,00;12,44;23,33;3,11;4,67;5,00;7,00;10,00;3,00
2019-04-14;12,00;7,50;24,00;3,00;4,50;5,00;4,00;6,00;3,00
2019-04-21;7,00;7,00;11,20;1,40;2,80;4,00;5,00;6,00;2,00
2019-04-28;6,00;6,00;7,50;1,50;1,50;3,00;6,00;5,00;2,00
2019-05-05;5,00;5,00;8,33;1,67;1,67;2,00;5,00;4,00;2,00
2019-05-12;4,00;6,00;6,00;2,00;2,00;3,00;4,00;4,00;2,00
2019-05-19;4,00;6,00;6,00;2,00;2,00;2,00;4,00;5,00;2,00
2019-05-26;4,00;4,00;8,00;2,00;2,00;2,00;4,00;4,00;2,00
2019-06-02;4,00;5,33;4,00;1,33;1,33;2,00;4,00;5,00;2,00
2019-06-09;5,00;5,00;6,67;1,67;1,67;2,00;5,00;5,00;2,00
2019-06-16;4,00;5,33;2,67;1,33;1,33;3,00;4,00;5,00;2,00
2019-06-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;5,00;2,00
2019-06-30;5,00;5,00;8,33;1,67;1,67;2,00;5,00;6,00;3,00
2019-07-07;6,00;7,50;6,00;1,50;1,50;2,00;7,00;5,00;2,00
2019-07-14;6,00;7,50;6,00;1,50;1,50;2,00;6,00;6,00;3,00
2019-07-21;9,00;9,00;6,00;1,50;3,00;3,00;8,00;6,00;3,00
2019-07-28;9,00;12,00;9,00;1,50;1,50;4,00;8,00;7,00;3,00
2019-08-04;10,00;15,00;8,33;1,67;1,67;4,00;8,00;6,00;3,00
2019-08-11;12,00;19,50;10,50;3,00;1,50;5,00;12,00;8,00;3,00
2019-08-18;13,00;16,25;11,38;1,63;3,25;5,00;12,00;7,00;3,00
2019-08-25;13,00;14,63;9,75;3,25;3,25;5,00;10,00;8,00;3,00
2019-09-01;13,00;16,25;13,00;3,25;4,88;4,00;14,00;9,00;3,00
2019-09-08;15,00;25,50;9,00;4,50;3,00;5,00;16,00;10,00;3,00
2019-09-15;14,00;23,33;14,00;3,11;3,11;6,00;13,00;10,00;4,00
2019-09-22;17,00;23,18;13,91;3,09;3,09;5,00;15,00;11,00;4,00
2019-09-29;18,00;21,00;12,00;4,50;3,00;5,00;16,00;11,00;4,00
2019-10-06;18,00;24,00;19,50;4,50;3,00;7,00;17,00;13,00;5,00
2019-10-13;19,00;26,92;17,42;4,75;3,17;6,00;16,00;12,00;5,00
2019-10-20;22,00;22,00;17,29;6,29;4,71;7,00;16,00;14,00;5,00
2019-10-27;22,00;29,86;17,29;6,29;4,71;7,00;20,00;13,00;5,00
2019-11-03;30,00;22,11;23,68;6,32;6,32;10,00;20,00;14,00;7,00
2019-11-10;42,00;31,11;37,33;7,78;10,89;16,00;21,00;14,00;7,00
2019-11-17;43,00;30,71;49,14;9,21;10,75;16,00;21,00;15,00;8,00
2019-11-24;39,00;29,64;42,12;7,80;12,48;15,00;19,00;14,00;9,00
2019-12-01;40,00;25,60;52,80;11,20;16,00;17,00;20,00;15,00;11,00
2019-12-08;44,00;28,29;64,43;11,00;12,57;18,00;23,00;17,00;11,00
2019-12-15;50,00;39,06;65,63;12,50;12,50;21,00;27,00;18,00;14,00
2019-12-22;87,00;43,50;130,50;20,20;15,54;37,00;35,00;26,00;19,00
2019-12-29;90,00;51,21;155,17;23,28;20,17;46,00;38,00;31,00;19,00
2020-01-05;64,00;48,39;98,34;17,17;14,05;28,00;38,00;31,00;15,00
2020-01-12;66,00;50,29;83,29;15,71;11,00;23,00;36,00;27,00;15,00
2020-01-19;71,00;52,07;77,31;14,20;15,78;20,00;33,00;25,00;14,00
2020-01-26;65,00;44,39;77,68;12,68;15,85;18,00;28,00;23,00;11,00
2020-02-02;68,00;39,53;90,14;14,23;12,65;20,00;33,00;23,00;12,00
2020-02-09;71,00;34,71;104,13;12,62;11,04;18,00;37,00;22,00;12,00
2020-02-16;70,00;42,00;98,00;10,89;9,33;18,00;34,00;21,00;13,00
2020-02-23;60,00;52,11;82,11;12,63;9,47;16,00;33,00;25,00;10,00
2020-03-01;45,00;41,90;49,66;9,31;6,21;17,00;33,00;19,00;8,00
2020-03-08;67,00;88,81;99,72;14,02;6,23;9,00;49,00;31,00;8,00
2020-03-15;21,00;17,77;14,54;1,62;1,62;2,00;8,00;10,00;6,00
2020-03-22;4,00;4,00;4,00;1,33;1,33;2,00;3,00;3,00;2,00
2020-03-29;4,00;4,00;2,67;0,67;1,33;2,00;2,00;4,00;2,00
2020-04-05;4,00;6,00;8,00;2,00;2,00;2,00;2,00;4,00;2,00
2020-04-12;3,00;4,50;3,00;0,75;1,50;1,00;2,00;4,00;2,00
2020-04-19;3,00;1,50;3,00;0,75;1,50;1,00;3,00;3,00;2,00
2020-04-26;4,00;4,00;4,00;1,00;2,00;2,00;1,00;3,00;2,00
2020-05-03;3,00;3,00;6,00;0,75;1,50;1,00;2,00;4,00;2,00
2020-05-10;3,00;3,00;4,50;1,50;1,50;1,00;2,00;3,00;2,00
2020-05-17;4,00;2,67;4,00;0,67;1,33;2,00;2,00;3,00;2,00
2020-05-24;3,00;3,00;6,00;0,75;0,75;2,00;3,00;3,00;2,00
2020-05-31;4,00;2,67;5,33;1,33;0,67;2,00;3,00;4,00;2,00
2020-06-07;5,00;5,00;6,67;1,67;1,67;3,00;4,00;4,00;2,00
2020-06-14;4,00;4,00;2,67;1,33;1,33;2,00;4,00;4,00;2,00
2020-06-21;5,00;5,00;3,33;1,67;1,67;2,00;2,00;4,00;2,00
2020-06-28;5,00;6,67;5,00;1,67;1,67;3,00;4,00;4,00;2,00
2020-07-05;7,00;5,25;7,00;1,75;0,88;2,00;5,00;4,00;3,00
2020-07-12;6,00;4,50;6,00;1,50;1,50;3,00;3,00;4,00;2,00
2020-07-19;6,00;4,50;7,50;1,50;1,50;4,00;3,00;5,00;3,00
2020-07-26;8,00;4,80;8,00;1,60;1,60;3,00;4,00;4,00;3,00
2020-08-02;9,00;4,50;9,00;1,50;1,50;4,00;4,00;4,00;3,00
2020-08-09;10,00;7,14;7,14;1,43;1,43;5,00;4,00;4,00;3,00
2020-08-16;11,00;11,00;9,43;1,57;1,57;5,00;5,00;5,00;3,00
2020-08-23;11,00;11,00;7,86;1,57;1,57;5,00;7,00;5,00;3,00
2020-08-30;12,00;10,50;12,00;1,50;1,50;4,00;8,00;5,00;3,00
2020-09-06;12,00;10,29;10,29;1,71;1,71;4,00;7,00;5,00;4,00
2020-09-13;11,00;9,43;11,00;1,57;1,57;4,00;6,00;5,00;4,00
2020-09-20;15,00;13,33;11,67;3,33;1,67;5,00;8,00;5,00;4,00
2020-09-27;16,00;11,20;14,40;3,20;3,20;4,00;8,00;5,00;4,00
2020-10-04;16,00;12,80;17,60;3,20;3,20;5,00;9,00;5,00;4,00
2020-10-11;17,00;10,82;21,64;3,09;3,09;4,00;6,00;5,00;5,00
2020-10-18;17,00;6,18;15,45;3,09;3,09;4,00;6,00;6,00;5,00
2020-10-25;11,00;6,29;18,86;3,14;3,14;5,00;5,00;5,00;5,00
2020-11-01;9,00;7,50;18,00;1,50;3,00;3,00;5,00;4,00;5,00
2020-11-08;12,00;9,00;19,50;3,00;3,00;3,00;5,00;5,00;7,00
2020-11-15;15,00;10,50;21,00;1,50;3,00;4,00;6,00;7,00;8,00
2020-11-22;45,00;24,83;46,55;4,66;4,66;7,00;11,00;9,00;8,00
2020-11-29;31,00;26,35;60,45;6,20;6,20;9,00;12,00;9,00;9,00
2020-12-06;31,00;18,60;62,00;3,10;9,30;9,00;12,00;9,00;10,00
2020-12-13;29,00;16,11;75,72;3,22;8,06;6,00;9,00;7,00;14,00
2020-12-20;35,00;14,32;108,18;6,36;9,55;8,00;12,00;7,00;16,00
2020-12-27;64,00;24,98;145,17;7,80;10,93;13,00;16,00;10,00;19,00
2021-01-03;81,00;33,35;109,59;6,35;12,71;12,00;15,00;9,00;15,00
2021-01-10;45,00;30,54;98,04;4,82;9,64;12,00;10,00;8,00;15,00
2021-01-17;64,00;21,85;88,98;4,68;4,68;7,00;10,00;9,00;14,00
2021-01-24;25,00;9,38;82,81;3,13;3,13;8,00;6,00;7,00;13,00
2021-01-31;34,00;8,10;72,86;3,24;4,86;14,00;9,00;7,00;14,00
2021-02-07;45,00;13,97;99,31;4,66;4,66;22,00;13,00;7,00;13,00
2021-02-14;49,00;13,78;108,72;4,59;4,59;19,00;12,00;7,00;14,00
2021-02-21;31,00;7,75;80,60;3,10;3,10;6,00;5,00;6,00;11,00
2021-02-28;20,00;9,23;40,00;3,08;4,62;4,00;7,00;5,00;9,00
2021-03-07;14,00;7,78;37,33;3,11;4,67;2,00;7,00;5,00;8,00
2021-03-14;13,00;4,88;50,38;3,25;4,88;2,00;5,00;5,00;7,00
2021-03-21;9,00;6,00;43,50;1,50;3,00;2,00;4,00;4,00;6,00
2021-03-28;5,00;3,33;35,00;1,67;3,33;2,00;3,00;3,00;4,00
2021-04-04;3,00;4,50;34,50;1,50;1,50;2,00;4,00;4,00;4,00
2021-04-11;3,00;4,50;22,50;1,50;1,50;2,00;3,00;3,00;3,00
2021-04-18;3,00;3,00;9,00;1,50;1,50;2,00;2,00;3,00;3,00
2021-04-25;3,00;1,50;4,50;0,75;1,50;2,00;4,00;3,00;3,00
2021-05-02;4,00;2,00;8,00;1,00;2,00;2,00;4,00;2,00;3,00
2021-05-09;4,00;2,67;4,00;1,33;1,33;1,00;3,00;3,00;3,00
2021-05-16;4,00;4,00;4,00;1,33;1,33;3,00;3,00;2,00;3,00
2021-05-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;4,00;3,00
2021-05-30;2,00;2,00;6,00;1,00;2,00;2,00;3,00;2,00;3,00
2021-06-06;4,00;4,00;8,00;1,00;2,00;2,00;3,00;2,00;3,00
2021-06-13;2,00;2,00;3,00;0,50;1,00;2,00;3,00;2,00;3,00
2021-06-20;3,00;3,00;3,00;0,75;1,50;2,00;3,00;2,00;3,00
2021-06-27;4,00;2,67;4,00;0,67;1,33;2,00;4,00;2,00;3,00
