Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;51,00;78,00;18,00;12,00;5,00;16,17;113,20;6,22;22,39
2019-01-13;49,00;78,00;17,00;11,00;4,00;13,48;110,25;6,13;19,60
2019-01-20;45,00;69,00;11,00;11,00;6,00;12,16;93,65;6,08;20,68
2019-01-27;40,00;67,00;15,00;11,00;4,00;13,75;106,25;6,25;20,00
2019-02-03;43,00;69,00;12,00;12,00;5,00;12,29;98,29;7,37;19,66
2019-02-10;40,00;74,00;11,00;10,00;4,00;16,25;101,25;6,25;20,00
2019-02-17;45,00;60,00;17,00;11,00;6,00;12,16;97,30;6,08;20,68
2019-02-24;47,00;64,00;20,00;11,00;5,00;13,61;101,42;6,18;21,03
2019-03-03;42,00;80,00;15,00;12,00;5,00;13,59;91,41;6,18;22,24
2019-03-10;41,00;68,00;13,00;12,00;6,00;13,67;90,70;4,97;21,12
2019-03-17;44,00;65,00;18,00;11,00;4,00;12,22;85,56;7,33;20,78
2019-03-24;44,00;67,00;15,00;12,00;4,00;14,67;79,44;6,11;19,56
2019-03-31;49,00;74,00;17,00;12,00;6,00;15,08;91,72;6,28;21,36
2019-04-07;46,00;71,00;16,00;13,00;5,00;14,53;87,16;8,47;19,37
2019-04-14;42,00;60,00;16,00;12,00;4,00;13,59;76,59;6,18;18,53
2019-04-21;45,00;66,00;16,00;12,00;5,00;13,38;75,41;7,30;19,46
2019-04-28;45,00;57,00;14,00;11,00;6,00;15,00;91,25;6,25;20,00
2019-05-05;43,00;66,00;13,00;11,00;6,00;13,51;83,54;7,37;19,66
2019-05-12;39,00;58,00;12,00;11,00;6,00;13,41;85,31;7,31;20,72
2019-05-19;41,00;62,00;18,00;13,00;4,00;13,67;90,70;7,45;21,12
2019-05-26;40,00;63,00;15,00;13,00;6,00;13,33;89,70;6,06;20,61
2019-06-02;45,00;63,00;15,00;13,00;7,00;16,25;88,75;7,50;22,50
2019-06-09;48,00;76,00;16,00;14,00;6,00;16,00;93,54;6,15;22,15
2019-06-16;47,00;71,00;13,00;14,00;6,00;17,32;91,53;7,42;22,26
2019-06-23;47,00;69,00;19,00;13,00;6,00;17,32;89,05;7,42;22,26
2019-06-30;55,00;91,00;17,00;16,00;6,00;16,25;101,25;7,50;22,50
2019-07-07;56,00;90,00;20,00;16,00;7,00;18,67;124,44;8,71;22,40
2019-07-14;52,00;97,00;22,00;15,00;8,00;17,33;120,10;8,67;22,29
2019-07-21;51,00;75,00;19,00;16,00;8,00;18,66;118,17;9,95;21,15
2019-07-28;57,00;88,00;18,00;15,00;9,00;19,83;109,04;7,43;21,07
2019-08-04;55,00;82,00;19,00;14,00;9,00;20,00;113,75;7,50;20,00
2019-08-11;51,00;71,00;16,00;12,00;7,00;18,66;106,98;7,46;19,90
2019-08-18;44,00;60,00;24,00;13,00;7,00;14,67;97,78;7,33;19,56
2019-08-25;38,00;69,00;12,00;12,00;6,00;15,94;95,61;7,35;18,39
2019-09-01;42,00;57,00;14,00;11,00;5,00;16,06;98,82;8,65;18,53
2019-09-08;44,00;70,00;14,00;11,00;7,00;15,09;91,77;10,06;18,86
2019-09-15;41,00;56,00;15,00;10,00;6,00;13,67;89,45;9,94;18,64
2019-09-22;36,00;72,00;15,00;10,00;5,00;14,90;88,14;9,93;18,62
2019-09-29;43,00;55,00;14,00;12,00;5,00;14,74;81,09;9,83;18,43
2019-10-06;38,00;53,00;15,00;11,00;6,00;13,48;90,71;11,03;18,39
2019-10-13;40,00;60,00;17,00;11,00;5,00;13,75;90,00;15,00;20,00
2019-10-20;40,00;57,00;13,00;11,00;5,00;13,33;81,21;30,30;29,09
