Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;69,00;12,00;17,00;28,00;45,00;14,00;39,00;45,00;1,00
2019-01-13;70,00;16,00;17,00;28,00;47,00;18,00;38,00;39,00;1,00
2019-01-20;53,00;12,00;15,00;25,00;39,00;16,00;32,00;34,00;1,00
2019-01-27;45,00;10,00;12,00;23,00;29,00;12,00;27,00;29,00;1,00
2019-02-03;44,00;12,00;11,00;24,00;31,00;10,00;24,00;31,00;1,00
2019-02-10;47,00;12,00;11,00;30,00;35,00;10,00;26,00;31,00;1,00
2019-02-17;47,00;12,00;12,00;30,00;37,00;10,00;26,00;31,00;1,00
2019-02-24;45,00;15,00;11,00;27,00;33,00;11,00;24,00;27,00;1,00
2019-03-03;60,00;13,00;12,00;30,00;36,00;10,00;34,00;32,00;1,00
2019-03-10;48,00;14,00;13,00;28,00;35,00;15,00;34,00;30,00;1,00
2019-03-17;61,00;10,00;14,00;31,00;47,00;18,00;34,00;61,00;1,00
2019-03-24;57,00;15,00;14,00;33,00;46,00;15,00;32,00;40,00;1,00
2019-03-31;64,00;16,00;14,00;26,00;44,00;14,00;39,00;27,00;1,00
2019-04-07;63,00;21,00;15,00;26,00;50,00;15,00;31,00;31,00;1,00
2019-04-14;51,00;24,00;16,00;27,00;51,00;14,00;35,00;26,00;1,00
2019-04-21;50,00;21,00;16,00;26,00;50,00;16,00;36,00;25,00;1,00
2019-04-28;50,00;17,00;18,00;21,00;46,00;14,00;34,00;25,00;1,00
2019-05-05;47,00;15,00;19,00;25,00;38,00;12,00;27,00;26,00;1,00
2019-05-12;47,00;15,00;18,00;25,00;37,00;12,00;26,00;27,00;1,00
2019-05-19;44,00;15,00;18,00;26,00;37,00;11,00;33,00;28,00;1,00
2019-05-26;50,00;18,00;17,00;25,00;46,00;10,00;30,00;33,00;1,00
2019-06-02;52,00;13,00;15,00;28,00;39,00;11,00;28,00;27,00;1,00
2019-06-09;56,00;13,00;18,00;26,00;43,00;13,00;29,00;29,00;1,00
2019-06-16;51,00;13,00;16,00;26,00;41,00;14,00;26,00;30,00;1,00
2019-06-23;46,00;12,00;13,00;23,00;42,00;12,00;23,00;28,00;1,00
2019-06-30;62,00;12,00;14,00;26,00;47,00;13,00;25,00;28,00;1,00
2019-07-07;65,00;16,00;18,00;25,00;46,00;13,00;43,00;29,00;1,00
2019-07-14;71,00;16,00;17,00;29,00;61,00;14,00;40,00;31,00;1,00
2019-07-21;61,00;14,00;16,00;28,00;52,00;14,00;35,00;30,00;1,00
2019-07-28;71,00;17,00;20,00;29,00;54,00;16,00;37,00;34,00;1,00
2019-08-04;69,00;13,00;16,00;29,00;60,00;16,00;43,00;35,00;1,00
2019-08-11;66,00;16,00;16,00;28,00;60,00;16,00;34,00;32,00;1,00
2019-08-18;67,00;15,00;15,00;30,00;57,00;17,00;33,00;33,00;1,00
2019-08-25;55,00;15,00;15,00;32,00;50,00;17,00;26,00;33,00;1,00
