Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;47,00;24,00;14,00;6,00;91,67;37,50;54,17;12,50
2019-01-13;29,00;48,00;26,00;14,00;6,00;95,29;41,43;45,57;12,43
2019-01-20;29,00;54,00;25,00;11,00;8,00;95,29;33,14;49,71;12,43
2019-01-27;33,00;43,00;26,00;10,00;7,00;86,63;33,00;45,38;12,38
2019-02-03;34,00;46,00;23,00;10,00;8,00;93,50;34,00;51,00;12,75
2019-02-10;35,00;48,00;36,00;10,00;8,00;100,63;48,13;52,50;13,13
2019-02-17;37,00;54,00;24,00;9,00;8,00;90,44;37,00;49,33;12,33
2019-02-24;45,00;52,00;31,00;8,00;9,00;102,27;36,82;49,09;12,27
2019-03-03;42,00;49,00;33,00;11,00;7,00;109,20;37,80;46,20;12,60
2019-03-10;37,00;48,00;30,00;11,00;7,00;106,89;32,89;49,33;12,33
2019-03-17;38,00;43,00;26,00;10,00;9,00;118,22;33,78;50,67;12,67
2019-03-24;39,00;46,00;26,00;9,00;8,00;121,33;39,00;52,00;13,00
2019-03-31;37,00;50,00;36,00;11,00;7,00;135,67;49,33;53,44;12,33
2019-04-07;37,00;53,00;42,00;12,00;9,00;139,78;45,22;61,67;12,33
2019-04-14;37,00;46,00;40,00;13,00;8,00;143,89;49,33;61,67;12,33
2019-04-21;35,00;46,00;33,00;12,00;7,00;175,00;39,38;56,88;13,13
2019-04-28;35,00;51,00;30,00;12,00;8,00;144,38;56,88;61,25;13,13
2019-05-05;33,00;45,00;36,00;12,00;7,00;136,13;41,25;53,63;12,38
2019-05-12;32,00;47,00;32,00;12,00;8,00;132,57;50,29;64,00;13,71
2019-05-19;36,00;50,00;35,00;12,00;8,00;139,50;54,00;72,00;13,50
2019-05-26;42,00;61,00;41,00;14,00;9,00;138,60;54,60;63,00;12,60
2019-06-02;38,00;61,00;38,00;12,00;10,00;177,33;46,44;63,33;12,67
2019-06-09;39,00;67,00;43,00;14,00;9,00;199,33;43,33;65,00;13,00
2019-06-16;40,00;72,00;39,00;14,00;10,00;217,78;53,33;66,67;17,78
2019-06-23;41,00;68,00;33,00;14,00;10,00;213,20;45,10;65,60;16,40
2019-06-30;40,00;97,00;40,00;12,00;10,00;240,00;48,89;71,11;17,78
2019-07-07;48,00;92,00;34,00;14,00;11,00;226,91;61,09;69,82;17,45
2019-07-14;51,00;99,00;47,00;16,00;10,00;229,50;63,75;68,00;17,00
2019-07-21;53,00;78,00;43,00;16,00;11,00;244,62;61,15;65,23;16,31
2019-07-28;55,00;73,00;44,00;15,00;10,00;258,08;63,46;71,92;12,69
2019-08-04;63,00;81,00;34,00;14,00;12,00;323,40;75,60;75,60;16,80
2019-08-11;63,00;68,00;34,00;15,00;9,00;336,00;71,40;67,20;12,60
2019-08-18;54,00;69,00;38,00;14,00;11,00;232,62;62,31;74,77;12,46
2019-08-25;43,00;58,00;31,00;14,00;9,00;189,20;51,60;68,80;12,90
2019-09-01;34,00;51,00;36,00;13,00;9,00;157,25;46,75;59,50;12,75
2019-09-08;35,00;46,00;35,00;12,00;8,00;157,50;48,13;65,63;13,13
2019-09-15;30,00;48,00;33,00;13,00;8,00;145,71;42,86;64,29;12,86
2019-09-22;28,00;44,00;29,00;11,00;8,00;120,00;36,00;56,00;12,00
2019-09-29;29,00;44,00;32,00;12,00;6,00;124,29;33,14;53,86;12,43
2019-10-06;27,00;35,00;30,00;10,00;8,00;130,50;45,00;58,50;13,50
2019-10-13;26,00;36,00;25,00;10,00;8,00;121,33;34,67;47,67;13,00
2019-10-20;26,00;33,00;28,00;11,00;6,00;121,33;34,67;47,67;13,00
2019-10-27;24,00;36,00;13,00;8,00;6,00;104,00;28,00;40,00;12,00
2019-11-03;22,00;34,00;20,00;8,00;5,00;101,20;30,80;44,00;13,20
2019-11-10;20,00;35,00;20,00;9,00;5,00;96,00;24,00;32,00;8,00
2019-11-17;21,00;33,00;17,00;8,00;7,00;100,80;25,20;33,60;12,60
2019-11-24;18,00;34,00;16,00;10,00;8,00;94,50;27,00;36,00;13,50
2019-12-01;20,00;26,00;18,00;9,00;7,00;88,00;24,00;28,00;12,00
2019-12-08;18,00;27,00;17,00;8,00;6,00;90,00;27,00;31,50;13,50
2019-12-15;16,00;29,00;16,00;8,00;5,00;80,00;24,00;28,00;12,00
2019-12-22;45,00;36,00;28,00;10,00;6,00;110,45;28,64;40,91;20,45
2019-12-29;27,00;38,00;25,00;11,00;7,00;130,50;36,00;49,50;18,00
2020-01-05;24,00;41,00;27,00;12,00;7,00;88,00;32,00;48,00;16,00
2020-01-12;25,00;44,00;28,00;12,00;7,00;95,83;41,67;45,83;16,67
2020-01-19;26,00;41,00;25,00;11,00;7,00;99,67;39,00;47,67;17,33
2020-01-26;28,00;40,00;24,00;10,00;7,00;92,00;32,00;44,00;12,00
2020-02-02;35,00;45,00;28,00;11,00;6,00;96,25;30,63;52,50;17,50
2020-02-09;29,00;42,00;23,00;11,00;7,00;107,71;29,00;49,71;16,57
2020-02-16;33,00;44,00;23,00;12,00;6,00;99,00;37,13;45,38;16,50
2020-02-23;26,00;45,00;21,00;8,00;7,00;56,33;30,33;47,67;13,00
2020-03-01;24,00;32,00;14,00;8,00;6,00;56,00;24,00;44,00;12,00
2020-03-08;19,00;28,00;13,00;6,00;4,00;19,00;19,00;34,20;11,40
2020-03-15;8,00;15,00;5,00;3,00;2,00;16,00;8,00;24,00;8,00
2020-03-22;8,00;11,00;4,00;2,00;2,00;12,00;8,00;16,00;8,00
2020-03-29;10,00;13,00;6,00;2,00;1,00;20,00;5,00;20,00;5,00
2020-04-05;9,00;10,00;6,00;2,00;2,00;13,50;9,00;22,50;9,00
2020-04-12;10,00;19,00;6,00;2,00;2,00;20,00;20,00;20,00;10,00
2020-04-19;11,00;14,00;10,00;2,00;2,00;14,67;14,67;14,67;7,33
2020-04-26;11,00;16,00;10,00;2,00;2,00;18,33;22,00;14,67;7,33
2020-05-03;13,00;12,00;16,00;3,00;2,00;21,67;26,00;21,67;8,67
2020-05-10;17,00;15,00;15,00;3,00;1,00;29,75;38,25;21,25;12,75
2020-05-17;24,00;22,00;26,00;5,00;2,00;44,00;40,00;20,00;12,00
2020-05-24;27,00;27,00;27,00;5,00;3,00;67,50;45,00;22,50;13,50
2020-05-31;35,00;44,00;28,00;7,00;3,00;100,63;52,50;26,25;13,13
2020-06-07;40,00;57,00;31,00;8,00;4,00;124,44;57,78;26,67;17,78
2020-06-14;42,00;77,00;24,00;8,00;4,00;151,20;58,80;29,40;16,80
2020-06-21;45,00;74,00;34,00;8,00;5,00;180,00;65,45;40,91;16,36
2020-06-28;53,00;85,00;34,00;10,00;5,00;216,42;70,67;48,58;17,67
2020-07-05;57,00;94,00;38,00;10,00;5,00;245,54;74,54;52,62;17,54
2020-07-12;55,00;100,00;44,00;11,00;6,00;241,15;80,38;59,23;16,92
2020-07-19;54,00;81,00;46,00;11,00;5,00;274,15;74,77;70,62;16,62
2020-07-26;61,00;71,00;42,00;11,00;7,00;305,00;78,43;78,43;17,43
2020-08-02;71,00;84,00;40,00;10,00;5,00;359,18;75,18;79,35;16,71
2020-08-09;62,00;69,00;30,00;10,00;5,00;413,33;49,60;66,13;16,53
2020-08-16;56,00;71,00;32,00;9,00;4,00;305,85;56,00;73,23;17,23
2020-08-23;40,00;60,00;29,00;8,00;4,00;195,56;57,78;71,11;17,78
2020-08-30;36,00;58,00;33,00;9,00;4,00;162,00;58,50;63,00;18,00
2020-09-06;36,00;63,00;29,00;9,00;3,00;128,00;72,00;52,00;16,00
2020-09-13;31,00;50,00;24,00;8,00;3,00;119,57;62,00;57,57;17,71
2020-09-20;26,00;32,00;25,00;7,00;3,00;91,00;43,33;43,33;17,33
2020-09-27;20,00;32,00;17,00;7,00;2,00;72,00;32,00;36,00;16,00
2020-10-04;20,00;28,00;19,00;6,00;3,00;68,00;36,00;36,00;16,00
2020-10-11;21,00;25,00;13,00;4,00;2,00;58,80;25,20;33,60;16,80
2020-10-18;21,00;26,00;13,00;4,00;3,00;37,80;16,80;29,40;16,80
2020-10-25;12,00;19,00;9,00;3,00;2,00;32,00;16,00;24,00;12,00
2020-11-01;8,00;20,00;8,00;2,00;1,00;24,00;16,00;20,00;12,00
2020-11-08;9,00;27,00;10,00;2,00;2,00;27,00;18,00;22,50;13,50
2020-11-15;9,00;18,00;8,00;3,00;2,00;27,00;18,00;18,00;13,50
2020-11-22;10,00;22,00;9,00;2,00;2,00;35,00;20,00;20,00;15,00
2020-11-29;11,00;18,00;9,00;2,00;2,00;33,00;16,50;22,00;16,50
2020-12-06;12,00;18,00;8,00;2,00;2,00;28,00;16,00;20,00;12,00
2020-12-13;14,00;19,00;8,00;2,00;3,00;32,67;14,00;23,33;14,00
