Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;37,00;56,00;40,00;52,00;46,13;39,38;56,25;22,50
2019-01-13;28,00;37,00;55,00;42,00;53,00;47,38;31,23;52,77;22,62
2019-01-20;28,00;37,00;59,00;38,00;55,00;44,80;36,96;50,40;22,40
2019-01-27;29,00;35,00;57,00;40,00;59,00;46,85;34,58;47,96;21,19
2019-02-03;32,00;40,00;61,00;37,00;61,00;45,24;36,41;49,66;23,17
2019-02-10;31,00;39,00;54,00;37,00;62,00;44,90;35,28;47,03;24,59
2019-02-17;31,00;37,00;54,00;37,00;66,00;48,71;35,43;47,61;25,46
2019-02-24;32,00;36,00;57,00;36,00;68,00;52,97;33,10;44,14;24,28
2019-03-03;31,00;39,00;57,00;36,00;60,00;49,82;31,00;47,61;25,46
2019-03-10;29,00;33,00;57,00;36,00;63,00;49,08;32,35;43,50;27,88
2019-03-17;30,00;34,00;56,00;35,00;64,00;52,22;32,22;46,67;23,33
2019-03-24;31,00;32,00;55,00;35,00;66,00;53,14;31,00;45,39;25,46
2019-03-31;31,00;35,00;50,00;33,00;60,00;50,93;33,21;45,39;25,46
2019-04-07;32,00;37,00;56,00;37,00;66,00;54,07;33,10;49,66;24,28
2019-04-14;31,00;35,00;56,00;35,00;64,00;50,24;29,93;43,83;22,45
2019-04-21;28,00;32,00;54,00;34,00;57,00;59,36;28,00;45,92;24,64
2019-04-28;29,00;34,00;58,00;35,00;62,00;49,41;34,37;46,19;24,70
2019-05-05;27,00;30,00;52,00;35,00;67,00;54,00;30,24;46,44;23,76
2019-05-12;27,00;35,00;55,00;36,00;62,00;47,52;31,32;45,36;24,84
2019-05-19;28,00;32,00;51,00;36,00;66,00;52,64;32,48;53,76;29,12
2019-05-26;30,00;32,00;54,00;36,00;69,00;52,50;33,21;52,50;28,93
2019-06-02;30,00;33,00;56,00;38,00;77,00;67,50;31,07;48,21;27,86
2019-06-09;29,00;35,00;57,00;39,00;76,00;70,89;33,30;49,41;29,00
2019-06-16;31,00;37,00;60,00;40,00;81,00;80,82;32,11;54,25;32,11
2019-06-23;31,00;36,00;59,00;39,00;84,00;84,14;34,32;52,04;31,00
2019-06-30;30,00;39,00;59,00;40,00;90,00;91,11;37,78;52,22;31,11
2019-07-07;33,00;44,00;64,00;43,00;94,00;83,60;39,60;50,60;30,80
2019-07-14;33,00;45,00;70,00;43,00;92,00;83,60;39,60;51,70;31,90
2019-07-21;35,00;47,00;66,00;43,00;97,00;87,50;39,38;51,41;31,72
2019-07-28;39,00;49,00;69,00;43,00;98,00;89,14;43,46;53,49;28,97
2019-08-04;40,00;46,00;59,00;46,00;100,00;95,14;40,00;52,97;28,11
2019-08-11;42,00;41,00;58,00;42,00;95,00;98,37;39,79;54,16;27,63
2019-08-18;35,00;38,00;54,00;43,00;92,00;86,41;38,28;52,50;25,16
2019-08-25;31,00;35,00;57,00;42,00;79,00;68,64;32,11;50,93;25,46
2019-09-01;31,00;33,00;57,00;39,00;75,00;56,66;33,14;55,59;24,59
2019-09-08;31,00;35,00;57,00;39,00;60,00;56,46;32,11;60,89;25,46
2019-09-15;29,00;35,00;57,00;40,00;61,00;50,19;33,46;59,12;26,77
2019-09-22;28,00;32,00;52,00;39,00;60,00;44,15;31,23;57,08;25,85
2019-09-29;28,00;33,00;60,00;38,00;64,00;42,00;30,15;53,85;26,92
2019-10-06;26,00;31,00;54,00;37,00;58,00;43,33;32,50;55,25;24,92
2019-10-13;26,00;33,00;51,00;35,00;59,00;40,08;29,25;49,83;23,83
2019-10-20;27,00;31,00;45,00;33,00;54,00;40,50;32,63;51,75;22,50
2019-10-27;26,00;35,00;45,00;31,00;51,00;39,00;31,42;45,50;21,67
2019-11-03;26,00;33,00;41,00;33,00;50,00;38,43;29,39;46,35;23,74
2019-11-10;26,00;33,00;42,00;30,00;47,00;40,70;27,13;45,22;22,61
2019-11-17;25,00;29,00;40,00;31,00;49,00;39,13;27,17;42,39;21,74
2019-11-24;23,00;30,00;40,00;27,00;48,00;37,24;26,29;43,81;23,00
2019-12-01;24,00;29,00;45,00;28,00;51,00;39,27;27,27;41,45;22,91
2019-12-08;22,00;27,00;43,00;27,00;45,00;39,60;25,30;39,60;24,20
2019-12-15;23,00;26,00;46,00;28,00;41,00;38,33;26,29;43,81;26,29
2019-12-22;27,00;34,00;63,00;37,00;46,00;45,36;32,40;50,76;31,32
2019-12-29;29,00;35,00;58,00;41,00;51,00;53,70;32,22;54,78;29,00
2020-01-05;28,00;37,00;59,00;40,00;50,00;43,68;39,20;62,72;31,36
2020-01-12;29,00;39,00;59,00;42,00;55,00;47,96;37,92;62,46;33,46
2020-01-19;28,00;40,00;56,00;40,00;51,00;44,80;34,72;58,24;32,48
2020-01-26;28,00;34,00;51,00;37,00;54,00;43,68;34,72;54,88;28,00
2020-02-02;29,00;35,00;59,00;35,00;59,00;43,50;33,46;53,54;30,12
2020-02-09;29,00;39,00;52,00;35,00;60,00;44,04;31,15;53,70;32,22
2020-02-16;30,00;34,00;56,00;34,00;57,00;42,22;34,44;56,67;32,22
2020-02-23;25,00;30,00;42,00;32,00;59,00;28,26;31,52;52,17;31,52
2020-03-01;23,00;28,00;36,00;28,00;47,00;28,48;25,19;47,10;29,57
2020-03-08;18,00;21,00;32,00;24,00;36,00;12,71;21,18;39,18;27,53
2020-03-15;9,00;11,00;18,00;14,00;19,00;11,25;14,63;31,50;21,38
2020-03-22;7,00;8,00;14,00;9,00;14,00;9,33;9,33;22,17;17,50
2020-03-29;6,00;8,00;13,00;8,00;12,00;8,00;7,00;15,00;12,00
2020-04-05;6,00;8,00;12,00;9,00;13,00;8,00;6,00;17,00;13,00
2020-04-12;6,00;8,00;15,00;9,00;13,00;9,00;6,00;16,00;13,00
2020-04-19;6,00;9,00;17,00;8,00;12,00;9,00;8,00;16,00;12,00
2020-04-26;6,00;8,00;18,00;9,00;11,00;10,80;13,20;19,20;15,60
2020-05-03;6,00;7,00;21,00;13,00;13,00;9,00;11,00;18,00;15,00
2020-05-10;7,00;8,00;24,00;15,00;13,00;14,00;15,17;22,17;21,00
2020-05-17;9,00;10,00;32,00;17,00;17,00;19,00;17,00;21,00;20,00
2020-05-24;11,00;12,00;36,00;20,00;24,00;24,20;18,70;22,00;22,00
2020-05-31;16,00;17,00;40,00;22,00;25,00;34,13;21,33;22,40;21,33
2020-06-07;18,00;20,00;42,00;24,00;29,00;42,75;24,75;24,75;28,13
2020-06-14;20,00;26,00;45,00;25,00;35,00;53,33;27,78;28,89;30,00
2020-06-21;22,00;26,00;50,00;25,00;43,00;69,30;26,40;31,90;27,50
2020-06-28;26,00;31,00;51,00;29,00;50,00;74,75;32,50;33,58;24,92
2020-07-05;28,00;32,00;55,00;33,00;54,00;79,69;34,46;36,62;24,77
2020-07-12;30,00;32,00;66,00;35,00;53,00;80,00;38,89;42,22;26,67
2020-07-19;27,00;26,00;69,00;35,00;54,00;83,16;37,80;47,52;28,08
2020-07-26;31,00;23,00;65,00;33,00;64,00;91,89;38,75;47,61;27,68
2020-08-02;35,00;28,00;61,00;34,00;73,00;97,34;35,00;50,31;28,44
2020-08-09;35,00;27,00;54,00;31,00;69,00;112,90;29,35;48,55;28,23
2020-08-16;30,00;24,00;58,00;31,00;65,00;92,22;27,78;52,22;25,56
2020-08-23;23,00;23,00;50,00;30,00;56,00;66,81;28,48;50,38;25,19
2020-08-30;23,00;25,00;52,00;30,00;48,00;55,86;28,48;48,19;25,19
2020-09-06;22,00;24,00;51,00;31,00;41,00;49,50;30,80;42,90;24,20
2020-09-13;20,00;20,00;49,00;30,00;35,00;40,00;26,67;41,11;22,22
2020-09-20;17,00;17,00;43,00;25,00;32,00;30,60;22,67;38,53;23,80
2020-09-27;16,00;16,00;47,00;25,00;30,00;25,60;18,13;37,33;23,47
2020-10-04;18,00;17,00;47,00;22,00;35,00;25,88;19,13;39,38;27,00
