Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;17,00;24,29;31,57;26,71;218,57;34,00;22,00;18,00;8,00
2019-04-28;14,00;30,33;30,33;23,33;207,67;29,00;31,00;19,00;8,00
2019-05-05;17,00;26,71;38,86;29,14;191,86;28,00;19,00;21,00;8,00
2019-05-12;14,00;30,33;30,33;25,67;191,33;23,00;24,00;20,00;8,00
2019-05-19;17,00;38,86;24,29;31,57;201,57;24,00;23,00;24,00;9,00
2019-05-26;14,00;32,67;30,33;25,67;205,33;24,00;25,00;17,00;8,00
2019-06-02;17,00;34,00;34,00;21,25;193,38;28,00;23,00;21,00;9,00
2019-06-09;17,00;34,00;36,43;29,14;218,57;29,00;18,00;22,00;9,00
2019-06-16;16,00;29,71;36,57;25,14;228,57;30,00;20,00;22,00;9,00
2019-06-23;15,00;27,50;37,50;30,00;247,50;30,00;19,00;23,00;9,00
2019-06-30;16,00;45,71;29,71;29,71;214,86;28,00;25,00;21,00;9,00
2019-07-07;16,00;36,57;43,43;32,00;221,71;27,00;28,00;22,00;8,00
2019-07-14;18,00;40,50;24,75;29,25;213,75;34,00;26,00;22,00;8,00
2019-07-21;17,00;36,13;42,50;25,50;208,25;33,00;26,00;25,00;8,00
2019-07-28;16,00;41,14;32,00;34,29;224,00;32,00;38,00;23,00;8,00
2019-08-04;16,00;38,86;36,57;34,29;228,57;37,00;34,00;23,00;7,00
2019-08-11;15,00;45,00;32,14;32,14;207,86;30,00;28,00;20,00;7,00
2019-08-18;16,00;36,57;34,29;32,00;212,57;38,00;22,00;22,00;7,00
2019-08-25;16,00;34,29;25,14;32,00;203,43;34,00;20,00;21,00;7,00
2019-09-01;14,00;42,00;44,33;25,67;205,33;38,00;22,00;20,00;8,00
2019-09-08;16,00;36,57;29,71;29,71;210,29;32,00;22,00;24,00;8,00
2019-09-15;15,00;32,50;42,50;35,00;222,50;35,00;25,00;26,00;8,00
2019-09-22;17,00;43,71;43,71;29,14;201,57;36,00;22,00;22,00;9,00
2019-09-29;21,00;44,33;39,67;30,33;207,67;39,00;18,00;25,00;8,00
2019-10-06;19,00;30,88;49,88;33,25;206,63;35,00;26,00;24,00;8,00
2019-10-13;17,00;43,71;34,00;24,29;206,43;38,00;31,00;20,00;7,00
