Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;28,00;35,00;26,00;11,00;3,00;91,00;28,00;52,50;10,50
2019-01-13;26,00;43,00;27,00;10,00;6,00;81,25;32,50;42,25;6,50
2019-01-20;28,00;54,00;19,00;11,00;8,00;91,00;38,50;49,00;10,50
2019-01-27;32,00;51,00;37,00;11,00;7,00;76,80;25,60;41,60;9,60
2019-02-03;35,00;44,00;34,00;7,00;8,00;70,00;22,27;44,55;9,55
2019-02-10;35,00;38,00;28,00;7,00;6,00;94,50;35,00;45,50;10,50
2019-02-17;35,00;50,00;30,00;10,00;7,00;101,50;38,50;45,50;10,50
2019-02-24;41,00;51,00;26,00;9,00;6,00;102,50;34,17;47,83;10,25
2019-03-03;35,00;43,00;30,00;7,00;10,00;87,50;38,50;45,50;10,50
2019-03-10;33,00;38,00;35,00;10,00;6,00;92,40;26,40;46,20;9,90
2019-03-17;41,00;42,00;18,00;7,00;7,00;102,50;34,17;47,83;10,25
2019-03-24;38,00;27,00;26,00;7,00;8,00;103,64;38,00;48,36;10,36
2019-03-31;33,00;36,00;18,00;11,00;7,00;115,50;42,90;42,90;9,90
2019-04-07;32,00;38,00;27,00;11,00;4,00;121,60;44,80;51,20;9,60
2019-04-14;39,00;56,00;40,00;10,00;7,00;104,00;32,50;52,00;9,75
2019-04-21;38,00;46,00;33,00;10,00;7,00;134,73;44,91;55,27;10,36
2019-04-28;32,00;42,00;32,00;11,00;7,00;135,11;49,78;56,89;10,67
2019-05-05;34,00;41,00;22,00;10,00;4,00;119,00;37,40;57,80;10,20
2019-05-12;27,00;37,00;36,00;11,00;5,00;111,38;43,88;54,00;10,13
2019-05-19;23,00;39,00;24,00;10,00;7,00;118,29;29,57;52,57;9,86
2019-05-26;35,00;57,00;25,00;10,00;7,00;119,00;45,50;59,50;10,50
2019-06-02;40,00;44,00;25,00;11,00;10,00;153,33;36,67;60,00;10,00
2019-06-09;32,00;79,00;30,00;13,00;6,00;170,67;42,67;56,89;14,22
2019-06-16;39,00;67,00;27,00;13,00;9,00;175,50;35,75;58,50;13,00
2019-06-23;38,00;46,00;32,00;10,00;7,00;210,73;38,00;58,73;13,82
2019-06-30;41,00;73,00;32,00;16,00;11,00;222,08;51,25;64,92;13,67
2019-07-07;41,00;69,00;42,00;15,00;8,00;208,42;54,67;68,33;13,67
2019-07-14;47,00;76,00;48,00;11,00;9,00;198,07;60,43;63,79;13,43
2019-07-21;46,00;67,00;41,00;11,00;9,00;230,00;55,86;65,71;13,14
2019-07-28;51,00;50,00;45,00;14,00;8,00;261,80;74,80;68,00;13,60
2019-08-04;59,00;55,00;46,00;13,00;11,00;281,89;72,11;65,56;13,11
2019-08-11;54,00;58,00;18,00;12,00;8,00;313,88;47,25;64,13;13,50
2019-08-18;49,00;55,00;22,00;14,00;9,00;205,80;58,80;71,87;9,80
2019-08-25;41,00;50,00;31,00;10,00;7,00;167,42;44,42;58,08;10,25
2019-09-01;34,00;48,00;28,00;13,00;7,00;139,40;34,00;57,80;13,60
