Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;56,00;16,00;80,00;72,00;5,00;108,61;5,09;25,45;16,97
2019-01-13;50,00;9,00;81,00;72,00;4,00;100,00;5,00;21,67;20,00
2019-01-20;45,00;19,00;56,00;72,00;3,00;105,00;5,00;20,00;16,67
2019-01-27;28,00;4,00;67,00;71,00;3,00;79,06;4,94;19,76;16,47
2019-02-03;20,00;5,00;45,00;54,00;2,00;78,33;1,67;18,33;15,00
2019-02-10;29,00;18,00;52,00;60,00;2,00;63,12;1,71;22,18;15,35
2019-02-17;22,00;7,00;69,00;64,00;0,00;81,23;1,69;23,69;16,92
2019-02-24;34,00;9,00;50,00;51,00;3,00;88,40;8,50;23,80;13,60
2019-03-03;25,00;9,00;20,00;54,00;2,00;83,33;1,67;21,67;26,67
2019-03-10;27,00;5,00;23,00;50,00;2,00;65,81;0,00;16,88;15,19
2019-03-17;28,00;14,00;35,00;54,00;5,00;82,35;4,94;23,06;18,12
2019-03-24;29,00;7,00;48,00;48,00;4,00;150,12;5,12;44,35;49,47
2019-03-31;41,00;13,00;36,00;37,00;4,00;60,68;6,56;18,04;14,76
2019-04-07;34,00;19,00;46,00;51,00;4,00;61,52;3,24;17,81;11,33
2019-04-14;44,00;17,00;40,00;41,00;4,00;68,44;4,89;16,30;11,41
2019-04-21;44,00;12,00;39,00;47,00;3,00;73,33;8,15;16,30;11,41
2019-04-28;47,00;21,00;86,00;48,00;5,00;92,32;5,04;21,82;20,14
2019-05-05;34,00;11,00;62,00;50,00;7,00;74,80;3,40;17,00;13,60
2019-05-12;34,00;15,00;35,00;50,00;4,00;69,70;5,10;25,50;13,60
2019-05-19;35,00;20,00;53,00;43,00;6,00;83,33;5,00;16,67;11,67
2019-05-26;31,00;6,00;32,00;45,00;3,00;68,53;4,89;22,84;13,05
2019-06-02;55,00;16,00;48,00;54,00;3,00;166,67;11,67;63,33;31,67
2019-06-09;36,00;19,00;41,00;53,00;5,00;78,55;11,45;31,09;14,73
2019-06-16;37,00;18,00;68,00;62,00;5,00;119,41;1,68;25,23;13,45
2019-06-23;38,00;25,00;35,00;53,00;9,00;110,70;4,96;21,48;13,22
2019-06-30;39,00;21,00;29,00;56,00;3,00;111,91;3,39;22,04;13,57
2019-07-07;41,00;25,00;75,00;68,00;4,00;142,68;9,84;41,00;42,64
2019-07-14;47,00;10,00;55,00;61,00;5,00;116,69;8,10;21,07;17,83
2019-07-21;45,00;25,00;59,00;62,00;5,00;115,00;3,33;26,67;23,33
2019-07-28;47,00;27,00;53,00;59,00;5,00;129,25;10,07;38,61;16,79
2019-08-04;48,00;17,00;57,00;71,00;5,00;148,97;9,93;26,48;14,90
2019-08-11;54,00;5,00;34,00;78,00;5,00;138,38;1,69;27,00;15,19
2019-08-18;47,00;23,00;51,00;61,00;5,00;119,18;10,07;25,18;10,07
2019-08-25;50,00;9,00;43,00;59,00;6,00;115,00;6,67;28,33;15,00
2019-09-01;43,00;17,00;38,00;59,00;8,00;89,31;8,27;26,46;16,54
2019-09-08;45,00;11,00;53,00;58,00;2,00;98,33;5,00;30,00;13,33
2019-09-15;37,00;18,00;45,00;59,00;4,00;90,82;3,36;23,55;11,77
2019-09-22;39,00;17,00;65,00;54,00;3,00;86,48;3,39;23,74;11,87
2019-09-29;39,00;13,00;50,00;64,00;8,00;71,50;3,25;22,75;11,38
2019-10-06;34,00;8,00;38,00;49,00;5,00;64,60;6,80;20,40;13,60
2019-10-13;32,00;23,00;63,00;56,00;6,00;79,16;1,68;15,16;11,79
2019-10-20;34,00;15,00;34,00;52,00;4,00;64,76;4,86;16,19;12,95
2019-10-27;35,00;23,00;34,00;56,00;6,00;56,67;6,67;15,00;13,33
2019-11-03;37,00;12,00;52,00;57,00;4,00;67,27;3,36;21,86;10,09
2019-11-10;30,00;15,00;21,00;48,00;6,00;53,33;3,33;11,67;11,67
2019-11-17;28,00;19,00;34,00;55,00;5,00;47,76;1,65;14,82;13,18
2019-11-24;31,00;6,00;36,00;38,00;2,00;60,37;4,89;14,68;13,05
2019-12-01;24,00;2,00;44,00;50,00;3,00;41,14;3,43;13,71;12,00
2019-12-08;23,00;6,00;19,00;40,00;3,00;36,14;3,29;16,43;11,50
2019-12-15;23,00;12,00;41,00;42,00;1,00;44,36;6,57;21,36;26,29
2019-12-22;36,00;22,00;34,00;76,00;5,00;78,55;0,00;24,55;22,91
2019-12-29;53,00;13,00;55,00;91,00;3,00;84,47;1,66;26,50;18,22
2020-01-05;67,00;12,00;59,00;87,00;4,00;90,45;5,03;21,78;18,43
2020-01-12;49,00;25,00;63,00;71,00;2,00;91,47;1,63;19,60;19,60
2020-01-19;51,00;10,00;64,00;77,00;3,00;80,61;4,94;26,32;21,39
2020-01-26;50,00;23,00;41,00;62,00;5,00;103,33;1,67;31,67;30,00
2020-02-02;40,00;20,00;37,00;57,00;6,00;68,33;10,00;36,67;35,00
2020-02-09;38,00;19,00;30,00;59,00;2,00;66,09;1,65;31,39;38,00
2020-02-16;38,00;27,00;38,00;52,00;3,00;59,48;1,65;38,00;29,74
2020-02-23;41,00;17,00;49,00;48,00;6,00;50,84;6,56;39,36;27,88
2020-03-01;30,00;4,00;42,00;51,00;3,00;51,67;8,33;38,33;50,00
2020-03-08;36,00;8,00;49,00;100,00;4,00;27,43;6,86;48,00;70,29
2020-03-15;14,00;11,00;17,00;40,00;3,00;18,67;4,67;28,00;21,78
2020-03-22;19,00;4,00;30,00;25,00;1,00;19,00;3,17;15,83;22,17
2020-03-29;17,00;7,00;6,00;29,00;2,00;20,40;3,40;18,70;37,40
2020-04-05;14,00;9,00;28,00;25,00;1,00;14,00;1,75;14,00;14,00
2020-04-12;14,00;7,00;18,00;28,00;0,50;21,00;5,25;12,25;10,50
2020-04-19;17,00;7,00;26,00;18,00;1,00;22,10;3,40;11,90;8,50
2020-04-26;9,00;3,00;29,00;30,00;1,00;13,50;1,50;10,50;9,00
2020-05-03;11,00;7,00;22,00;26,00;1,00;16,50;0,00;11,00;11,00
2020-05-10;11,00;12,00;23,00;31,00;0,50;17,29;4,71;11,00;9,43
2020-05-17;13,00;4,00;21,00;32,00;0,50;17,88;3,25;13,00;8,13
2020-05-24;13,00;5,00;4,00;31,00;0,50;19,50;1,63;9,75;8,13
2020-05-31;20,00;5,00;11,00;37,00;0,00;20,00;1,67;13,33;6,67
2020-06-07;16,00;5,00;27,00;41,00;0,50;19,20;1,60;12,80;8,00
2020-06-14;42,00;7,00;13,00;36,00;1,00;28,56;3,36;16,80;8,40
2020-06-21;45,00;15,00;14,00;34,00;1,00;33,33;5,00;11,67;8,33
2020-06-28;24,00;9,00;23,00;34,00;1,00;39,43;1,71;17,14;5,14
2020-07-05;25,00;8,00;14,00;36,00;0,50;38,33;3,33;16,67;8,33
2020-07-12;35,00;8,00;15,00;29,00;2,00;38,33;6,67;15,00;6,67
2020-07-19;33,00;15,00;37,00;32,00;1,00;28,05;6,60;13,20;8,25
2020-07-26;38,00;8,00;27,00;27,00;1,00;33,04;4,96;11,57;8,26
2020-08-02;33,00;8,00;17,00;36,00;2,00;46,20;8,25;19,80;8,25
2020-08-09;32,00;0,00;32,00;26,00;2,00;47,16;5,05;15,16;8,42
2020-08-16;29,00;8,00;18,00;21,00;3,00;44,35;5,12;11,94;5,12
2020-08-23;25,00;17,00;13,00;26,00;1,00;33,33;8,33;11,67;5,00
2020-08-30;21,00;8,00;11,00;17,00;1,00;25,85;4,85;14,54;4,85
2020-09-06;18,00;12,00;16,00;18,00;1,00;26,18;3,27;9,82;6,55
2020-09-13;13,00;14,00;18,00;19,00;0,50;17,88;0,00;13,00;6,50
2020-09-20;12,00;8,00;20,00;14,00;1,00;18,86;1,71;10,29;6,86
2020-09-27;14,00;9,00;16,00;19,00;0,50;24,50;3,50;10,50;8,75
2020-10-04;14,00;10,00;7,00;15,00;1,00;29,75;3,50;12,25;7,00
2020-10-11;15,00;6,00;15,00;15,00;1,00;21,67;1,67;13,33;10,00
2020-10-18;14,00;6,00;24,00;16,00;1,00;15,75;1,75;10,50;7,00
2020-10-25;11,00;2,00;9,00;15,00;0,00;14,14;3,14;9,43;6,29
2020-11-01;9,00;5,00;2,00;20,00;0,50;18,00;0,00;10,50;6,00
2020-11-08;8,00;10,00;5,00;16,00;1,00;14,40;1,60;11,20;8,00
2020-11-15;8,00;4,00;5,00;17,00;1,00;16,00;1,60;8,00;8,00
2020-11-22;10,00;2,00;11,00;17,00;1,00;18,33;1,67;8,33;6,67
2020-11-29;14,00;0,00;9,00;14,00;1,00;24,50;1,75;7,00;5,25
2020-12-06;11,00;4,00;7,00;16,00;1,00;17,29;0,00;6,29;6,29
2020-12-13;8,00;2,00;2,00;12,00;0,00;11,20;1,60;8,00;6,40
2020-12-20;11,00;4,00;13,00;23,00;1,00;17,29;3,14;6,29;7,86
2020-12-27;13,00;2,00;21,00;29,00;1,00;16,25;1,63;11,38;6,50
2021-01-03;15,00;4,00;16,00;17,00;0,50;23,33;6,67;10,00;6,67
2021-01-10;10,00;4,00;7,00;18,00;1,00;18,33;0,00;11,67;6,67
2021-01-17;13,00;4,00;20,00;21,00;1,00;19,50;0,00;9,75;6,50
2021-01-24;11,00;6,00;18,00;21,00;1,00;29,33;0,00;11,00;9,17
2021-01-31;13,00;13,00;2,00;14,00;1,00;24,38;3,25;13,00;8,13
2021-02-07;8,00;2,00;21,00;19,00;1,00;20,80;1,60;11,20;8,00
2021-02-14;16,00;6,00;12,00;20,00;2,00;20,80;1,60;11,20;8,00
2021-02-21;14,00;6,00;10,00;20,00;0,00;17,11;1,56;7,78;6,22
2021-02-28;10,00;8,00;12,00;19,00;1,00;25,00;1,67;10,00;8,33
2021-03-07;11,00;4,00;14,00;23,00;0,00;25,14;4,71;11,00;6,29
2021-03-14;10,00;2,00;13,00;17,00;1,00;20,00;0,00;10,00;8,33
2021-03-21;11,00;8,00;19,00;16,00;1,00;28,29;1,57;9,43;9,43
2021-03-28;11,00;2,00;15,00;20,00;4,00;38,50;0,00;7,33;9,17
2021-04-04;17,00;14,00;19,00;21,00;2,00;34,00;7,73;10,82;7,73
2021-04-11;8,00;12,00;28,00;21,00;1,00;32,00;0,00;9,60;9,60
2021-04-18;15,00;2,00;14,00;16,00;0,00;40,00;1,67;8,33;10,00
2021-04-25;14,00;6,00;29,00;22,00;1,00;43,75;1,75;10,50;8,75
2021-05-02;15,00;7,00;14,00;28,00;1,00;53,33;0,00;10,00;8,33
2021-05-09;19,00;2,00;24,00;29,00;2,00;46,64;1,73;10,36;8,64
2021-05-16;17,00;4,00;14,00;34,00;0,00;54,40;1,70;18,70;10,20
2021-05-23;20,00;14,00;22,00;35,00;3,00;60,00;1,67;8,33;11,67
2021-05-30;22,00;8,00;24,00;34,00;1,00;84,62;5,08;11,85;10,15
2021-06-06;28,00;4,00;23,00;33,00;2,00;77,41;1,65;16,47;11,53
2021-06-13;20,00;4,00;21,00;29,00;4,00;68,33;5,00;10,00;13,33
2021-06-20;22,00;16,00;23,00;37,00;0,00;79,54;5,08;15,23;10,15
2021-06-27;30,00;6,00;17,00;35,00;1,00;63,33;6,67;20,00;11,67
2021-07-04;32,00;15,00;25,00;34,00;2,00;90,95;5,05;16,84;11,79
2021-07-11;29,00;13,00;43,00;35,00;1,00;69,28;3,22;19,33;11,28
2021-07-18;41,00;12,00;19,00;36,00;2,00;65,60;3,28;19,68;9,84
2021-07-25;29,00;18,00;51,00;41,00;2,00;76,76;1,71;22,18;11,94
2021-08-01;37,00;11,00;45,00;41,00;3,00;75,68;5,05;26,91;11,77
2021-08-08;35,00;9,00;24,00;52,00;4,00;78,33;1,67;25,00;10,00
2021-08-15;32,00;9,00;46,00;41,00;3,00;99,37;8,42;25,26;11,79
2021-08-22;34,00;23,00;34,00;37,00;3,00;85,81;6,48;17,81;9,71
2021-08-29;28,00;11,00;54,00;47,00;3,00;67,53;3,29;16,47;8,24
2021-09-05;27,00;14,00;18,00;45,00;3,00;57,38;1,69;23,63;10,13
2021-09-12;24,00;7,00;25,00;48,00;4,00;53,14;5,14;22,29;10,29
2021-09-19;26,00;12,00;33,00;40,00;4,00;53,63;6,50;21,13;9,75
2021-09-26;33,00;27,00;28,00;39,00;2,00;41,25;3,30;18,15;9,90
2021-10-03;24,00;18,00;21,00;31,00;6,00;32,00;3,20;8,00;8,00
2021-10-10;25,00;15,00;23,00;39,00;1,00;31,67;1,67;13,33;8,33
2021-10-17;21,00;6,00;35,00;40,00;2,00;33,92;3,23;12,92;8,08
2021-10-24;27,00;7,00;21,00;33,00;4,00;32,06;1,69;11,81;8,44
2021-10-31;24,00;14,00;15,00;37,00;4,00;34,29;1,71;10,29;8,57
2021-11-07;20,00;9,00;16,00;32,00;2,00;23,33;1,67;10,00;8,33
2021-11-14;21,00;14,00;7,00;26,00;2,00;29,75;0,88;12,25;8,75
2021-11-21;16,00;3,00;15,00;24,00;0,50;25,60;1,60;9,60;8,00
2021-11-28;12,00;7,00;16,00;19,00;0,50;16,50;0,00;6,00;7,50
2021-12-05;15,00;7,00;10,00;24,00;2,00;21,67;1,67;10,00;8,33
2021-12-12;12,00;7,00;9,00;25,00;2,00;17,14;1,71;6,86;10,29
2021-12-19;14,00;5,00;8,00;31,00;1,00;15,56;0,78;9,33;10,89
2021-12-26;22,00;10,00;25,00;47,00;1,00;27,08;3,38;11,85;16,92
2022-01-02;18,00;3,00;12,00;48,00;2,00;37,64;1,64;14,73;11,45
2022-01-09;19,00;14,00;17,00;34,00;1,00;27,64;3,45;13,82;10,36
2022-01-16;15,00;6,00;12,00;25,00;2,00;28,33;3,33;13,33;8,33
2022-01-23;16,00;4,00;17,00;29,00;1,00;25,60;3,20;12,80;11,20
2022-01-30;25,00;5,00;27,00;27,00;3,00;40,00;1,67;11,67;8,33
