Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;39,00;34,00;25,00;16,00;35,00;8,00;28,00;30,00;9,00
2019-01-13;41,00;28,00;22,00;17,00;44,00;11,00;33,00;25,00;3,00
2019-01-20;44,00;43,00;27,00;17,00;46,00;8,00;21,00;25,00;3,00
2019-01-27;37,00;26,00;23,00;23,00;40,00;12,33;33,92;22,61;2,06
2019-02-03;40,00;26,00;21,00;18,00;37,00;7,00;24,00;26,00;2,00
2019-02-10;46,00;30,00;19,00;23,00;40,00;13,00;25,00;21,00;2,00
2019-02-17;42,00;19,00;21,00;17,00;47,00;12,00;11,00;22,00;2,00
2019-02-24;43,00;25,00;20,00;19,00;56,00;12,29;19,45;21,50;3,07
2019-03-03;45,00;17,00;23,00;15,00;56,00;9,00;15,00;17,00;3,00
2019-03-10;40,00;12,00;14,00;20,00;53,00;10,00;16,00;22,00;2,00
2019-03-17;43,00;20,00;28,00;16,00;55,00;10,00;18,00;18,00;2,00
2019-03-24;47,00;27,59;19,41;15,33;54,15;10,00;16,00;21,00;3,00
2019-03-31;49,00;33,69;22,46;13,27;52,06;9,00;18,00;23,00;2,00
2019-04-07;48,00;30,00;21,00;17,00;57,00;12,00;18,00;26,00;3,00
2019-04-14;48,00;27,00;25,00;9,00;49,00;9,00;17,00;21,00;3,00
2019-04-21;38,00;23,62;8,22;13,35;45,19;12,00;18,00;19,00;3,00
2019-04-28;43,00;29,69;12,29;15,36;51,19;10,00;24,00;22,00;3,00
2019-05-05;38,00;17,00;20,00;15,00;56,00;10,00;16,00;20,00;3,00
2019-05-12;40,00;18,00;27,00;12,00;58,00;6,15;7,18;17,44;3,08
2019-05-19;38,00;26,00;16,00;17,00;54,00;11,00;19,00;27,00;5,00
2019-05-26;44,00;29,00;18,00;18,00;65,00;10,00;25,00;21,00;6,00
2019-06-02;44,00;32,00;13,00;23,00;63,00;11,00;15,00;22,00;3,00
2019-06-09;46,00;20,00;17,00;18,00;63,00;15,33;16,36;25,56;3,07
2019-06-16;39,00;23,00;19,00;19,00;69,00;12,00;24,00;26,00;3,00
2019-06-23;47,00;31,00;28,00;21,00;75,00;13,00;14,00;25,00;3,00
