Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;30,00;33,00;50,00;41,00;50,00;48,46;33,46;61,15;24,23
2019-01-13;31,00;34,00;51,00;44,00;53,00;48,22;33,30;57,41;25,26
2019-01-20;29,00;34,00;52,00;41,00;52,00;46,85;27,88;51,31;23,42
2019-01-27;30,00;32,00;51,00;41,00;56,00;48,46;28,85;50,77;23,08
2019-02-03;31,00;34,00;49,00;37,00;60,00;45,39;27,68;48,71;23,25
2019-02-10;33,00;34,00;52,00;38,00;61,00;48,93;29,59;50,07;25,03
2019-02-17;32,00;31,00;49,00;37,00;61,00;48,00;27,43;51,43;26,29
2019-02-24;33,00;33,00;50,00;35,00;64,00;53,48;27,31;47,79;25,03
2019-03-03;33,00;32,00;48,00;38,00;59,00;48,93;26,17;48,93;28,45
2019-03-10;32,00;32,00;47,00;37,00;63,00;51,43;27,43;48,00;29,71
2019-03-17;30,00;31,00;49,00;36,00;62,00;52,22;24,44;48,89;25,56
2019-03-24;32,00;31,00;47,00;35,00;65,00;52,57;26,29;48,00;27,43
2019-03-31;32,00;32,00;48,00;34,00;59,00;53,71;26,29;49,14;27,43
2019-04-07;32,00;34,00;51,00;37,00;64,00;53,71;26,29;52,57;27,43
2019-04-14;33,00;31,00;53,00;36,00;62,00;54,62;26,17;50,07;25,03
2019-04-21;30,00;29,00;48,00;35,00;58,00;58,89;25,56;47,78;24,44
2019-04-28;30,00;30,00;48,00;37,00;57,00;53,33;30,00;51,11;25,56
2019-05-05;30,00;28,00;47,00;36,00;66,00;55,38;26,54;50,77;25,38
2019-05-12;29,00;30,00;45,00;37,00;63,00;52,20;26,68;51,04;29,00
2019-05-19;30,00;30,00;49,00;37,00;65,00;51,11;25,56;53,33;31,11
2019-05-26;32,00;31,00;51,00;39,00;67,00;54,86;30,86;54,86;32,00
2019-06-02;32,00;31,00;51,00;39,00;74,00;68,57;28,57;53,71;32,00
2019-06-09;32,00;32,00;51,00;43,00;77,00;80,00;28,57;52,57;30,86
2019-06-16;32,00;33,00;53,00;43,00;78,00;84,57;28,57;54,86;35,43
2019-06-23;32,00;33,00;53,00;40,00;83,00;88,00;27,43;56,00;33,14
2019-06-30;33,00;38,00;53,00;41,00;88,00;85,34;30,72;56,90;33,00
2019-07-07;35,00;41,00;61,00;45,00;92,00;83,55;37,26;56,45;31,61
2019-07-14;37,00;42,00;62,00;45,00;91,00;84,41;40,47;57,81;35,84
2019-07-21;38,00;41,00;66,00;47,00;94,00;91,65;38,00;57,00;33,53
2019-07-28;41,00;42,00;64,00;45,00;98,00;92,25;41,00;60,36;33,03
2019-08-04;43,00;41,00;58,00;46,00;100,00;97,32;40,74;59,97;31,68
2019-08-11;44,00;39,00;55,00;45,00;98,00;104,21;34,74;57,89;30,11
2019-08-18;37,00;37,00;54,00;45,00;89,00;86,33;33,64;57,18;28,03
2019-08-25;33,00;33,00;50,00;42,00;78,00;69,41;28,45;53,48;27,31
2019-09-01;31,00;33,00;51,00;41,00;72,00;60,85;31,00;63,15;28,70
2019-09-08;32,00;33,00;54,00;42,00;62,00;54,86;28,57;66,29;27,43
2019-09-15;31,00;30,00;52,00;42,00;61,00;49,82;27,68;63,11;27,68
2019-09-22;30,00;31,00;52,00;41,00;65,00;47,31;28,85;65,77;28,85
2019-09-29;30,00;28,00;51,00;41,00;60,00;43,85;26,54;58,85;30,00
2019-10-06;28,00;28,00;49,00;37,00;61,00;42,56;28,00;60,48;26,88
2019-10-13;28,00;28,00;46,00;37,00;58,00;41,44;26,88;53,76;23,52
2019-10-20;29,00;30,00;43,00;35,00;52,00;42,92;26,68;53,36;25,52
2019-10-27;26,00;31,00;41,00;34,00;52,00;40,70;24,87;48,61;22,61
2019-11-03;27,00;31,00;42,00;34,00;49,00;37,13;23,63;47,25;24,75
2019-11-10;25,00;29,00;41,00;31,00;49,00;40,91;22,73;47,73;22,73
2019-11-17;25,00;29,00;41,00;32,00;49,00;38,64;23,86;47,73;25,00
2019-11-24;24,00;26,00;38,00;29,00;47,00;37,71;21,71;46,86;25,14
2019-12-01;25,00;27,00;41,00;30,00;51,00;38,64;22,73;42,05;23,86
2019-12-08;24,00;26,00;39,00;29,00;42,00;40,00;22,86;43,43;25,14
2019-12-15;24,00;29,00;39,00;28,00;39,00;37,71;21,71;46,86;28,57
2019-12-22;30,00;32,00;52,00;38,00;46,00;47,78;26,67;54,44;33,33
2019-12-29;32,00;34,00;54,00;43,00;49,00;57,14;29,71;64,00;32,00
2020-01-05;28,00;33,00;50,00;42,00;50,00;43,68;31,36;66,08;32,48
2020-01-12;30,00;35,00;52,00;44,00;56,00;46,67;35,56;67,78;33,33
2020-01-19;30,00;34,00;50,00;40,00;51,00;48,46;34,62;65,77;34,62
2020-01-26;28,00;33,00;48,00;38,00;54,00;42,56;30,24;58,24;30,24
2020-02-02;31,00;33,00;47,00;38,00;59,00;43,63;29,85;60,85;32,15
2020-02-09;32,00;32,00;46,00;35,00;60,00;45,71;29,71;59,43;34,29
2020-02-16;32,00;32,00;49,00;37,00;60,00;44,14;27,59;57,38;32,00
2020-02-23;27,00;29,00;40,00;31,00;57,00;28,13;25,88;56,25;32,63
2020-03-01;23,00;26,00;35,00;29,00;52,00;27,38;20,81;48,19;29,57
2020-03-08;20,00;20,00;30,00;24,00;34,00;10,59;20,00;45,88;31,76
2020-03-15;8,00;10,00;16,00;14,00;17,00;9,14;11,43;34,29;22,86
2020-03-22;6,00;8,00;12,00;9,00;11,00;8,40;9,60;22,80;18,00
2020-03-29;6,00;7,00;10,00;7,00;9,00;7,20;7,20;19,20;15,60
2020-04-05;6,00;7,00;11,00;8,00;10,00;8,40;7,20;21,60;15,60
2020-04-12;5,00;8,00;14,00;8,00;10,00;7,00;6,00;17,00;13,00
2020-04-19;5,00;7,00;14,00;8,00;9,00;7,00;6,00;17,00;13,00
2020-04-26;5,00;7,00;17,00;8,00;9,00;7,00;9,00;17,00;13,00
2020-05-03;6,00;7,00;19,00;13,00;10,00;9,60;10,80;22,80;19,20
2020-05-10;6,00;7,00;24,00;15,00;11,00;10,00;12,00;20,00;18,00
2020-05-17;8,00;10,00;30,00;18,00;15,00;19,43;16,00;24,00;24,00
2020-05-24;10,00;10,00;33,00;21,00;23,00;24,44;15,56;22,22;22,22
2020-05-31;16,00;16,00;36,00;24,00;24,00;36,57;18,29;25,14;24,00
2020-06-07;18,00;18,00;39,00;26,00;29,00;42,75;20,25;25,88;29,25
2020-06-14;22,00;23,00;42,00;26,00;34,00;54,42;23,16;30,11;30,11
2020-06-21;24,00;24,00;45,00;27,00;41,00;66,29;24,00;34,29;29,71
2020-06-28;27,00;27,00;44,00;30,00;50,00;79,88;29,25;34,88;28,13
2020-07-05;31,00;29,00;52,00;34,00;53,00;86,11;32,15;41,33;27,56
