Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;78,00;53,00;38,00;40,00;8,00;38,05;87,51;190,24;93,22
2019-01-13;80,00;49,00;34,00;41,00;11,00;38,10;81,90;173,33;85,71
2019-01-20;72,00;43,00;29,00;37,00;10,00;36,97;64,22;153,73;83,68
2019-01-27;77,00;49,00;38,00;37,00;12,00;32,73;65,45;138,60;77,00
2019-02-03;86,00;51,00;35,00;32,00;10,00;32,49;64,98;143,33;74,53
2019-02-10;100,00;42,00;43,00;29,00;13,00;32,69;59,62;123,08;69,23
2019-02-17;97,00;38,00;40,00;26,00;13,00;32,33;57,06;121,73;79,88
2019-02-24;90,00;43,00;28,00;25,00;12,00;38,30;55,53;122,55;78,51
2019-03-03;84,00;44,00;38,00;26,00;10,00;32,45;51,55;120,27;76,36
2019-03-10;66,00;34,00;26,00;26,00;11,00;32,06;50,91;116,91;67,89
2019-03-17;68,00;40,00;32,00;28,00;12,00;32,11;49,11;126,56;62,33
2019-03-24;62,00;39,00;29,00;23,00;13,00;32,94;52,31;122,06;67,81
2019-03-31;64,00;39,00;34,00;24,00;11,00;29,09;52,36;124,12;62,06
2019-04-07;64,00;35,00;44,00;26,00;13,00;29,09;58,18;129,94;60,12
2019-04-14;55,00;43,00;22,00;25,00;13,00;26,55;45,52;119,48;55,00
2019-04-21;59,00;40,00;32,00;26,00;11,00;34,26;49,48;144,65;55,19
2019-04-28;59,00;41,00;42,00;26,00;13,00;32,35;66,61;144,65;53,29
2019-05-05;58,00;35,00;25,00;27,00;14,00;29,00;52,20;141,13;52,20
2019-05-12;52,00;34,00;30,00;27,00;18,00;28,89;50,07;152,15;53,93
2019-05-19;50,00;40,00;44,00;30,00;17,00;34,62;63,46;155,77;55,77
2019-05-26;52,00;44,00;32,00;31,00;16,00;32,74;61,63;163,70;59,70
2019-06-02;53,00;44,00;31,00;36,00;17,00;37,86;60,57;159,00;56,79
2019-06-09;60,00;51,00;39,00;39,00;18,00;43,13;58,13;157,50;60,00
2019-06-16;62,00;50,00;49,00;43,00;22,00;54,25;62,00;170,50;65,88
2019-06-23;61,00;47,00;33,00;42,00;20,00;45,75;62,91;165,84;57,19
2019-06-30;64,00;53,00;44,00;42,00;26,00;50,82;73,41;161,88;50,82
2019-07-07;67,00;76,00;48,00;46,00;24,00;51,69;89,97;166,54;55,51
2019-07-14;86,00;63,00;50,00;45,00;20,00;47,78;91,73;170,09;57,33
2019-07-21;80,00;60,00;45,00;43,00;25,00;49,52;80,00;161,90;57,14
2019-07-28;83,00;56,00;45,00;42,00;25,00;52,12;84,93;156,35;55,98
2019-08-04;84,00;59,00;51,00;43,00;21,00;53,45;85,91;168,00;53,45
2019-08-11;80,00;43,00;32,00;39,00;24,00;47,62;80,00;146,67;49,52
2019-08-18;69,00;44,00;41,00;33,00;20,00;38,33;63,25;138,00;47,92
