Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;57,00;19,00;79,00;74,00;3,00;101,18;4,28;19,95;15,68
2019-01-13;56,00;22,00;62,00;74,00;3,00;91,00;1,40;18,20;15,40
2019-01-20;47,00;14,00;70,00;63,00;4,00;81,18;4,27;17,09;12,82
2019-01-27;30,00;11,00;54,00;65,00;4,00;75,71;2,86;14,29;11,43
2019-02-03;23,00;9,00;39,00;49,00;2,00;73,31;4,31;14,38;11,50
2019-02-10;22,00;10,00;34,00;60,00;3,00;71,87;2,93;14,67;13,20
2019-02-17;25,00;12,00;43,00;51,00;2,00;72,06;2,94;23,53;14,71
2019-02-24;33,00;10,00;43,00;51,00;2,00;77,48;2,87;21,52;11,48
2019-03-03;26,00;8,00;41,00;51,00;2,00;75,11;4,33;17,33;23,11
2019-03-10;28,00;6,00;40,00;48,00;4,00;61,60;2,80;12,60;12,60
2019-03-17;26,00;12,00;36,00;52,00;4,00;79,44;5,78;24,56;15,89
2019-03-24;29,00;14,00;34,00;47,00;4,00;108,75;7,25;36,25;40,60
2019-03-31;36,00;13,00;32,00;39,00;3,00;60,48;2,88;14,40;11,52
2019-04-07;39,00;17,00;50,00;41,00;3,00;61,29;1,39;13,93;9,75
2019-04-14;41,00;16,00;53,00;39,00;3,00;57,97;2,83;14,14;9,90
2019-04-21;42,00;16,00;48,00;44,00;3,00;78,40;2,80;16,80;9,80
2019-04-28;40,00;17,00;56,00;48,00;4,00;78,57;2,86;15,71;17,14
2019-05-05;40,00;12,00;46,00;50,00;3,00;74,29;2,86;15,71;11,43
2019-05-12;35,00;12,00;42,00;46,00;3,00;67,20;1,40;19,60;11,20
2019-05-19;35,00;15,00;42,00;46,00;3,00;70,00;2,92;18,96;10,21
2019-05-26;35,00;13,00;48,00;46,00;4,00;70,00;4,20;19,60;9,80
2019-06-02;50,00;24,00;44,00;46,00;5,00;142,86;7,14;52,86;25,71
2019-06-09;40,00;15,00;48,00;54,00;4,00;87,14;7,14;24,29;11,43
2019-06-16;41,00;15,00;51,00;55,00;4,00;98,97;2,83;21,21;11,31
2019-06-23;38,00;22,00;39,00;47,00;3,00;98,52;2,81;19,70;11,26
2019-06-30;38,00;13,00;47,00;56,00;3,00;103,77;5,85;19,00;11,69
2019-07-07;56,00;26,00;58,00;65,00;5,00;124,92;7,18;34,46;35,90
2019-07-14;54,00;18,00;58,00;57,00;5,00;103,74;5,68;21,32;15,63
2019-07-21;45,00;21,00;46,00;57,00;6,00;113,23;5,81;23,23;20,32
2019-07-28;50,00;23,00;57,00;55,00;5,00;118,57;4,29;31,43;14,29
2019-08-04;56,00;18,00;54,00;62,00;6,00;124,92;4,31;22,97;11,49
2019-08-11;50,00;16,00;57,00;68,00;6,00;128,57;5,71;21,43;11,43
2019-08-18;46,00;21,00;50,00;58,00;5,00;119,31;4,31;23,00;11,50
2019-08-25;49,00;13,00;47,00;61,00;5,00;106,65;5,76;24,50;11,53
2019-09-01;41,00;16,00;42,00;59,00;6,00;90,48;2,83;22,62;12,72
2019-09-08;37,00;18,00;60,00;55,00;3,00;83,96;4,27;21,35;9,96
2019-09-15;39,00;11,00;47,00;58,00;4,00;76,61;2,79;19,50;9,75
2019-09-22;37,00;16,00;47,00;56,00;5,00;71,15;2,85;19,92;9,96
