Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;12,00;22,00;11,00;8,00;6,00;4,80;81,60;7,20;7,20
2019-01-13;13,00;18,00;11,00;8,00;6,00;6,50;67,17;6,50;6,50
2019-01-20;14,00;21,00;13,00;8,00;6,00;4,67;60,67;7,00;7,00
2019-01-27;19,00;21,00;16,00;9,00;8,00;10,56;50,67;6,33;6,33
2019-02-03;21,00;17,00;14,00;10,00;11,00;9,33;49,00;7,00;7,00
2019-02-10;23,00;22,00;17,00;10,00;11,00;11,50;48,30;6,90;6,90
2019-02-17;25,00;21,00;21,00;10,00;11,00;11,36;50,00;6,82;6,82
2019-02-24;25,00;21,00;19,00;9,00;14,00;13,64;47,73;6,82;6,82
2019-03-03;25,00;19,00;19,00;11,00;12,00;13,64;45,45;6,82;9,09
2019-03-10;24,00;16,00;18,00;11,00;16,00;13,09;45,82;6,55;8,73
2019-03-17;24,00;21,00;23,00;11,00;17,00;13,09;39,27;6,55;8,73
2019-03-24;28,00;24,00;28,00;11,00;16,00;15,08;49,54;6,46;10,77
2019-03-31;21,00;30,00;16,00;9,00;14,00;8,40;56,70;8,40;10,50
2019-04-07;20,00;28,00;22,00;11,00;14,00;6,67;66,67;11,11;11,11
2019-04-14;22,00;34,00;28,00;13,00;20,00;8,80;85,80;13,20;11,00
2019-04-21;21,00;26,00;23,00;11,00;14,00;11,67;95,67;11,67;11,67
2019-04-28;21,00;30,00;17,00;10,00;16,00;9,33;86,33;11,67;11,67
2019-05-05;21,00;23,00;19,00;10,00;13,00;9,33;74,67;11,67;14,00
2019-05-12;19,00;28,00;17,00;10,00;18,00;6,33;82,33;10,56;12,67
2019-05-19;20,00;25,00;20,00;11,00;17,00;11,11;86,67;13,33;17,78
2019-05-26;30,00;44,00;36,00;14,00;19,00;11,54;133,85;16,15;18,46
2019-06-02;29,00;41,00;34,00;16,00;24,00;15,62;109,31;13,38;17,85
2019-06-09;26,00;36,00;28,00;17,00;25,00;21,27;106,36;11,82;18,91
2019-06-16;28,00;39,00;28,00;16,00;29,00;21,00;119,00;14,00;21,00
2019-06-23;35,00;60,00;28,00;17,00;32,00;21,00;123,67;16,33;21,00
2019-06-30;36,00;65,00;37,00;16,00;35,00;22,50;139,50;15,75;20,25
