Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;50,00;420,00;445,00;390,00;250,00;5,00;160,00;100,00;160,42;125,00;97,92;104,17;84,62;242,31;69,23;3,85;88,89;494,44;33,33;27,78;15,00;36,00;36,00;40,00;22,62;77,38;4,76;34,52;13,00;4,00;6,00;6,00;12,00;0,00;4,00
2019-01-13;38,00;401,71;374,57;385,43;228,00;9,50;133,00;104,50;139,33;126,67;63,33;88,67;84,44;253,33;50,67;16,89;70,57;461,43;10,86;43,43;10,00;35,00;28,00;48,00;25,74;82,13;7,35;29,42;9,00;7,00;9,00;4,00;7,00;0,00;0,00
2019-01-20;45,00;325,00;310,00;325,00;198,00;9,00;108,00;63,00;128,57;132,86;85,71;113,57;90,00;200,45;65,45;8,18;73,13;444,38;11,25;50,63;12,00;41,00;32,00;39,00;15,39;62,76;5,92;21,32;10,00;6,00;15,00;1,00;10,00;1,00;3,00
2019-01-27;40,00;335,00;320,00;335,00;170,00;10,00;170,00;80,00;124,21;111,58;88,42;73,68;84,00;164,00;48,00;8,00;85,71;434,29;17,14;45,71;11,00;26,00;30,00;39,00;20,61;72,73;7,27;24,24;13,00;7,00;7,00;3,00;3,00;1,00;1,00
2019-02-03;59,00;375,45;337,91;348,64;206,50;9,83;196,67;108,17;143,29;134,86;99,04;109,57;82,60;212,40;43,27;7,87;69,73;472,00;10,73;26,82;17,00;36,00;43,00;37,00;19,27;52,98;9,63;36,12;17,00;4,00;13,00;1,00;14,00;0,00;0,00
2019-02-10;53,00;323,30;318,00;397,50;190,80;10,60;148,40;84,80;108,12;122,96;72,08;103,88;77,46;187,54;57,08;2,04;63,60;439,90;15,90;31,80;12,00;38,00;25,00;32,00;13,25;73,48;2,41;19,27;13,00;9,00;13,00;1,00;10,00;1,00;1,00
2019-02-17;51,00;336,60;316,20;377,40;244,80;5,10;163,20;81,60;104,13;108,38;97,75;112,63;94,15;204,00;39,23;7,85;79,33;459,00;17,00;39,67;22,00;24,00;43,00;42,00;10,93;53,43;1,21;25,50;17,00;3,00;9,00;3,00;16,00;0,00;3,00
2019-02-24;54,00;361,80;313,20;442,80;205,20;10,80;183,60;108,00;110,08;116,31;95,54;103,85;91,38;220,15;54,00;4,15;59,40;459,00;21,60;21,60;13,00;28,00;27,00;30,00;16,80;50,40;14,40;30,00;13,00;6,00;13,00;4,00;7,00;3,00;0,00
2019-03-03;51,00;377,40;311,10;362,10;193,80;10,20;163,20;112,20;104,13;99,88;91,38;125,38;70,62;204,00;43,15;3,92;73,67;532,67;17,00;39,67;7,00;32,00;45,00;31,00;20,16;58,12;7,12;27,28;25,00;3,00;3,00;7,00;6,00;0,00;0,00
2019-03-10;67,00;335,00;309,23;365,92;220,14;19,14;153,14;86,14;98,41;115,16;54,44;125,63;86,71;197,06;55,18;7,88;72,58;474,58;16,75;39,08;12,00;48,00;33,00;29,00;20,34;69,39;11,96;14,36;23,00;4,00;9,00;1,00;19,00;0,00;1,00
2019-03-17;51,00;346,80;239,70;377,40;183,60;20,40;163,20;102,00;104,13;121,13;102,00;99,88;82,38;176,54;39,23;7,85;90,67;374,00;17,00;34,00;13,00;42,00;37,00;28,00;31,57;60,71;9,71;30,36;5,00;8,00;3,00;8,00;9,00;0,00;1,00
2019-03-24;69,00;318,46;297,23;429,92;197,14;9,86;147,86;108,43;81,55;121,27;77,36;112,91;73,06;227,29;56,82;8,12;79,62;424,62;15,92;31,85;15,00;41,00;24,00;35,00;18,16;47,21;4,84;20,58;17,00;5,00;6,00;5,00;11,00;0,00;3,00
2019-03-31;65,00;346,67;260,00;487,50;185,71;9,29;157,86;111,43;113,23;125,81;96,45;123,71;89,38;231,56;56,88;4,06;70,42;427,92;10,83;37,92;18,00;42,00;29,00;27,00;19,26;58,98;10,83;13,24;18,00;5,00;9,00;3,00;17,00;0,00;2,00
2019-04-07;58,00;321,64;300,55;511,45;203,00;19,33;154,67;106,33;140,86;113,93;116,00;151,21;81,20;220,40;61,87;3,87;58,00;442,91;10,55;47,45;24,00;34,00;31,00;33,00;22,49;43,80;4,73;14,20;14,00;5,00;8,00;8,00;15,00;6,00;4,00
2019-04-14;68,00;402,77;240,62;523,08;213,71;9,71;155,43;97,14;95,63;121,13;89,25;144,50;68,00;208,00;48,00;12,00;94,15;387,08;20,92;47,08;17,00;34,00;33,00;27,00;24,29;38,86;4,86;14,57;19,00;8,00;5,00;2,00;14,00;3,00;2,00
2019-04-21;67,00;293,77;231,92;443,23;201,00;9,57;172,29;86,14;79,56;113,06;79,56;131,91;63,06;204,94;47,29;7,88;83,75;413,17;11,17;44,67;20,00;44,00;58,00;29,00;19,14;45,46;7,18;33,50;15,00;5,00;9,00;6,00;17,00;2,00;0,00
