Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;52,00;551,20;540,80;436,80;416,00;246,13;3,47;208,00;149,07;253,50;162,50;396,50;121,33;364,00;502,67;156,00;110,93;291,20;24,27;36,00;138,00;80,00;16,00;29,00;13,00;0,00;10,00;10,00;7,00;13,00;3,00;3,00
2019-01-13;45,00;540,00;630,00;438,75;461,25;308,08;0,00;197,31;148,85;138,75;82,50;225,00;54,00;162,00;225,00;81,00;45,00;133,04;13,70;26,54;79,62;61,15;10,00;32,00;16,00;19,00;10,00;3,00;6,00;16,00;3,00;0,00
2019-01-20;45,00;461,25;540,00;427,50;506,25;242,31;6,92;214,62;197,31;262,50;202,50;465,00;180,00;495,00;540,00;202,50;123,75;296,25;45,00;40,50;112,50;99,00;16,00;19,00;6,00;13,00;6,00;22,00;3,00;13,00;3,00;0,00
2019-01-27;53,00;434,60;604,20;424,00;339,20;151,93;0,00;187,27;187,27;227,90;169,60;323,30;66,25;265,00;304,75;106,00;94,84;203,63;13,95;6,63;124,22;59,63;16,00;33,00;7,00;20,00;13,00;7,00;0,00;13,00;0,00;0,00
2019-02-03;33,00;429,00;594,00;407,00;330,00;176,00;3,67;231,00;168,67;158,40;145,20;468,60;82,50;429,00;412,50;148,50;90,00;219,00;30,00;29,33;104,50;56,83;13,00;40,00;7,00;17,00;0,00;3,00;3,00;13,00;0,00;3,00
2019-02-10;27,00;607,50;729,00;580,50;432,00;155,25;13,50;236,25;151,88;158,14;108,00;304,71;36,00;198,00;180,00;117,00;83,08;157,85;14,54;24,65;56,35;49,30;10,00;27,00;3,00;14,00;10,00;10,00;7,00;7,00;0,00;3,00
2019-02-17;38,00;646,00;684,00;519,33;456,00;172,73;6,91;245,27;138,18;244,29;146,57;456,00;76,00;291,33;354,67;164,67;111,29;252,43;51,57;34,70;92,52;102,43;21,00;31,00;3,00;21,00;7,00;3,00;3,00;14,00;0,00;3,00
2019-02-24;28,00;410,67;522,67;429,33;317,33;189,00;0,00;304,50;178,50;294,00;168,00;497,00;56,00;280,00;336,00;154,00;112,00;171,11;28,00;42,93;95,20;98,93;14,00;53,00;7,00;28,00;11,00;7,00;0,00;14,00;0,00;0,00
2019-03-03;30,00;480,00;530,00;440,00;330,00;193,33;3,33;210,00;163,33;225,00;165,00;365,00;105,00;345,00;405,00;165,00;111,82;207,27;10,91;30,00;85,26;42,63;40,00;60,00;3,00;20,00;10,00;20,00;7,00;13,00;3,00;3,00
2019-03-10;40,00;480,00;610,00;460,00;420,00;200,00;3,64;240,00;210,91;245,71;205,71;405,71;106,67;360,00;346,67;146,67;111,43;197,14;34,29;36,80;78,40;59,20;24,00;47,00;3,00;30,00;7,00;7,00;10,00;37,00;3,00;0,00
2019-03-17;27,00;580,50;648,00;688,50;513,00;150,43;7,71;243,00;297,00;145,13;124,88;222,75;72,00;198,00;279,00;117,00;60,75;168,75;16,88;34,00;55,00;30,00;42,75;39,38;3,38;19,13;7,88;3,38;0,00;39,38;3,38;3,38
2019-03-24;46,00;552,00;575,00;644,00;368,00;254,77;3,54;233,54;230,00;146,36;154,73;301,09;92,00;211,60;266,80;138,00;78,86;175,24;13,14;35,78;67,72;38,33;17,00;31,00;0,00;28,00;21,00;3,00;14,00;24,00;3,00;3,00
2019-03-31;48,00;576,00;648,00;492,00;516,00;343,38;3,69;206,77;232,62;192,00;125,54;265,85;56,00;192,00;232,00;96,00;79,38;156,92;24,00;14,18;48,00;39,27;41,00;34,00;14,00;3,00;14,00;7,00;3,00;24,00;10,00;7,00
2019-04-07;88,00;638,00;594,00;550,00;484,00;292,16;7,04;197,12;256,96;346,13;176,00;440,00;88,00;440,00;410,67;190,67;127,45;179,03;42,48;32,33;109,55;91,59;40,00;44,00;13,00;13,00;7,00;13,00;3,00;37,00;0,00;3,00
2019-04-14;81,00;1157,14;624,86;763,71;601,71;341,61;7,04;211,30;186,65;373,85;199,38;467,31;97,20;502,20;583,20;340,20;119,88;268,92;38,88;50,86;107,37;101,72;22,00;37,00;4,00;33,00;7,00;7,00;15,00;11,00;4,00;11,00
2019-04-21;81,00;567,00;613,29;601,71;613,29;232,43;3,52;235,96;179,61;243,00;222,75;391,50;145,80;388,80;567,00;259,20;155,25;165,38;10,13;59,79;81,00;81,00;25,00;28,00;7,00;18,00;4,00;0,00;4,00;28,00;0,00;7,00
2019-04-28;63,00;472,50;567,00;493,50;462,00;318,50;14,00;164,50;157,50;214,20;121,80;281,40;73,50;315,00;283,50;136,50;50,40;119,70;14,70;22,68;94,50;55,44;13,00;40,00;7,00;20,00;17,00;7,00;3,00;20,00;0,00;7,00
2019-05-05;91,00;500,50;739,38;455,00;671,13;350,00;0,00;259,00;154,00;455,00;227,50;655,20;159,25;750,75;728,00;295,75;209,30;341,25;27,30;69,59;160,59;74,94;6,00;23,00;10,00;23,00;6,00;3,00;0,00;23,00;3,00;13,00
2019-05-12;37,00;555,00;653,67;481,00;629,00;292,30;3,70;233,10;181,30;245,13;148,00;319,13;61,67;333,00;296,00;197,33;115,63;159,56;25,44;42,48;104,15;31,52;20,00;37,00;10,00;24,00;17,00;13,00;10,00;20,00;3,00;10,00
2019-05-19;53,00;508,80;540,60;424,00;530,00;296,80;7,07;212,00;197,87;162,79;90,86;234,71;61,83;247,33;229,67;132,50;49,07;119,74;21,59;34,57;57,61;50,70;30,00;39,00;13,00;20,00;10,00;13,00;3,00;13,00;0,00;7,00
2019-05-26;34,00;510,00;498,67;487,33;464,67;279,56;7,56;241,78;158,67;170,00;81,60;224,40;136,00;255,00;255,00;161,50;69,79;137,79;12,53;38,12;70,06;57,70;10,00;23,00;3,00;30,00;13,00;7,00;10,00;40,00;7,00;0,00
2019-06-02;63,00;504,00;451,50;514,50;525,00;308,00;3,50;171,50;171,50;210,00;117,60;298,20;136,50;651,00;315,00;168,00;89,07;132,52;26,07;37,29;91,29;57,86;40,00;26,00;17,00;17,00;26,00;13,00;0,00;17,00;3,00;0,00
2019-06-09;85,00;552,50;478,13;467,50;563,13;293,96;17,71;191,25;170,00;455,91;216,36;525,45;136,00;527,00;544,00;238,00;135,23;231,82;38,64;43,65;229,73;133,24;34,00;37,00;7,00;17,00;30,00;7,00;3,00;20,00;7,00;0,00
2019-06-16;78,00;579,43;546,00;501,43;501,43;280,09;7,09;148,91;156,00;300,86;195,00;390,00;130,00;351,00;377,00;221,00;109,78;158,89;14,44;28,83;100,04;67,83;20,00;27,00;14,00;24,00;31,00;0,00;10,00;20,00;0,00;14,00
2019-06-23;68,00;498,67;521,33;408,00;464,67;261,26;0,00;189,68;229,05;223,43;102,00;471,14;68,00;294,67;283,33;147,33;80,14;128,71;24,29;29,75;68,00;77,92;48,00;41,00;3,00;31,00;14,00;14,00;20,00;17,00;3,00;3,00
2019-06-30;77,00;517,00;561,00;506,00;517,00;224,00;14,00;178,50;182,00;350,00;231,00;504,00;154,00;415,80;369,60;231,00;143,50;161,00;52,50;77,00;133,19;141,51;27,00;20,00;7,00;13,00;17,00;20,00;7,00;23,00;7,00;7,00
2019-07-07;66,00;484,00;583,00;627,00;616,00;250,11;13,89;184,11;152,84;273,43;136,71;344,14;77,00;418,00;319,00;165,00;92,89;183,33;22,00;40,17;104,74;104,74;26,00;36,00;17,00;26,00;3,00;3,00;7,00;20,00;3,00;7,00
2019-07-14;83,00;487,63;529,13;477,25;518,75;263,43;7,22;173,22;191,26;325,62;172,38;466,08;99,60;531,20;531,20;315,40;152,72;199,20;29,88;88,93;114,62;122,52;41,00;35,00;17,00;17,00;35,00;7,00;14,00;28,00;10,00;3,00
2019-07-21;76,00;488,57;608,00;629,71;608,00;297,09;0,00;165,82;145,09;339,08;198,77;380,00;139,33;405,33;392,67;177,33;122,77;201,69;11,69;38,00;122,64;126,09;33,00;58,00;18,00;11,00;22,00;7,00;11,00;18,00;7,00;7,00
2019-07-28;82,00;620,86;597,43;656,00;667,71;267,39;3,57;196,09;160,43;374,86;158,14;486,14;123,00;355,33;410,00;218,67;108,36;190,36;26,36;44,42;116,17;92,25;43,00;36,00;14,00;39,00;4,00;7,00;7,00;25,00;0,00;7,00
2019-08-04;96,00;501,33;640,00;554,67;533,33;320,00;14,22;213,33;174,22;470,40;240,00;710,40;216,00;672,00;744,00;432,00;227,37;348,63;25,26;66,00;210,00;195,00;28,00;28,00;11,00;32,00;11,00;25,00;7,00;25,00;0,00;0,00
2019-08-11;64,00;490,67;608,00;565,33;522,67;298,67;3,56;145,78;188,44;224,00;84,00;256,00;45,71;301,71;283,43;155,43;113,55;123,87;33,03;23,38;100,92;64,00;30,00;47,00;7,00;24,00;13,00;13,00;0,00;20,00;3,00;3,00
2019-08-18;72,00;432,00;555,43;555,43;483,43;226,80;10,80;180,00;169,20;232,00;100,00;288,00;72,00;270,00;333,00;315,00;55,54;141,94;20,57;31,73;103,73;64,68;31,00;41,00;3,00;10,00;14,00;21,00;3,00;27,00;3,00;0,00
2019-08-25;51,00;489,60;448,80;459,00;520,20;346,07;10,93;338,79;182,14;236,79;105,64;265,93;85,00;229,50;263,50;442,00;88,78;134,11;9,44;39,67;77,07;49,87;37,00;27,00;17,00;14,00;24,00;3,00;3,00;17,00;0,00;7,00
2019-09-01;85,00;520,63;531,25;393,13;520,63;325,83;3,54;187,71;208,96;280,00;130,00;410,00;72,86;303,57;327,86;170,00;115,00;150,00;40,00;58,62;70,34;55,69;33,00;39,00;7,00;16,00;10,00;20,00;7,00;10,00;13,00;3,00
2019-09-08;66,00;528,00;671,00;506,00;627,00;298,74;0,00;239,68;132,00;273,43;146,14;363,00;77,00;308,00;352,00;121,00;75,43;157,93;18,86;33,00;64,63;100,38;23,00;36,00;10,00;16,00;10,00;7,00;3,00;23,00;0,00;0,00
2019-09-15;50,00;550,00;530,00;400,00;450,00;325,00;3,57;210,71;167,86;355,00;135,00;405,00;62,50;350,00;387,50;175,00;72,50;190,00;17,50;58,57;64,29;78,57;10,00;40,00;13,00;10,00;10,00;13,00;3,00;13,00;7,00;3,00
2019-09-22;36,00;720,00;672,00;588,00;480,00;309,60;7,20;212,40;172,80;301,50;162,00;414,00;63,00;252,00;252,00;117,00;101,25;139,50;13,50;28,29;77,14;77,14;23,00;16,00;10,00;23,00;3,00;6,00;6,00;26,00;0,00;0,00
2019-09-29;78,00;612,86;768,86;590,57;579,43;343,91;14,18;209,18;180,82;650,00;247,00;604,50;78,00;421,20;514,80;327,60;133,25;247,00;29,25;18,57;70,57;130,00;13,00;32,00;3,00;6,00;10,00;0,00;10,00;19,00;16,00;10,00
2019-10-06;49,00;612,50;686,00;514,50;588,00;255,50;10,50;227,50;178,50;416,50;177,63;349,13;134,75;281,75;404,25;134,75;107,19;186,81;27,56;24,50;112,00;49,00;26,00;33,00;13,00;20,00;10,00;7,00;13,00;20,00;0,00;3,00
2019-10-13;42,00;546,00;609,00;388,50;766,50;325,50;7,00;234,50;161,00;324,00;186,00;324,00;84,00;322,00;420,00;140,00;114,00;216,00;27,00;24,50;80,50;84,00;3,00;26,00;13,00;6,00;6,00;6,00;3,00;3,00;0,00;0,00
2019-10-20;51,00;479,40;530,40;448,80;438,60;291,43;3,64;204,00;160,29;408,00;210,38;376,13;170,00;306,00;595,00;221,00;88,40;166,60;23,80;12,24;108,12;67,32;6,00;16,00;10,00;6,00;0,00;3,00;6,00;19,00;6,00;0,00
2019-10-27;22,00;583,00;605,00;418,00;396,00;205,33;0,00;194,33;121,00;220,00;95,33;220,00;88,00;198,00;363,00;198,00;50,00;90,00;12,00;16,21;53,26;45,16;22,00;28,00;9,00;22,00;6,00;3,00;0,00;12,00;16,00;0,00
2019-11-03;36,00;540,00;576,00;396,00;468,00;244,80;7,20;198,00;151,20;257,14;128,57;334,29;84,00;228,00;300,00;132,00;116,31;144,00;30,46;18,00;94,91;45,82;18,00;24,00;6,00;18,00;15,00;6,00;9,00;6,00;3,00;0,00
2019-11-10;19,00;427,50;418,00;294,50;294,50;266,00;11,40;155,80;171,00;171,00;69,67;215,33;66,50;950,00;237,50;123,50;51,82;89,82;5,18;15,00;52,00;39,00;9,00;41,00;9,00;22,00;9,00;6,00;0,00;9,00;0,00;0,00
2019-11-17;34,00;419,33;510,00;396,67;430,67;163,20;6,80;197,20;149,60;283,33;113,33;300,33;102,00;782,00;493,00;187,00;86,55;145,27;18,55;16,11;125,26;60,84;12,00;25,00;12,00;6,00;3,00;0,00;6,00;22,00;0,00;0,00
2019-11-24;34,00;476,00;566,67;340,00;340,00;207,40;0,00;156,40;115,60;578,00;272,00;578,00;68,00;510,00;714,00;510,00;258,40;360,40;54,40;34,00;136,00;136,00;28,00;31,00;0,00;12,00;9,00;6,00;3,00;6,00;6,00;0,00
