Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-12-13;42,00;0,00;42,00;21,00;30,00;0,00
2020-12-20;12,00;0,00;36,00;12,00;12,00;0,00
2020-12-27;48,00;0,00;48,00;112,00;12,80;12,00
2021-01-03;53,00;21,82;43,65;84,18;9,35;21,00
2021-01-10;73,00;0,00;103,42;51,71;9,13;0,00
2021-01-17;31,00;0,00;83,70;62,00;0,00;0,00
2021-01-24;10,00;0,00;76,67;43,33;0,00;0,00
2021-01-31;83,00;9,22;39,96;30,74;21,52;0,00
2021-02-07;42,00;9,69;54,92;109,85;22,62;21,00
2021-02-14;11,00;0,00;30,25;30,25;19,25;22,00
2021-02-21;11,00;0,00;49,50;19,25;11,00;0,00
2021-02-28;32,00;0,00;22,40;54,40;0,00;0,00
2021-03-07;21,00;0,00;51,00;51,00;21,00;31,00
2021-03-14;10,00;0,00;63,33;53,33;0,00;19,00
2021-03-21;0,00;0,00;3,00;7,00;3,00;0,00
2021-03-28;47,00;0,00;68,93;21,93;0,00;0,00
2021-04-04;11,00;11,00;38,50;60,50;0,00;11,00
2021-04-11;32,00;0,00;9,60;67,20;0,00;11,00
2021-04-18;11,00;0,00;36,67;25,67;0,00;22,00
2021-04-25;21,00;0,00;30,00;9,00;0,00;0,00
2021-05-02;42,00;0,00;54,92;64,62;0,00;21,00
2021-05-09;43,00;0,00;43,00;64,50;21,50;11,00
2021-05-16;73,00;0,00;85,70;31,74;9,52;10,00
2021-05-23;11,00;0,00;57,75;68,75;11,00;22,00
2021-05-30;33,00;0,00;46,20;46,20;9,90;11,00
2021-06-06;32,00;0,00;54,40;44,80;22,40;32,00
2021-06-13;54,00;9,53;66,71;9,53;0,00;11,00
2021-06-20;21,00;0,00;51,00;81,00;9,00;11,00
2021-06-27;32,00;9,60;76,80;54,40;9,60;11,00
2021-07-04;22,00;12,57;22,00;34,57;0,00;11,00
2021-07-11;34,00;0,00;21,64;46,36;0,00;0,00
2021-07-18;51,00;0,00;25,50;92,44;38,25;13,00
2021-07-25;49,00;0,00;24,50;36,75;0,00;12,00
2021-08-01;85,00;12,59;110,19;135,37;0,00;0,00
2021-08-08;25,00;12,50;62,50;125,00;12,50;0,00
2021-08-15;47,00;0,00;59,53;81,47;0,00;23,00
2021-08-22;36,00;0,00;69,00;117,00;0,00;24,00
2021-08-29;35,00;12,73;73,18;60,45;0,00;12,00
2021-09-05;36,00;0,00;105,00;69,00;12,00;0,00
2021-09-12;23,00;0,00;36,14;121,57;0,00;23,00
2021-09-19;35,00;0,00;105,00;82,73;0,00;12,00
2021-09-26;11,00;0,00;71,50;30,25;11,00;34,00
2021-10-03;9,00;18,00;42,00;135,00;24,00;26,00
2021-10-10;16,00;0,00;118,40;185,60;51,20;16,00
2021-10-17;48,00;9,60;131,20;57,60;48,00;8,00
2021-10-24;23,00;6,57;115,00;39,43;23,00;8,00
2021-10-31;53,00;0,00;90,41;90,41;31,18;15,00
2021-11-07;30,00;6,00;117,00;111,00;21,00;0,00
2021-11-14;15,00;0,00;108,00;87,00;30,00;15,00
2021-11-21;29,00;0,00;106,33;77,33;6,44;29,00
2021-11-28;59,00;0,00;99,37;90,05;40,37;0,00
