Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;13,00;0,00;6,00;0,00;0,00;84,50;17,33;0,00;34,67;21,67;0,00;0,00;18,91;5,91;0,00;18,91;0,00;31,91;0,00;0,00;5,57;0,00;5,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;46,00;0,00;28,19;0,00;15,00;49,83;24,92;0,00;19,71;46,00;9,86;0,00;5,00;0,00;5,00;10,00;0,00;10,00;0,00;0,00;4,76;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;24,00;0,00;18,00;12,00;36,00;86,40;24,00;0,00;40,00;28,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;30,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;42,00;0,00;36,00;6,00;24,00;109,67;49,00;0,00;37,80;33,60;8,40;0,00;6,00;6,00;0,00;24,00;6,00;61,20;6,00;0,00;5,73;5,73;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;21,00;0,00;136,50;0,00;21,00;89,73;36,27;0,00;10,50;21,00;0,00;5,00;0,00;5,00;0,00;11,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-02-10;19,00;0,00;13,00;0,00;36,27;125,40;30,40;19,00;57,00;57,00;0,00;0,00;0,00;0,00;0,00;46,64;0,00;63,91;8,64;0,00;8,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;19,00;0,00;13,00;19,00;65,64;95,00;125,40;0,00;50,67;69,67;50,67;19,00;8,64;0,00;0,00;8,64;19,00;65,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,64;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;38,00;0,00;38,00;0,00;43,00;156,00;56,00;6,91;38,00;44,91;0,00;5,00;5,00;11,00;5,00;11,00;0,00;33,00;5,00;0,00;11,57;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;33,00;0,00;26,00;7,07;20,04;80,14;54,21;0,00;33,00;61,88;12,38;12,96;20,04;0,00;7,07;38,89;12,96;12,96;7,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;0,00;15,89;0,00;6,00;54,35;33,00;6,60;39,60;56,10;0,00;0,00;11,00;0,00;6,00;22,00;6,00;22,00;0,00;0,00;4,71;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00
