Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-05-05;16,00;0,00;0,00;11,00;0,00;0,00;0,00;5,00;0,00;0,00;5,82;0,00;5,82;7,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;16,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;11,00;0,00;0,00;24,20;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;30,25;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;25,00;0,00;0,00;20,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;10,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,81;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;30,25;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;27,00;0,00;5,00;11,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,68;0,00;0,00;0,00;12,91;0,00;7,04;0,00;0,00;0,00;0,00;0,00;0,00;7,04;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;16,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;5,82;16,00;5,82;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;58,00;0,00;29,00;85,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,17;58,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;18,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;22,00;0,00;6,00;22,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;5,50;20,63;0,00;0,00;0,00;7,33;0,00;0,00;0,00;7,33;0,00;0,00;0,00;0,00;0,00;7,33;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;45,00;0,00;0,00;22,50;15,47;0,00;0,00;15,47;0,00;0,00;0,00;14,32;45,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;6,00;0,00;7,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
