Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;84,00;119,54;32,31;32,31;0,51;32,39;12,14;25,30;24,29;10,12;14,00;15,00;0,00;9,00;13,00;2,00;7,00;2,00;13,00;6,00;11,00;2,02;2,02;1,01;3,04;2,02;1,01;2,02;0,00;3,04;0,00;0,00
2019-01-13;95,00;82,33;38,00;22,17;0,00;33,00;15,00;18,00;21,00;7,00;13,06;14,25;1,19;11,88;10,69;3,56;9,50;2,38;11,88;5,94;14,25;2,00;2,00;1,00;2,00;2,00;0,50;0,00;0,00;3,00;0,00;0,00
2019-01-20;100,00;75,00;35,71;32,14;0,00;31,11;14,44;17,78;24,44;6,67;17,00;13,00;2,00;9,00;8,00;1,00;5,00;3,00;15,00;6,00;9,00;2,22;2,22;1,11;1,11;1,11;0,56;1,11;0,00;1,11;0,00;0,56
2019-01-27;83,00;57,46;22,35;25,54;0,00;27,00;10,00;13,00;22,00;9,00;14,53;10,38;2,08;10,38;6,23;2,08;10,38;2,08;10,38;4,15;9,34;1,00;1,00;0,00;2,00;1,00;0,50;1,00;1,00;7,00;0,50;0,00
2019-02-03;77,00;54,54;25,67;19,25;1,00;25,00;13,00;13,00;26,00;9,00;8,56;11,76;3,21;12,83;7,49;0,53;6,42;2,14;10,69;6,42;8,56;1,00;2,00;0,00;2,00;0,00;1,00;1,00;0,00;6,00;0,00;0,00
2019-02-10;75,00;48,91;26,09;19,57;0,50;27,00;11,00;11,00;15,00;8,00;15,63;13,54;3,13;10,42;5,21;1,04;6,25;2,08;6,25;4,17;7,29;2,00;1,00;0,50;2,00;0,00;1,00;1,00;0,50;8,00;0,00;1,00
2019-02-17;81,00;54,00;27,00;23,63;1,05;26,30;10,52;13,68;23,14;8,42;11,00;13,00;3,00;9,00;7,00;1,00;10,00;3,00;8,00;7,00;11,00;3,16;2,10;0,00;3,16;0,00;0,53;1,05;0,53;8,42;0,00;0,53
2019-02-24;81,00;51,84;32,40;25,92;0,50;33,00;17,00;23,00;19,00;7,00;13,89;15,04;3,47;13,89;9,26;1,16;10,41;2,31;10,41;4,63;11,57;3,00;2,00;0,50;2,00;1,00;0,50;2,00;0,00;7,00;0,00;0,50
2019-03-03;79,00;64,64;28,73;25,14;0,56;31,15;20,03;17,80;24,48;10,01;11,00;9,00;1,00;9,00;9,00;0,50;5,00;3,00;11,00;5,00;9,00;2,23;2,23;0,00;2,23;0,56;0,00;0,56;0,00;7,79;0,00;0,00
2019-03-10;83,00;56,44;33,20;23,24;1,05;33,62;17,86;15,76;16,81;9,46;11,00;9,00;2,00;18,00;11,00;2,00;7,00;2,00;9,00;4,00;13,00;1,05;2,10;0,53;3,15;1,05;0,53;1,05;0,53;7,35;0,00;0,00
2019-03-17;73,00;49,77;33,18;23,23;0,51;22,31;13,18;15,21;21,29;8,11;8,00;11,00;1,00;16,00;10,00;2,00;5,00;2,00;10,00;7,00;11,00;2,03;2,03;0,51;2,03;0,00;0,00;1,01;0,00;7,10;0,00;0,00
2019-03-24;78,00;52,00;22,75;22,75;0,50;28,00;15,00;15,00;20,00;12,00;11,75;9,62;1,07;14,96;8,55;2,14;6,41;4,27;8,55;5,34;9,62;4,00;2,00;0,00;2,00;1,00;1,00;1,00;0,50;8,00;0,50;0,00
2019-03-31;71,00;58,09;22,59;29,05;1,00;25,00;14,00;20,00;19,00;8,00;12,35;12,35;1,03;12,35;8,23;2,06;8,23;3,09;10,29;9,26;10,29;2,00;3,00;1,00;4,00;2,00;0,50;0,00;0,00;3,00;0,50;0,00
