Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;60,00;454,29;522,86;291,43;293,33;13,33;200,00;260,00;140,00;355,00;90,00;295,00;109,41;49,41;187,06;21,18;92,73;111,82;19,09;122,73;9,23;170,77;110,77;101,54;20,63;48,75;48,75;78,75;18,00;0,00;0,00;0,00;18,00;0,00;0,00
2019-01-13;42,00;285,60;504,00;201,60;280,00;21,00;315,00;210,00;210,00;315,00;52,50;189,00;118,36;118,36;221,45;0,00;114,80;84,00;50,40;103,60;22,24;128,47;54,35;54,35;10,00;74,00;74,00;74,00;6,00;12,00;6,00;0,00;12,00;6,00;0,00
2019-01-20;29,00;377,00;483,33;328,67;159,50;4,83;154,67;154,67;105,13;228,38;65,25;141,38;71,18;58,00;92,27;36,91;82,86;120,14;22,79;60,07;13,65;64,82;13,65;58,00;14,50;37,70;7,25;52,20;0,00;6,00;6,00;0,00;12,00;6,00;6,00
2019-01-27;26,00;533,00;741,00;403,00;133,71;14,86;174,57;92,86;67,60;166,40;52,00;93,60;72,43;46,43;72,43;20,43;41,89;69,33;10,11;47,67;21,05;80,48;32,19;42,10;21,00;26,00;5,00;31,00;8,67;17,33;8,67;0,00;0,00;17,33;0,00
2019-02-03;18,00;378,00;423,00;252,00;180,00;27,00;189,00;148,50;90,00;255,00;42,00;126,00;56,25;69,75;144,00;24,75;96,55;114,55;6,55;42,55;23,54;84,46;72,00;48,46;29,25;41,63;0,00;47,25;12,00;6,00;6,00;6,00;6,00;6,00;0,00
2019-02-10;37,00;567,33;616,67;283,67;121,09;0,00;154,73;107,64;87,21;155,93;42,29;150,64;46,25;51,80;68,45;31,45;48,38;69,73;15,65;32,73;26,26;63,26;41,77;31,03;11,00;5,00;0,00;53,00;0,00;0,00;18,50;9,25;0,00;0,00;0,00
2019-02-17;44,00;404,80;536,80;334,40;286,00;36,67;168,67;249,33;115,50;275,00;82,50;379,50;161,33;55,00;106,33;33,00;44,00;272,80;67,47;114,40;34,22;144,22;56,22;78,22;10,00;66,00;0,00;54,00;38,00;13,00;0,00;0,00;12,00;0,00;0,00
2019-02-24;27,00;360,00;513,00;324,00;148,50;10,13;155,25;128,25;72,90;137,70;62,10;167,40;77,14;59,79;59,79;17,36;48,32;81,00;5,68;42,63;33,14;87,14;33,14;49,09;11,00;16,00;0,00;21,00;34,88;13,50;0,00;6,75;0,00;0,00;6,75
2019-03-03;6,00;240,00;306,00;174,00;93,00;15,00;210,00;111,00;69,00;207,00;51,00;201,00;76,00;92,00;86,00;18,00;57,00;81,00;12,00;57,00;33,00;60,00;94,50;46,50;6,00;51,60;0,00;64,80;6,00;12,00;0,00;6,00;12,00;0,00;0,00
2019-03-10;32,00;554,67;661,33;373,33;88,89;14,22;138,67;124,44;101,33;216,00;69,33;162,67;64,00;67,76;47,06;5,65;27,64;75,64;43,64;59,64;36,92;59,08;32,00;20,92;26,00;26,00;0,00;42,00;32,00;32,00;8,00;8,00;8,00;8,00;8,00
