Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;43,00;5,06;0,00;5,06;37,94;0,00;5,00;5,00;5,00;14,00;5,00;53,00;57,88;21,50;6,62;21,50;6,62;14,88;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;82,00;6,69;13,39;0,00;45,18;6,61;13,23;18,52;0,00;6,61;13,23;56,87;0,00;4,00;0,00;4,00;0,00;13,00;0,00;0,00;9,00;0,00;6,61;13,23;0,00;0,00;0,00;18,52;6,61;0,00;6,61;0,00;6,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;52,00;5,07;8,88;0,00;38,05;0,00;0,00;0,00;0,00;9,00;5,00;0,00;0,00;15,60;15,60;0,00;6,93;22,53;0,00;15,60;6,93;0,00;0,00;5,00;0,00;0,00;0,00;9,00;19,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;62,00;0,00;5,06;10,12;29,10;5,00;10,00;10,00;5,00;5,00;0,00;0,00;0,00;55,64;6,36;0,00;0,00;27,03;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;19,00;10,00;0,00;5,00;5,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;100,00;5,06;0,00;0,00;35,44;5,00;5,00;0,00;0,00;10,00;0,00;15,00;0,00;16,98;7,55;16,98;16,98;50,94;0,00;24,53;0,00;0,00;0,00;0,00;0,00;0,00;5,00;30,00;10,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;41,00;10,25;5,13;0,00;15,38;0,00;0,00;5,00;0,00;15,00;0,00;10,00;0,00;5,69;5,69;15,94;10,25;5,69;0,00;5,69;0,00;5,69;0,00;10,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;56,00;0,00;15,27;0,00;5,09;5,00;0,00;0,00;5,00;5,00;0,00;25,00;0,00;5,19;9,33;14,52;18,67;9,33;0,00;18,67;0,00;5,19;5,00;10,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;54,00;11,08;5,54;5,54;22,15;0,00;5,40;10,80;0,00;21,60;0,00;21,60;0,00;18,00;0,00;9,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;5,40;0,00;0,00;0,00;0,00;0,00;0,00;10,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;66,00;13,70;4,98;4,98;18,68;0,00;0,00;14,00;0,00;14,00;5,00;19,00;0,00;0,00;9,90;14,30;0,00;0,00;0,00;4,40;4,40;0,00;0,00;10,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;15,08;5,03;5,03;15,08;10,00;0,00;5,00;0,00;10,00;10,00;15,00;0,00;11,31;0,00;16,33;11,31;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;35,00;15,00;0,00;0,00;30,00;5,00;0,00;0,00;0,00;5,00;5,00;20,00;0,00;20,32;0,00;4,52;0,00;0,00;0,00;20,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;30,00;0,00;10,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,56;10,00;0,00;0,00;10,00;10,00;5,56;0,00;5,56;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;35,00;0,00;0,00;0,00;28,00;27,63;0,00;0,00;0,00;9,21;0,00;35,00;0,00;9,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;9,21;0,00;0,00;9,21;9,21;0,00;0,00;9,21;0,00;9,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;33,00;5,08;8,88;0,00;13,96;5,00;0,00;0,00;0,00;5,00;5,00;19,00;7,76;7,76;25,24;15,53;7,76;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;29,00;6,82;0,00;6,82;22,18;0,00;0,00;0,00;0,00;6,90;0,00;37,29;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;6,90;0,00;0,00;0,00;6,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;32,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;13,33;6,67;13,33;0,00;0,00;0,00;6,67;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;21,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;7,50;0,00;0,00;0,00;0,00;7,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;51,00;0,00;0,00;0,00;5,51;0,00;0,00;0,00;0,00;5,43;0,00;9,77;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
