Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;62,00;62,00;31,00;15,50;775,00;24,80;0,00;1240,00;37,20;12,40;49,60;551,80;111,60;699,71;0,00;62,00;850,29;0,00;0,00;110,71;0,00;0,00;0,00;212,23;38,15;0,00;0,00;12,40;49,60;0,00;0,00;12,40;49,60;13,05;0,00;296,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;47,00;47,00;0,00;94,00;2162,00;0,00;47,00;3243,00;47,00;11,75;23,50;311,38;99,88;1833,00;0,00;47,00;2867,00;47,00;0,00;736,33;0,00;0,00;0,00;479,40;141,00;24,00;0,00;24,00;0,00;24,00;0,00;24,00;0,00;82,25;0,00;869,50;47,00;141,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;61,00;61,00;15,25;30,50;427,00;12,20;0,00;463,60;12,20;20,33;20,33;427,00;213,50;252,71;0,00;8,71;479,29;0,00;0,00;130,71;0,00;11,73;0,00;119,65;35,19;20,91;0,00;0,00;0,00;20,91;0,00;0,00;0,00;0,00;0,00;250,42;0,00;0,00;0,00;12,00;0,00;0,00;0,00
2019-01-27;62,00;0,00;15,50;15,50;434,00;12,40;12,40;520,80;0,00;0,00;0,00;260,40;173,60;327,71;8,86;26,57;478,29;13,29;0,00;186,00;0,00;0,00;0,00;150,23;38,15;0,00;12,40;12,40;24,80;0,00;12,40;12,40;24,80;13,05;26,11;186,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;25,00;25,00;25,00;25,00;250,00;0,00;25,00;525,00;37,50;12,50;0,00;287,50;112,50;300,00;0,00;75,00;458,33;12,50;12,50;120,83;0,00;0,00;0,00;84,09;36,36;0,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;12,50;0,00;181,25;0,00;0,00;13,00;0,00;0,00;0,00;0,00
2019-02-10;13,00;13,00;0,00;0,00;286,00;0,00;13,00;689,00;13,00;13,00;0,00;253,50;65,00;572,00;0,00;13,00;611,00;13,00;13,00;216,67;13,00;0,00;13,00;127,40;41,60;0,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;26,00;13,00;165,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;13,00;0,00;26,00;0,00;260,00;26,00;0,00;377,00;13,00;2,00;2,00;29,00;17,00;136,50;0,00;52,00;286,00;0,00;13,00;130,00;0,00;0,00;0,00;71,50;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;26,00;0,00;169,00;0,00;53,00;0,00;0,00;13,00;0,00;0,00
2019-02-24;40,00;40,00;0,00;0,00;440,00;13,33;13,33;373,33;26,67;40,00;0,00;640,00;340,00;160,00;0,00;16,00;472,00;13,33;13,33;173,33;0,00;0,00;25,88;77,65;0,00;40,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;160,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;64,00;0,00;0,00;96,00;352,00;12,80;12,80;473,60;25,60;0,00;21,33;405,33;256,00;256,00;0,00;0,00;374,86;0,00;12,80;123,73;0,00;0,00;37,93;165,93;52,15;0,00;20,76;0,00;0,00;0,00;20,76;0,00;0,00;12,80;12,80;249,60;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;25,00;25,00;25,00;25,00;375,00;37,50;0,00;437,50;25,00;0,00;0,00;293,75;87,50;300,00;0,00;25,00;266,67;12,50;12,50;145,83;12,50;0,00;11,36;122,73;11,36;12,00;0,00;0,00;12,00;12,00;0,00;0,00;12,00;0,00;12,50;156,25;0,00;13,00;25,00;0,00;0,00;0,00;0,00
2019-03-17;65,00;0,00;0,00;0,00;422,50;0,00;0,00;364,00;13,00;0,00;26,00;136,50;39,00;146,25;0,00;40,63;235,63;0,00;0,00;78,00;0,00;13,93;0,00;51,07;13,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;182,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;13,00;26,00;0,00;13,00;234,00;26,00;39,00;260,00;0,00;0,00;0,00;8,00;19,00;78,00;0,00;13,00;234,00;0,00;0,00;26,00;0,00;0,00;0,00;95,33;13,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;26,00;13,00;0,00;130,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;26,00;13,00;0,00;0,00;208,00;13,00;0,00;65,00;0,00;2,00;0,00;23,00;23,00;112,67;0,00;26,00;130,00;0,00;0,00;39,00;0,00;0,00;0,00;63,82;11,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;13,00;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;0,00;1,00;0,00;0,50;9,00;1,00;0,00;12,00;2,00;0,00;12,50;75,00;175,00;6,00;0,00;0,00;22,00;0,00;3,00;14,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;4,00;0,00;8,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;14,00;28,00;28,00;0,00;252,00;0,00;0,00;84,00;0,00;0,00;0,00;77,00;112,00;35,00;0,00;21,00;161,00;0,00;0,00;74,67;0,00;0,00;0,00;81,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,50;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;26,00;52,00;0,00;26,00;364,00;0,00;26,00;182,00;0,00;0,00;0,00;110,50;26,00;156,00;0,00;26,00;221,00;0,00;0,00;26,00;26,00;0,00;26,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;0,00;0,00;0,50;0,00;5,00;0,00;0,00;11,00;0,00;0,00;2,00;8,00;12,00;3,00;0,00;0,00;17,00;0,00;0,00;14,00;0,00;0,00;0,00;16,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;25,00;0,00;0,00;12,50;50,00;12,50;0,00;125,00;0,00;0,00;25,00;100,00;225,00;25,00;0,00;0,00;150,00;0,00;0,00;104,17;0,00;0,00;12,50;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;0,00;1,00;0,00;4,00;0,00;0,00;10,00;0,00;0,00;0,00;50,00;25,00;12,00;0,00;1,00;23,00;0,00;0,00;14,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;37,00;0,00;0,00;0,00;74,00;37,00;24,67;172,67;0,00;0,00;0,00;148,00;74,00;55,50;0,00;9,25;194,25;13,88;0,00;37,00;0,00;0,00;0,00;48,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,45;0,00;63,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;25,00;0,00;0,00;0,00;50,00;12,50;0,00;75,00;0,00;0,00;0,00;50,00;62,50;50,00;0,00;8,33;150,00;0,00;0,00;70,83;0,00;0,00;0,00;61,36;11,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;59,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;25,00;0,00;0,00;0,00;25,00;25,00;12,50;200,00;0,00;0,00;25,00;125,00;125,00;58,33;0,00;0,00;241,67;0,00;0,00;83,33;0,00;0,00;0,00;59,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;106,25;25,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;37,00;0,00;37,00;0,00;296,00;0,00;0,00;666,00;0,00;0,00;12,33;86,33;123,33;370,00;0,00;0,00;1147,00;0,00;0,00;185,00;0,00;0,00;0,00;81,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;397,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;52,00;0,00;26,00;0,00;52,00;26,00;0,00;104,00;0,00;0,00;2,00;16,00;14,00;112,67;0,00;26,00;364,00;0,00;0,00;65,00;0,00;0,00;0,00;63,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;113,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;52,00;13,00;26,00;0,00;26,00;0,00;0,00;169,00;0,00;0,00;26,00;130,00;182,00;52,00;0,00;0,00;156,00;13,00;13,00;26,00;0,00;0,00;0,00;141,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;104,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;26,00;13,00;0,00;13,00;52,00;13,00;0,00;273,00;0,00;0,00;0,00;104,00;91,00;138,67;0,00;0,00;225,33;0,00;0,00;99,67;0,00;0,00;0,00;63,82;11,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;74,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;100,00;33,33;33,33;33,33;100,00;0,00;0,00;212,50;0,00;0,00;0,00;66,67;66,67;116,67;0,00;33,33;275,00;0,00;13,04;100,00;13,04;0,00;0,00;61,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,67;0,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;53,00;0,00;26,50;0,00;185,50;0,00;0,00;318,00;13,25;0,00;0,00;278,25;251,75;123,67;0,00;17,67;212,00;13,25;0,00;145,75;0,00;0,00;0,00;132,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;132,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;55,00;27,50;55,00;0,00;82,50;13,75;0,00;288,75;13,75;27,50;0,00;151,25;385,00;155,83;0,00;18,33;403,33;0,00;13,75;55,00;0,00;0,00;0,00;69,35;0,00;0,00;0,00;55,00;26,48;0,00;0,00;55,00;26,48;0,00;0,00;106,76;14,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;54,00;27,00;27,00;13,50;162,00;13,50;13,50;216,00;0,00;0,00;27,00;256,50;378,00;135,00;0,00;0,00;360,00;0,00;0,00;94,50;0,00;0,00;0,00;159,65;0,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;67,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;52,00;26,00;52,00;52,00;260,00;0,00;0,00;277,33;0,00;11,56;11,56;121,33;86,67;239,20;0,00;52,00;436,80;0,00;0,00;34,67;0,00;0,00;18,35;104,00;33,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,67;0,00;177,67;0,00;16,90;0,00;0,00;0,00;0,00;0,00
2019-08-11;90,00;0,00;0,00;15,00;120,00;0,00;0,00;308,57;0,00;0,00;0,00;144,00;162,00;162,00;9,00;9,00;279,00;12,86;12,86;51,43;0,00;0,00;0,00;78,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;50,00;25,00;0,00;25,00;200,00;0,00;0,00;600,00;0,00;0,00;0,00;118,75;75,00;283,33;33,33;33,33;683,33;25,00;25,00;225,00;25,00;0,00;0,00;227,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;51,00;0,00;12,75;12,75;127,50;12,75;0,00;318,75;0,00;0,00;0,00;51,00;146,63;127,50;0,00;0,00;221,00;12,75;12,75;59,50;0,00;0,00;12,14;65,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;0,00;0,00;0,50;0,00;4,00;1,00;1,00;18,00;0,00;0,00;0,00;108,00;84,00;11,00;0,00;1,00;40,00;0,00;0,00;22,00;0,00;0,00;0,00;21,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;36,00;72,00;36,00;0,00;360,00;0,00;108,00;576,00;0,00;0,00;12,00;108,00;84,00;684,00;0,00;0,00;1440,00;36,00;0,00;168,00;0,00;0,00;0,00;230,40;79,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;270,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;13,00;0,00;13,00;0,00;78,00;0,00;0,00;234,00;0,00;2,00;0,00;14,00;10,00;117,00;0,00;13,00;390,00;0,00;0,00;112,67;0,00;13,00;13,00;124,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,75;0,00;13,00;0,00;0,00;0,00;0,00;0,00
