Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;14,00;1,00;26,00;2,00;1,00
2021-04-04;13,00;2,00;23,00;1,00;3,00
2021-04-11;17,00;0,50;28,00;1,00;1,00
2021-04-18;16,00;1,00;29,00;3,00;2,00
2021-04-25;14,00;1,00;24,00;1,00;1,00
2021-05-02;17,00;2,00;26,00;2,00;3,00
2021-05-09;18,00;1,00;24,00;3,00;1,00
2021-05-16;16,00;2,00;22,00;1,00;3,00
2021-05-23;16,00;2,00;24,00;3,00;1,00
2021-05-30;16,00;1,00;25,00;2,00;2,00
2021-06-06;13,00;1,00;28,00;2,00;2,00
2021-06-13;22,00;1,00;19,00;0,50;2,00
2021-06-20;16,00;1,00;22,00;1,00;1,00
2021-06-27;14,00;1,00;22,00;0,50;1,00
2021-07-04;20,00;2,00;21,00;0,50;2,00
2021-07-11;16,00;1,00;21,00;2,00;1,00
2021-07-18;15,00;2,00;24,00;2,00;7,00
2021-07-25;16,00;1,00;28,00;2,00;2,00
2021-08-01;11,00;1,00;18,00;1,00;1,00
2021-08-08;16,00;2,00;20,00;1,00;1,00
2021-08-15;16,00;3,00;26,00;2,00;2,00
2021-08-22;14,00;1,00;100,00;0,50;2,00
2021-08-29;12,00;1,00;47,00;1,00;1,00
2021-09-05;10,00;1,00;21,00;2,00;2,00
2021-09-12;13,00;2,00;14,00;1,00;3,00
2021-09-19;11,00;2,00;31,00;1,00;2,00
2021-09-26;10,00;3,00;28,00;1,00;1,00
2021-10-03;12,00;2,00;20,00;1,00;1,00
2021-10-10;15,00;2,00;24,00;1,00;1,00
2021-10-17;11,00;2,00;16,00;1,00;2,00
2021-10-24;13,00;1,00;23,00;0,50;1,00
2021-10-31;11,00;1,00;22,00;1,00;1,00
2021-11-07;15,00;1,00;19,00;1,00;1,00
2021-11-14;14,00;1,00;23,00;0,50;1,00
2021-11-21;13,00;1,00;18,00;0,50;2,00
2021-11-28;12,00;1,00;20,00;2,00;1,00
