Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;93,00;80,39;29,95;95,45;0,00;17,13;34,00;30,00;16,00;11,00;10,00;22,00;27,00;2,00;6,00;24,00;3,00;14,00;5,00;11,00;6,00;3,00;6,00;5,00;1,00;7,00;2,00;1,00;2,00;1,00;1,00;0,00;0,00
2019-01-13;93,00;83,38;24,05;97,89;1,22;17,13;40,00;26,00;27,00;23,00;13,00;26,00;24,00;3,00;5,00;25,00;5,00;11,00;4,00;9,00;8,00;3,00;7,00;2,00;1,00;4,00;3,00;0,50;3,00;0,50;2,00;0,00;0,00
2019-01-20;84,00;80,77;30,69;86,47;1,24;19,76;31,00;31,00;21,00;15,00;10,00;26,00;23,00;3,00;7,00;19,00;1,00;7,00;6,00;11,00;11,00;7,00;4,00;5,00;1,00;3,00;4,00;1,00;2,00;0,50;1,00;0,00;0,00
2019-01-27;93,00;89,79;27,26;66,08;0,00;24,47;26,00;30,00;21,00;20,00;8,00;19,00;16,00;1,00;9,00;21,00;2,00;12,00;5,00;12,00;8,00;4,00;4,00;4,00;0,50;7,00;4,00;1,00;1,00;0,00;0,00;0,50;0,00
2019-02-03;98,00;88,52;20,55;51,45;1,23;19,60;30,00;35,00;13,00;18,00;9,00;18,00;20,00;0,50;3,00;22,00;2,00;8,00;3,00;10,00;9,00;5,00;4,00;3,00;0,00;7,00;6,00;1,00;3,00;1,00;0,50;0,00;0,00
2019-02-10;78,00;81,18;28,65;58,50;1,22;17,06;24,00;33,00;21,00;20,00;11,00;17,00;22,00;4,00;5,00;20,00;4,00;6,00;5,00;11,00;10,00;5,00;2,00;3,00;1,00;5,00;4,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-02-17;85,00;88,15;28,33;65,57;2,43;21,86;25,00;27,00;16,00;22,00;9,00;24,00;16,00;2,00;8,00;23,00;14,00;8,00;5,00;6,00;8,00;3,00;3,00;1,00;1,00;9,00;3,00;1,00;4,00;1,00;2,00;0,50;0,00
2019-02-24;100,00;68,25;17,46;63,41;1,22;19,51;33,00;32,00;15,00;20,00;12,00;18,00;14,00;3,00;5,00;15,00;4,00;9,00;2,00;7,00;10,00;6,00;3,00;4,00;0,00;6,00;5,00;2,00;4,00;0,00;3,00;0,00;1,00
2019-03-03;78,00;76,41;25,47;63,38;0,00;19,50;25,00;32,00;12,00;21,00;7,00;17,00;15,00;2,00;7,00;18,00;6,00;11,00;4,00;8,00;10,00;4,00;2,00;3,00;2,00;6,00;4,00;1,00;1,00;1,00;1,00;0,00;0,00
2019-03-10;81,00;98,47;22,24;51,55;1,23;19,64;35,00;17,00;17,00;23,00;10,00;21,00;23,00;3,00;10,00;26,00;4,00;12,00;4,00;10,00;10,00;5,00;5,00;1,00;2,00;6,00;5,00;0,00;3,00;1,00;1,00;0,00;0,00
2019-03-17;73,00;80,93;28,57;51,10;1,22;17,03;27,00;26,00;19,00;16,00;10,00;18,00;20,00;1,00;10,00;24,00;7,00;16,00;6,00;10,00;8,00;6,00;2,00;3,00;2,00;6,00;4,00;2,00;2,00;1,00;2,00;0,00;0,00
2019-03-24;97,00;97,00;22,26;58,20;1,21;19,40;24,00;34,00;20,00;22,00;10,00;16,00;19,00;3,00;9,00;27,00;4,00;9,00;4,00;11,00;6,00;4,00;7,00;2,00;1,00;7,00;6,00;1,00;5,00;1,00;2,00;0,00;0,00
2019-03-31;81,00;82,59;19,06;73,64;1,23;24,55;33,00;24,00;14,00;24,00;10,00;20,00;21,00;2,00;5,00;23,00;4,00;9,00;5,00;11,00;10,00;5,00;4,00;3,00;1,00;6,00;3,00;0,50;4,00;0,50;1,00;0,00;0,00
2019-04-07;85,00;67,36;22,45;80,14;2,43;21,86;32,00;21,00;21,00;16,00;10,00;23,00;23,00;2,00;7,00;17,00;4,00;11,00;5,00;6,00;8,00;3,00;9,00;4,00;0,50;7,00;7,00;2,00;3,00;1,00;3,00;0,00;0,00
