Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;24,00;91,20;0,00;0,00;7,20;64,00;8,00;12,00;52,00;55,20;4,80;9,60;9,60;0,00;36,80;0,00;0,00;0,00;6,00;0,00;4,00;6,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;32,00;103,38;2,46;0,00;4,92;60,00;4,00;8,00;64,00;68,92;2,46;4,92;0,00;1,60;49,60;0,00;3,20;0,00;8,00;0,00;0,00;20,00;4,00;0,00;0,00;0,00;2,00;8,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;34,00;77,71;4,86;0,00;4,86;71,78;3,78;3,78;75,56;102,00;0,00;12,14;4,86;0,00;44,82;1,55;0,00;2,00;0,00;2,00;2,00;11,00;4,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;14,00;81,67;9,33;0,00;7,00;63,00;17,50;10,50;49,00;77,00;7,00;14,00;2,33;7,78;66,89;0,00;0,00;6,00;0,00;4,00;2,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-03;16,00;70,86;6,86;0,00;2,29;64,00;4,00;12,00;52,00;64,00;2,29;13,71;2,29;1,60;17,60;1,60;0,00;0,00;0,00;0,00;8,00;14,00;2,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;14,00;95,67;7,00;0,00;2,33;45,50;10,50;7,00;38,50;98,00;4,67;0,00;4,67;0,00;49,78;0,00;1,56;2,00;4,00;4,00;2,00;4,00;10,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;10,00;100,00;10,00;0,00;5,00;80,00;6,67;13,33;56,67;115,00;2,50;5,00;0,00;0,00;40,00;5,00;0,00;0,00;2,00;2,00;8,00;16,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;14,00;95,67;14,00;0,00;4,67;70,00;7,00;17,50;56,00;107,33;0,00;7,00;4,67;0,00;28,00;1,56;0,00;2,00;0,00;0,00;10,00;16,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;6,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;17,00;126,29;14,57;0,00;4,86;76,50;12,75;12,75;85,00;121,43;4,86;17,00;4,86;1,55;44,82;1,55;0,00;0,00;6,00;0,00;2,00;13,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;18,00;76,50;6,75;0,00;2,25;86,40;10,80;14,40;90,00;96,75;2,25;6,75;0,00;0,00;40,50;4,50;0,00;0,00;4,00;8,00;2,00;14,00;8,00;0,00;2,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
