Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;14,00;4,00;8,00;18,00;17,00;2,80;2,80;8,40;8,40
2020-05-24;17,00;4,00;6,00;17,00;15,00;0,00;2,43;9,71;19,43
2020-05-31;36,00;11,00;5,00;20,00;10,00;0,00;2,57;2,57;25,71
2020-06-07;28,00;3,00;3,00;8,00;7,00;2,55;5,09;2,55;40,73
2020-06-14;43,00;6,00;7,00;22,00;13,00;2,53;0,00;2,53;22,76
2020-06-21;43,00;6,00;5,00;15,00;6,00;2,53;2,53;1,26;12,65
2020-06-28;28,00;4,00;5,00;30,00;11,00;2,55;2,55;2,55;15,27
2020-07-05;31,00;7,00;2,00;15,00;5,00;2,58;1,29;2,58;10,33
2020-07-12;25,00;2,00;4,00;14,00;6,00;2,50;2,50;2,50;27,50
2020-07-19;42,00;5,00;8,00;18,00;5,00;2,47;2,47;7,41;7,41
2020-07-26;39,00;8,00;5,00;21,00;5,00;4,88;2,44;7,31;9,75
2020-08-02;35,00;1,00;10,00;12,00;3,00;2,50;5,00;5,00;12,50
2020-08-09;52,00;5,00;10,00;18,00;10,00;4,95;4,95;4,95;12,38
2020-08-16;42,00;9,00;16,00;29,00;5,00;2,47;2,47;2,47;7,41
2020-08-23;31,00;6,00;10,00;15,00;9,00;2,58;0,00;10,33;82,67
2020-08-30;27,00;6,00;5,00;45,00;16,00;2,45;0,00;2,45;9,82
2020-09-06;28,00;12,00;0,00;22,00;9,00;1,27;2,55;5,09;5,09
2020-09-13;13,00;6,00;4,00;15,00;39,00;1,30;2,60;2,60;7,80
2020-09-20;15,00;4,00;5,00;11,00;7,00;5,00;7,50;2,50;5,00
2020-09-27;10,00;4,00;3,00;18,00;4,00;2,50;2,50;2,50;7,50
2020-10-04;16,00;4,00;8,00;15,00;6,00;0,00;2,67;5,33;37,33
2020-10-11;20,00;17,00;8,00;10,00;19,00;2,50;2,50;5,00;7,50
2020-10-18;14,00;6,00;6,00;11,00;11,00;1,40;1,40;2,80;5,60
2020-10-25;16,00;9,00;5,00;10,00;6,00;1,33;1,33;5,33;5,33
2020-11-01;17,00;7,00;5,00;3,00;13,00;2,43;1,21;2,43;7,29
2020-11-08;21,00;5,00;2,00;12,00;10,00;2,33;1,17;2,33;2,33
2020-11-15;72,00;5,00;7,00;13,00;7,00;1,24;2,48;4,97;2,48
2020-11-22;19,00;5,00;6,00;10,00;9,00;1,19;4,75;0,00;11,88
2020-11-29;19,00;8,00;2,00;6,00;8,00;0,00;8,14;0,00;10,86
2020-12-06;19,00;4,00;5,00;14,00;12,00;2,38;0,00;4,75;111,63
2020-12-13;16,00;7,00;8,00;55,00;6,00;2,67;2,67;5,33;5,33
2020-12-20;23,00;6,00;6,00;67,00;10,00;0,00;2,56;5,11;15,33
2020-12-27;21,00;15,00;14,00;33,00;12,00;2,63;5,25;5,25;26,25
2021-01-03;26,00;8,00;10,00;26,00;11,00;2,60;2,60;7,80;2,60
2021-01-10;15,00;10,00;10,00;16,00;11,00;2,50;5,00;2,50;7,50
2021-01-17;13,00;5,00;10,00;17,00;16,00;1,30;5,20;5,20;5,20
2021-01-24;28,00;6,00;6,00;23,00;8,00;0,00;2,55;2,55;10,18
2021-01-31;20,00;6,00;8,00;17,00;9,00;1,25;2,50;2,50;2,50
2021-02-07;24,00;7,00;5,00;19,00;6,00;2,40;2,40;2,40;117,60
2021-02-14;15,00;8,00;7,00;13,00;9,00;5,00;7,50;5,00;15,00
2021-02-21;19,00;4,00;5,00;18,00;8,00;2,38;7,13;7,13;4,75
2021-02-28;15,00;9,00;1,00;12,00;16,00;0,00;5,00;7,50;10,00
2021-03-07;20,00;4,00;8,00;22,00;6,00;2,50;2,50;5,00;5,00
2021-03-14;25,00;0,00;4,00;18,00;9,00;0,00;5,00;10,00;7,50
2021-03-21;17,00;14,00;9,00;12,00;9,00;2,43;2,43;4,86;2,43
2021-03-28;20,00;7,00;11,00;14,00;13,00;2,50;5,00;5,00;12,50
2021-04-04;21,00;11,00;5,00;12,00;14,00;2,63;5,25;10,50;5,25
2021-04-11;12,00;9,00;10,00;22,00;6,00;2,40;4,80;7,20;12,00
2021-04-18;18,00;5,00;10,00;18,00;9,00;0,00;2,57;2,57;2,57
2021-04-25;11,00;14,00;9,00;20,00;14,00;1,38;2,75;5,50;2,75
2021-05-02;24,00;9,00;4,00;18,00;23,00;4,80;2,40;4,80;9,60
2021-05-09;22,00;1,00;5,00;16,00;5,00;0,00;2,44;2,44;2,44
2021-05-16;23,00;3,00;4,00;18,00;9,00;2,56;5,11;2,56;7,67
2021-05-23;31,00;4,00;9,00;21,00;15,00;5,17;0,00;5,17;10,33
2021-05-30;55,00;4,00;14,00;22,00;9,00;2,50;10,00;5,00;7,50
2021-06-06;15,00;9,00;11,00;14,00;9,00;0,00;2,50;0,00;7,50
2021-06-13;29,00;11,00;13,00;12,00;9,00;2,64;2,64;5,27;15,82
2021-06-20;25,00;11,00;6,00;10,00;7,00;5,00;2,50;5,00;65,00
2021-06-27;19,00;12,00;23,00;19,00;8,00;4,75;0,00;4,75;7,13
2021-07-04;47,00;20,00;12,00;17,00;11,00;4,95;4,95;9,89;7,42
2021-07-11;35,00;18,00;17,00;17,00;12,00;5,00;0,00;5,00;7,50
2021-07-18;33,00;3,00;12,00;12,00;12,00;7,62;5,08;2,54;10,15
2021-07-25;56,00;24,00;19,00;29,00;8,00;2,55;2,55;5,09;2,55
2021-08-01;33,00;19,00;16,00;34,00;11,00;0,00;5,08;7,62;7,62
2021-08-08;50,00;21,00;37,00;19,00;7,00;5,00;2,50;2,50;5,00
2021-08-15;80,00;7,00;14,00;22,00;10,00;5,00;2,50;7,50;12,50
2021-08-22;30,00;10,00;10,00;24,00;11,00;5,00;7,50;10,00;12,50
2021-08-29;28,00;13,00;12,00;20,00;6,00;2,55;2,55;2,55;7,64
2021-09-05;27,00;13,00;4,00;17,00;3,00;4,91;4,91;4,91;9,82
2021-09-12;24,00;30,00;6,00;38,00;1,00;8,00;2,67;2,67;8,00
2021-09-19;18,00;17,00;10,00;41,00;6,00;5,14;5,14;7,71;7,71
2021-09-26;18,00;16,00;3,00;21,00;10,00;2,57;2,57;2,57;2,57
2021-10-03;14,00;19,00;18,00;21,00;6,00;2,33;2,33;4,67;4,67
2021-10-10;12,00;16,00;11,00;15,00;9,00;4,80;2,40;7,20;9,60
2021-10-17;26,00;12,00;9,00;33,00;7,00;2,60;5,20;10,40;5,20
2021-10-24;22,00;12,00;21,00;23,00;15,00;4,89;2,44;2,44;4,89
2021-10-31;25,00;14,00;8,00;12,00;10,00;2,50;5,00;5,00;7,50
2021-11-07;28,00;16,00;15,00;31,00;4,00;5,09;2,55;10,18;5,09
2021-11-14;32,00;18,00;5,00;19,00;7,00;7,38;2,46;4,92;4,92
2021-11-21;19,00;10,00;21,00;23,00;10,00;0,00;8,14;8,14;5,43
2021-11-28;4,00;12,00;15,00;16,00;10,00;4,00;6,00;6,00;6,00
2021-12-05;12,00;14,00;14,00;14,00;12,00;0,00;4,80;7,20;7,20
2021-12-12;12,00;12,00;9,00;30,00;7,00;7,20;4,80;2,40;38,40
2021-12-19;26,00;10,00;8,00;16,00;36,00;2,60;5,20;5,20;15,60
2021-12-26;16,00;10,00;12,00;43,00;10,00;13,33;8,00;8,00;13,33
2022-01-02;36,00;9,00;15,00;33,00;7,00;15,43;5,14;10,29;2,57
2022-01-09;24,00;9,00;11,00;19,00;12,00;2,67;5,33;5,33;13,33
2022-01-16;34,00;19,00;9,00;24,00;15,00;2,62;7,85;2,62;7,85
2022-01-23;37,00;12,00;18,00;24,00;17,00;2,47;2,47;4,93;9,87
2022-01-30;19,00;10,00;5,00;21,00;15,00;5,43;0,00;10,86;8,14
2022-02-06;17,00;25,00;15,00;19,00;5,00;0,00;2,43;2,43;9,71
2022-02-13;33,00;25,00;17,00;25,00;12,00;2,54;7,62;5,08;12,69
2022-02-20;22,00;9,00;14,00;12,00;12,00;2,44;2,44;0,00;2,44
2022-02-27;23,00;16,00;15,00;30,00;21,00;2,56;2,56;0,00;15,33
2022-03-06;31,00;17,00;6,00;18,00;9,00;2,58;5,17;12,92;7,75
2022-03-13;43,00;7,00;18,00;12,00;5,00;2,53;2,53;5,06;17,71
2022-03-20;32,00;7,00;4,00;27,00;13,00;0,00;0,00;4,92;14,77
2022-03-27;42,00;14,00;5,00;25,00;14,00;2,47;2,47;4,94;17,29
2022-04-03;32,00;5,00;8,00;29,00;8,00;0,00;2,46;2,46;12,31
2022-04-10;27,00;7,00;8,00;25,00;5,00;9,82;7,36;4,91;9,82
2022-04-17;39,00;14,00;17,00;27,00;9,00;7,31;12,19;7,31;2,44
2022-04-24;25,00;14,00;15,00;14,00;18,00;2,50;10,00;2,50;15,00
2022-05-01;18,00;10,00;12,00;20,00;5,00;2,57;10,29;7,71;5,14
2022-05-08;28,00;9,00;5,00;35,00;12,00;0,00;0,00;10,18;7,64
2022-05-15;24,00;5,00;7,00;12,00;5,00;2,67;5,33;2,67;5,33
2022-05-22;31,00;14,00;9,00;21,00;12,00;2,58;0,00;5,17;10,33
2022-05-29;44,00;15,00;8,00;15,00;9,00;4,89;0,00;4,89;12,22
