Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;100,00;101,82;63,64;118,18;0,00;4,00;0,00;13,00;0,00
2019-01-13;35,00;88,42;42,37;112,37;0,00;17,00;9,00;9,00;0,00
2019-01-20;48,00;66,46;38,77;132,92;0,00;8,00;17,00;0,00;9,00
2019-01-27;22,00;73,33;42,17;88,00;0,00;4,00;21,00;31,00;5,00
2019-02-03;41,00;57,77;57,77;139,77;0,00;17,00;0,00;14,00;29,00
2019-02-10;41,00;57,04;21,39;151,52;0,00;13,00;13,00;19,00;5,00
2019-02-17;41,00;57,04;64,17;135,48;0,00;9,00;22,00;14,00;10,00
2019-02-24;27,00;84,60;68,40;115,20;0,00;9,00;13,00;5,00;5,00
2019-03-03;34,00;39,37;25,05;96,63;3,58;4,00;12,00;0,00;0,00
2019-03-10;31,00;27,35;71,12;93,00;0,00;8,00;8,00;18,00;18,00
2019-03-17;36,00;52,20;21,60;86,40;3,60;4,00;9,00;5,00;0,00
2019-03-24;22,00;47,67;12,83;69,67;3,67;13,00;4,00;18,00;10,00
2019-03-31;49,00;47,19;12,70;81,67;18,15;4,00;0,00;5,00;5,00
2019-04-07;17,00;92,56;30,22;98,22;3,78;4,00;29,00;9,00;0,00
2019-04-14;40,00;89,09;9,09;120,00;0,00;5,00;5,00;5,00;0,00
2019-04-21;39,00;65,59;37,23;97,50;0,00;5,00;14,00;5,00;5,00
2019-04-28;65,00;32,50;9,03;70,42;3,61;12,00;8,00;9,00;0,00
2019-05-05;22,00;14,67;25,67;97,17;0,00;0,00;8,00;0,00;5,00
2019-05-12;44,00;51,33;25,67;95,33;0,00;4,00;9,00;0,00;0,00
2019-05-19;31,00;36,47;21,88;89,35;0,00;9,00;4,00;4,00;0,00
2019-05-26;53,00;40,21;23,76;51,17;0,00;5,00;0,00;15,00;0,00
2019-06-02;27,00;46,80;30,60;90,00;0,00;9,00;13,00;0,00;5,00
2019-06-09;40,00;50,91;25,45;85,45;0,00;4,00;4,00;5,00;0,00
2019-06-16;37,00;35,15;44,40;75,85;9,25;0,00;0,00;9,00;0,00
2019-06-23;29,00;19,94;32,63;94,25;0,00;14,00;19,00;0,00;0,00
2019-06-30;42,00;49,30;21,91;107,74;0,00;4,00;18,00;5,00;0,00
2019-07-07;48,00;60,92;24,00;90,46;14,77;19,00;23,00;20,00;5,00
2019-07-14;26,00;50,14;40,86;70,57;0,00;5,00;10,00;10,00;22,00
2019-07-21;54,00;28,80;30,60;124,20;5,40;0,00;26,00;11,00;6,00
2019-07-28;39,00;78,00;42,71;154,14;0,00;0,00;5,00;11,00;6,00
2019-08-04;36,00;48,60;34,20;138,60;0,00;0,00;15,00;10,00;5,00
2019-08-11;70,00;19,74;30,51;170,51;0,00;9,00;18,00;10,00;0,00
2019-08-18;40,00;56,36;25,45;90,91;3,64;9,00;17,00;0,00;14,00
2019-08-25;45,00;79,20;30,60;135,00;3,60;0,00;9,00;5,00;0,00
2019-09-01;26,00;68,71;53,86;92,86;0,00;0,00;16,00;13,00;5,00
2019-09-08;62,00;32,82;29,18;91,18;3,65;13,00;4,00;9,00;0,00
2019-09-15;36,00;84,60;9,00;106,20;3,60;9,00;4,00;5,00;5,00
2019-09-22;62,00;69,29;47,41;107,59;0,00;0,00;9,00;9,00;5,00
2019-09-29;36,00;50,40;43,20;118,80;0,00;0,00;26,00;5,00;9,00
2019-10-06;40,00;32,73;30,91;160,00;9,09;13,00;9,00;5,00;5,00
2019-10-13;18,00;73,80;37,80;113,40;0,00;4,00;4,00;0,00;0,00
2019-10-20;21,00;52,50;19,25;115,50;0,00;4,00;66,00;0,00;5,00
2019-10-27;29,00;79,75;43,50;117,81;0,00;0,00;24,00;17,00;13,00
2019-11-03;59,00;49,78;53,47;143,81;0,00;20,00;8,00;13,00;0,00
2019-11-10;42,00;67,57;25,57;115,04;0,00;4,00;21,00;9,00;4,00
2019-11-17;46,00;31,28;33,12;106,72;3,68;8,00;53,00;4,00;9,00
2019-11-24;37,00;57,35;7,40;81,40;3,70;16,00;8,00;8,00;4,00
2019-12-01;17,00;56,67;26,44;77,44;3,78;8,00;8,00;9,00;5,00
2019-12-08;55,00;49,50;77,00;115,50;7,33;4,00;20,00;17,00;9,00
2019-12-15;69,00;108,95;32,68;112,58;3,63;4,00;8,00;13,00;5,00
2019-12-22;46,00;114,08;90,16;110,40;9,20;20,00;10,00;16,00;11,00
2019-12-29;80,00;89,09;47,27;116,36;0,00;24,00;0,00;10,00;21,00
2020-01-05;65,00;90,28;54,17;119,17;12,64;24,00;4,00;12,00;0,00
2020-01-12;60,00;67,27;41,82;101,82;16,36;15,00;8,00;20,00;8,00
2020-01-19;52,00;68,14;64,55;116,55;0,00;8,00;4,00;8,00;13,00
2020-01-26;45,00;46,80;50,40;104,40;0,00;4,00;16,00;8,00;4,00
2020-02-02;56,00;59,61;77,68;97,55;0,00;4,00;8,00;12,00;17,00
2020-02-09;45,00;72,00;66,60;90,00;0,00;4,00;16,00;12,00;4,00
2020-02-16;37,00;48,10;31,45;88,80;3,70;16,00;12,00;4,00;13,00
2020-02-23;50,00;57,14;25,00;37,50;0,00;4,00;15,00;8,00;4,00
2020-03-01;28,00;46,67;24,27;95,20;3,73;8,00;15,00;16,00;0,00
2020-03-08;30,00;54,71;24,71;88,24;0,00;7,00;7,00;8,00;4,00
2020-03-15;34,00;32,21;17,89;42,95;3,58;0,00;4,00;4,00;8,00
2020-03-22;32,00;40,89;30,22;55,11;3,56;3,00;14,00;0,00;4,00
2020-03-29;41,00;31,68;26,09;29,82;0,00;0,00;18,00;8,00;8,00
2020-04-05;52,00;22,29;7,43;91,00;0,00;4,00;19,00;8,00;4,00
2020-04-12;24,00;51,69;11,08;114,46;0,00;0,00;15,00;4,00;0,00
2020-04-19;22,00;36,67;7,33;66,00;0,00;11,00;11,00;8,00;0,00
2020-04-26;40,00;30,91;10,91;83,64;7,27;3,00;14,00;0,00;0,00
2020-05-03;34,00;12,53;25,05;75,16;0,00;4,00;58,00;0,00;4,00
2020-05-10;15,00;24,38;26,25;60,00;0,00;11,00;22,00;4,00;4,00
2020-05-17;20,00;38,18;10,91;38,18;3,64;4,00;31,00;8,00;4,00
2020-05-24;35,00;23,95;42,37;46,05;7,37;0,00;22,00;4,00;0,00
2020-05-31;4,00;14,00;20,00;94,00;4,00;0,00;11,00;0,00;0,00
2020-06-07;30,00;35,63;11,25;63,75;3,75;4,00;18,00;4,00;4,00
2020-06-14;65,00;39,72;43,33;70,42;0,00;4,00;7,00;8,00;12,00
2020-06-21;28,00;15,75;29,75;59,50;7,00;8,00;20,00;8,00;4,00
2020-06-28;28,00;26,13;24,27;78,40;0,00;19,00;12,00;0,00;4,00
