Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;50,00;5,00;2,00;12,00;9,00;7,00;1,00;15,00;1,00;2,63;1,32;42,11;36,84;24,00;0,00;10,00;9,00;2,27;0,00;102,27;0,00;0,00;5,00;1,00;4,00;1,00;0,00;1,00;5,00;6,00;11,00;0,00;4,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;30,00;6,00;0,00;11,00;11,00;2,00;1,00;8,00;0,00;0,00;1,25;15,00;35,00;4,00;1,00;4,00;5,00;4,62;0,00;71,54;0,00;1,00;5,00;2,00;2,00;0,00;0,00;1,00;0,00;2,00;14,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;50,00;7,00;2,00;6,00;8,00;2,00;5,00;5,00;0,00;0,00;1,32;7,89;21,05;2,00;0,00;2,00;5,00;2,27;2,27;111,36;2,27;1,00;5,00;0,00;3,00;2,00;0,00;1,00;2,00;5,00;10,00;1,00;9,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;3,00;3,00;8,00;5,00;1,00;1,00;5,00;0,00;1,33;0,00;8,00;32,00;1,00;0,00;1,00;6,00;0,00;2,18;89,45;2,18;0,00;0,00;0,00;6,00;1,00;0,00;2,00;2,00;1,00;11,00;0,00;9,00;1,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;37,00;1,00;6,00;7,00;6,00;1,00;1,00;5,00;0,00;0,00;0,00;9,87;19,73;2,00;2,00;6,00;3,00;2,18;0,00;58,76;0,00;0,00;3,00;0,00;7,00;0,00;2,00;1,00;3,00;3,00;4,00;0,00;9,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;37,00;4,00;8,00;11,00;6,00;3,00;2,00;4,00;1,00;0,00;1,32;5,29;29,07;1,00;3,00;8,00;1,00;2,31;0,00;80,94;0,00;0,00;5,00;0,00;6,00;1,00;1,00;0,00;1,00;2,00;3,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;7,00;5,00;7,00;6,00;1,00;2,00;5,00;0,00;0,00;0,00;13,00;23,40;3,00;2,00;7,00;1,00;4,33;2,17;88,83;0,00;0,00;5,00;1,00;7,00;1,00;0,00;6,00;0,00;5,00;4,00;1,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;36,00;5,00;8,00;11,00;12,00;0,00;0,00;5,00;0,00;2,57;1,29;5,14;28,29;1,00;0,00;11,00;4,00;2,25;0,00;81,00;2,25;0,00;6,00;2,00;6,00;2,00;1,00;1,00;0,00;1,00;8,00;1,00;4,00;1,00;0,00;0,00;0,00;5,00;0,00;0,00;1,00;0,00
2019-03-03;42,00;11,00;5,00;10,00;7,00;1,00;2,00;4,00;1,00;0,00;1,24;9,88;27,18;3,00;1,00;5,00;2,00;0,00;2,21;68,53;0,00;0,00;0,00;0,00;5,00;0,00;2,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;2,00;12,00;5,00;8,00;6,00;4,00;7,00;0,00;2,54;1,27;12,69;33,00;3,00;2,00;7,00;7,00;2,20;0,00;50,60;0,00;0,00;2,00;0,00;5,00;0,00;0,00;4,00;2,00;1,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;17,00;1,00;0,00;6,00;7,00;1,00;1,00;2,00;0,00;0,00;0,00;2,43;14,57;1,00;0,00;4,00;1,00;2,13;0,00;44,63;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-24;26,00;1,00;6,00;7,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;10,40;31,20;1,00;1,00;5,00;0,00;0,00;2,17;52,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;3,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;33,00;0,00;0,00;4,00;2,00;0,00;1,00;2,00;0,00;0,00;0,00;10,15;27,92;1,00;0,00;1,00;0,00;2,20;0,00;41,80;0,00;0,00;6,00;0,00;2,00;0,00;0,00;2,00;1,00;4,00;0,00;1,00;5,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;26,00;2,00;2,00;19,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;5,20;20,80;0,00;0,00;2,00;4,00;0,00;0,00;41,17;2,17;0,00;1,00;2,00;1,00;1,00;1,00;4,00;4,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;36,00;4,00;2,00;4,00;5,00;2,00;0,00;3,00;0,00;0,00;1,29;2,57;23,14;1,00;1,00;0,00;0,00;2,25;0,00;40,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;6,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;40,00;5,00;4,00;13,00;4,00;0,00;1,00;1,00;0,00;0,00;5,33;2,67;24,00;0,00;0,00;3,00;4,00;0,00;0,00;57,78;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;3,00;1,00;7,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;32,00;4,00;1,00;5,00;2,00;2,00;1,00;1,00;0,00;2,67;0,00;2,67;13,33;0,00;0,00;1,00;5,00;0,00;0,00;54,86;2,29;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;4,00;0,00;0,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;1,00;0,00;12,00;1,00;2,00;1,00;4,00;0,00;1,42;0,00;2,83;19,83;1,00;0,00;4,00;2,00;0,00;0,00;53,43;2,43;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;2,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;18,00;1,00;6,00;7,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;15,43;0,00;0,00;2,00;2,00;2,25;0,00;38,25;2,25;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;10,00;0,00;2,00;7,00;1,00;2,00;2,00;2,00;0,00;0,00;0,00;5,00;15,00;4,00;0,00;0,00;3,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;17,00;0,00;2,00;7,00;2,00;2,00;0,00;3,00;0,00;0,00;1,21;0,00;12,14;0,00;0,00;5,00;3,00;0,00;0,00;29,75;0,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;22,00;0,00;6,00;5,00;0,00;5,00;0,00;0,00;0,00;2,75;0,00;2,75;19,25;0,00;1,00;4,00;5,00;2,20;0,00;37,40;0,00;0,00;0,00;5,00;0,00;1,00;0,00;0,00;0,00;1,00;3,00;0,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;23,00;1,00;5,00;12,00;1,00;5,00;1,00;4,00;0,00;0,00;1,28;5,11;28,11;5,00;0,00;0,00;7,00;2,30;0,00;41,40;0,00;0,00;4,00;0,00;0,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;36,00;0,00;7,00;32,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;7,71;25,71;0,00;0,00;2,00;5,00;2,25;0,00;56,25;2,25;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;28,00;1,00;6,00;21,00;1,00;4,00;0,00;9,00;0,00;0,00;0,00;5,09;28,00;0,00;0,00;5,00;4,00;4,31;0,00;53,85;2,15;0,00;1,00;2,00;0,00;4,00;1,00;0,00;1,00;1,00;0,00;0,00;5,00;1,00;0,00;1,00;2,00;3,00;0,00;0,00;0,00;0,00
2019-06-30;41,00;4,00;5,00;28,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00;7,69;28,19;3,00;4,00;5,00;6,00;2,28;2,28;63,78;0,00;0,00;2,00;1,00;2,00;0,00;1,00;1,00;1,00;1,00;7,00;0,00;11,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;51,00;0,00;8,00;18,00;2,00;8,00;0,00;5,00;0,00;0,00;0,00;2,55;35,70;3,00;0,00;7,00;6,00;6,65;0,00;51,00;2,22;0,00;1,00;1,00;2,00;0,00;0,00;1,00;1,00;2,00;3,00;0,00;8,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;52,00;0,00;8,00;24,00;5,00;4,00;2,00;6,00;0,00;2,60;0,00;5,20;41,60;4,00;0,00;11,00;11,00;2,17;0,00;69,33;2,17;0,00;1,00;6,00;1,00;0,00;0,00;0,00;2,00;0,00;7,00;0,00;5,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;52,00;15,00;15,00;21,00;2,00;20,00;1,00;5,00;1,00;0,00;0,00;7,80;260,00;1,00;0,00;3,00;11,00;2,26;4,52;88,17;2,26;0,00;0,00;4,00;6,00;0,00;2,00;2,00;9,00;2,00;7,00;1,00;6,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;50,00;1,00;4,00;24,00;4,00;3,00;2,00;3,00;0,00;0,00;0,00;7,89;92,11;0,00;5,00;8,00;6,00;0,00;2,27;86,36;2,27;0,00;1,00;1,00;1,00;0,00;1,00;2,00;1,00;1,00;10,00;0,00;6,00;1,00;0,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;83,00;0,00;1,00;25,00;5,00;6,00;0,00;8,00;0,00;0,00;1,30;10,38;49,28;1,00;1,00;3,00;13,00;2,18;2,18;83,00;4,37;0,00;0,00;5,00;4,00;3,00;0,00;1,00;0,00;9,00;1,00;0,00;5,00;0,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;76,00;1,00;4,00;18,00;5,00;7,00;0,00;7,00;1,00;0,00;2,53;10,13;55,73;6,00;1,00;7,00;10,00;2,24;0,00;122,94;2,24;0,00;0,00;4,00;3,00;3,00;1,00;3,00;1,00;4,00;3,00;0,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;66,00;1,00;4,00;6,00;1,00;4,00;1,00;3,00;0,00;0,00;0,00;5,08;40,62;1,00;1,00;8,00;5,00;2,20;2,20;96,80;0,00;0,00;0,00;4,00;3,00;0,00;3,00;2,00;5,00;3,00;7,00;0,00;3,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;52,00;0,00;1,00;13,00;2,00;2,00;0,00;7,00;0,00;1,30;1,30;5,20;31,20;0,00;2,00;4,00;5,00;0,00;0,00;104,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;2,00;1,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;37,00;1,00;1,00;2,00;3,00;3,00;1,00;3,00;0,00;0,00;0,00;2,64;23,79;1,00;0,00;6,00;8,00;0,00;0,00;60,94;0,00;0,00;0,00;1,00;0,00;1,00;0,00;2,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;37,00;3,00;0,00;5,00;3,00;1,00;0,00;6,00;1,00;0,00;2,64;5,29;18,50;0,00;0,00;8,00;5,00;4,35;0,00;54,41;0,00;0,00;0,00;2,00;2,00;1,00;0,00;0,00;2,00;5,00;1,00;0,00;5,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;32,00;1,00;9,00;9,00;1,00;0,00;0,00;3,00;1,00;1,33;0,00;8,00;24,00;0,00;0,00;0,00;7,00;2,29;0,00;48,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;3,00;1,00;0,00;6,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-09-22;33,00;3,00;4,00;7,00;3,00;2,00;1,00;1,00;1,00;0,00;0,00;5,08;30,46;2,00;1,00;3,00;4,00;4,40;2,20;70,40;0,00;0,00;0,00;2,00;4,00;0,00;1,00;1,00;2,00;2,00;0,00;0,00;6,00;1,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;31,00;1,00;0,00;5,00;7,00;2,00;0,00;2,00;0,00;0,00;0,00;2,58;12,92;1,00;0,00;7,00;8,00;2,21;0,00;57,57;0,00;0,00;1,00;1,00;2,00;2,00;0,00;1,00;2,00;0,00;4,00;0,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;39,00;1,00;2,00;6,00;3,00;0,00;1,00;5,00;0,00;0,00;0,00;2,60;23,40;0,00;0,00;8,00;5,00;6,50;0,00;45,50;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;3,00;13,00;0,00;7,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;37,00;6,00;0,00;9,00;2,00;6,00;0,00;3,00;1,00;0,00;2,64;5,29;13,21;0,00;0,00;1,00;5,00;2,18;0,00;45,71;0,00;0,00;1,00;2,00;1,00;0,00;0,00;2,00;2,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;30,00;3,00;2,00;12,00;1,00;2,00;1,00;6,00;0,00;0,00;1,25;1,25;27,50;1,00;2,00;2,00;6,00;0,00;0,00;49,29;2,14;0,00;1,00;0,00;3,00;1,00;2,00;1,00;2,00;2,00;4,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;44,00;1,00;0,00;9,00;2,00;3,00;1,00;2,00;1,00;0,00;0,00;2,59;25,88;1,00;0,00;6,00;1,00;4,40;0,00;66,00;0,00;0,00;6,00;1,00;2,00;0,00;1,00;1,00;1,00;4,00;2,00;0,00;1,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;31,00;1,00;4,00;4,00;4,00;3,00;2,00;5,00;1,00;0,00;1,29;1,29;25,83;0,00;0,00;10,00;8,00;1,11;1,11;79,71;0,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;41,00;2,00;3,00;8,00;5,00;4,00;0,00;1,00;1,00;0,00;0,00;7,69;23,06;0,00;1,00;6,00;4,00;2,16;0,00;71,21;1,08;0,00;4,00;2,00;1,00;0,00;0,00;0,00;1,00;4,00;2,00;0,00;1,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;31,00;4,00;1,00;10,00;3,00;2,00;2,00;3,00;0,00;0,00;0,00;2,58;38,75;1,00;0,00;7,00;2,00;2,21;0,00;99,64;0,00;0,00;2,00;0,00;0,00;0,00;1,00;1,00;1,00;4,00;4,00;0,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;36,00;3,00;2,00;6,00;9,00;4,00;3,00;2,00;0,00;2,57;0,00;2,57;30,86;0,00;0,00;10,00;1,00;1,13;0,00;87,75;0,00;1,00;6,00;1,00;0,00;1,00;0,00;0,00;1,00;3,00;5,00;0,00;2,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00
2019-12-01;33,00;1,00;7,00;13,00;1,00;3,00;0,00;2,00;1,00;0,00;0,00;10,15;22,85;1,00;0,00;5,00;6,00;2,20;0,00;92,40;0,00;0,00;3,00;2,00;2,00;1,00;0,00;2,00;3,00;4,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-12-08;42,00;3,00;3,00;18,00;7,00;5,00;2,00;3,00;2,00;1,24;0,00;2,47;27,18;1,00;0,00;8,00;3,00;2,21;2,21;154,74;2,21;0,00;6,00;1,00;5,00;0,00;1,00;5,00;3,00;6,00;5,00;0,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;49,00;6,00;7,00;15,00;5,00;6,00;2,00;2,00;1,00;0,00;0,00;7,74;18,05;0,00;2,00;2,00;5,00;2,23;2,23;144,77;0,00;0,00;7,00;2,00;5,00;1,00;0,00;3,00;5,00;2,00;7,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-12-22;66,00;8,00;7,00;8,00;4,00;3,00;3,00;8,00;1,00;0,00;0,00;7,62;38,08;3,00;0,00;20,00;0,00;0,00;0,00;180,40;0,00;1,00;5,00;3,00;4,00;3,00;0,00;1,00;1,00;5,00;10,00;0,00;4,00;0,00;0,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00
2019-12-29;100,00;1,00;7,00;20,00;7,00;5,00;6,00;5,00;0,00;2,56;1,28;10,26;56,41;0,00;2,00;23,00;6,00;4,44;0,00;222,22;0,00;0,00;11,00;1,00;6,00;4,00;1,00;4,00;2,00;10,00;7,00;0,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;43,00;7,00;8,00;8,00;7,00;2,00;1,00;10,00;0,00;0,00;2,53;7,59;32,88;1,00;0,00;7,00;3,00;0,00;0,00;99,58;0,00;1,00;9,00;0,00;5,00;1,00;0,00;1,00;0,00;8,00;6,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;44,00;5,00;3,00;10,00;5,00;1,00;0,00;14,00;0,00;1,29;0,00;7,76;28,47;19,00;1,00;8,00;6,00;1,10;0,00;99,00;0,00;1,00;4,00;1,00;5,00;0,00;2,00;1,00;1,00;2,00;8,00;2,00;3,00;1,00;0,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00
