Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;13,00;4,00;33,00;2,00;2,00
2019-01-13;9,00;3,00;37,00;2,00;2,00
2019-01-20;8,00;2,00;27,00;1,00;3,00
2019-01-27;10,00;1,00;30,00;1,00;4,00
2019-02-03;10,00;2,00;28,00;1,00;6,00
2019-02-10;9,00;3,00;27,00;1,00;8,00
2019-02-17;7,00;3,00;27,00;2,00;2,00
2019-02-24;9,00;3,00;24,00;3,00;2,00
2019-03-03;6,00;2,00;24,00;2,00;15,00
2019-03-10;6,00;3,00;25,00;1,00;1,00
2019-03-17;9,00;2,00;32,00;1,00;2,00
2019-03-24;7,00;3,00;25,00;1,00;3,00
2019-03-31;7,00;2,00;32,00;1,00;3,00
2019-04-07;8,00;1,00;26,00;1,00;2,00
2019-04-14;8,00;3,00;31,00;1,00;1,00
2019-04-21;9,00;2,00;23,00;1,00;2,00
2019-04-28;12,00;3,00;26,00;1,00;1,00
2019-05-05;18,00;2,00;29,00;3,00;1,00
2019-05-12;10,00;3,00;33,00;0,50;2,00
2019-05-19;9,00;2,00;29,00;1,00;0,50
2019-05-26;13,00;2,00;34,00;1,00;3,00
2019-06-02;8,00;1,00;25,00;2,00;1,00
2019-06-09;6,00;1,00;28,00;1,00;3,00
2019-06-16;6,00;1,00;28,00;1,00;2,00
2019-06-23;8,00;2,00;30,00;3,00;2,00
2019-06-30;7,00;2,00;21,00;1,00;3,00
2019-07-07;10,00;1,00;30,00;1,00;1,00
2019-07-14;5,00;2,00;24,00;0,50;2,00
2019-07-21;9,00;4,00;24,00;1,00;2,00
2019-07-28;9,00;3,00;20,00;2,00;1,00
2019-08-04;9,00;2,00;25,00;1,00;2,00
2019-08-11;12,00;4,00;27,00;1,00;2,00
2019-08-18;9,00;2,00;25,00;1,00;2,00
2019-08-25;14,00;2,00;26,00;1,00;2,00
2019-09-01;8,00;3,00;29,00;1,00;2,00
2019-09-08;10,00;3,00;27,00;2,00;3,00
2019-09-15;8,00;3,00;56,00;2,00;3,00
2019-09-22;7,00;2,00;51,00;2,00;2,00
2019-09-29;12,00;3,00;39,00;3,00;1,00
2019-10-06;12,00;3,00;100,00;3,00;2,00
2019-10-13;8,00;1,00;31,00;1,00;3,00
2019-10-20;10,00;3,00;27,00;2,00;1,00
2019-10-27;6,00;3,00;26,00;2,00;2,00
2019-11-03;7,00;1,00;28,00;1,00;2,00
2019-11-10;8,00;1,00;31,00;1,00;2,00
2019-11-17;8,00;3,00;28,00;1,00;2,00
2019-11-24;7,00;2,00;23,00;1,00;2,00
2019-12-01;5,00;2,00;26,00;1,00;1,00
2019-12-08;8,00;5,00;21,00;1,00;2,00
2019-12-15;8,00;4,00;24,00;2,00;2,00
2019-12-22;10,00;5,00;40,00;3,00;2,00
2019-12-29;11,00;4,00;34,00;3,00;2,00
2020-01-05;12,00;4,00;31,00;3,00;2,00
2020-01-12;10,00;2,00;38,00;3,00;3,00
2020-01-19;8,00;3,00;28,00;2,00;2,00
2020-01-26;5,00;3,00;25,00;2,00;2,00
2020-02-02;8,00;2,00;29,00;3,00;2,00
2020-02-09;14,00;3,00;24,00;3,00;2,00
2020-02-16;6,00;3,00;24,00;2,00;3,00
2020-02-23;8,00;3,00;24,00;2,00;2,00
2020-03-01;6,00;2,00;28,00;3,00;1,00
2020-03-08;8,00;3,00;27,00;2,00;2,00
2020-03-15;5,00;1,00;20,00;2,00;2,00
2020-03-22;8,00;2,00;18,00;1,00;1,00
2020-03-29;9,00;2,00;18,00;2,00;1,00
2020-04-05;8,00;2,00;20,00;3,00;2,00
2020-04-12;11,00;2,00;22,00;1,00;1,00
2020-04-19;9,00;2,00;28,00;2,00;1,00
2020-04-26;15,00;3,00;23,00;1,00;2,00
2020-05-03;8,00;2,00;25,00;2,00;2,00
2020-05-10;8,00;2,00;24,00;1,00;2,00
2020-05-17;9,00;2,00;24,00;2,00;3,00
2020-05-24;9,00;2,00;18,00;1,00;2,00
2020-05-31;11,00;2,00;23,00;1,00;1,00
2020-06-07;8,00;2,00;17,00;1,00;2,00
2020-06-14;10,00;2,00;18,00;1,00;1,00
2020-06-21;11,00;2,00;19,00;1,00;2,00
2020-06-28;8,00;4,00;26,00;2,00;2,00
2020-07-05;11,00;3,00;18,00;1,00;1,00
2020-07-12;9,00;2,00;18,00;1,00;1,00
2020-07-19;11,00;3,00;21,00;1,00;7,00
2020-07-26;10,00;2,00;20,00;1,00;1,00
2020-08-02;10,00;2,00;16,00;2,00;2,00
2020-08-09;11,00;3,00;25,00;1,00;3,00
2020-08-16;9,00;2,00;30,00;3,00;1,00
2020-08-23;9,00;3,00;24,00;2,00;1,00
2020-08-30;9,00;1,00;21,00;1,00;2,00
2020-09-06;8,00;2,00;18,00;1,00;0,50
2020-09-13;14,00;1,00;20,00;1,00;1,00
2020-09-20;6,00;1,00;20,00;1,00;1,00
2020-09-27;8,00;3,00;18,00;2,00;1,00
2020-10-04;10,00;9,00;22,00;1,00;1,00
2020-10-11;7,00;2,00;21,00;0,50;2,00
2020-10-18;8,00;3,00;18,00;1,00;1,00
2020-10-25;11,00;2,00;19,00;0,50;1,00
2020-11-01;7,00;2,00;16,00;1,00;1,00
2020-11-08;8,00;3,00;19,00;1,00;1,00
2020-11-15;7,00;2,00;21,00;1,00;1,00
2020-11-22;6,00;1,00;19,00;2,00;2,00
2020-11-29;6,00;2,00;21,00;1,00;1,00
2020-12-06;6,00;2,00;16,00;1,00;1,00
