Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2022-03-06;38,00;304,00;372,40;0,00;30,40;89,57;2,71;16,29;103,14;122,14;57,00;73,29;40,71;22,00;54,00;10,00;4,00;6,00;1,00;6,00;2,00;46,00;6,00;16,00;6,00;1,00;4,00;0,00;2,00;4,00;0,00;0,50;0,50;4,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00
2022-03-13;48,00;301,71;363,43;0,00;34,29;101,33;2,67;13,33;109,33;138,35;62,12;84,71;39,53;23,04;51,84;13,44;3,84;7,00;1,00;4,00;0,50;56,00;8,00;19,00;7,00;1,00;3,00;0,00;1,00;4,00;0,00;0,50;0,50;4,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00
2022-03-20;59,00;376,13;435,13;0,00;36,88;100,04;2,57;15,39;128,26;160,14;78,67;92,71;44,95;32,35;72,32;11,42;3,81;9,00;2,00;7,00;2,00;54,00;7,00;22,00;5,00;3,00;4,00;0,00;2,00;6,00;1,00;1,00;1,00;6,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2022-03-27;60,00;386,67;366,67;0,00;26,67;96,52;2,61;15,65;122,61;158,18;70,91;87,27;43,64;29,03;75,48;5,81;3,87;4,00;1,00;6,00;1,00;48,00;9,00;27,00;7,00;2,00;5,00;0,50;1,00;6,00;0,00;1,00;1,00;6,00;0,00;1,00;1,00;0,50;0,00;0,50;0,00
2022-04-03;68,00;435,20;374,00;0,00;34,00;125,54;2,62;18,31;151,69;171,36;73,44;108,80;40,80;36,91;81,60;17,49;5,83;10,00;2,00;9,00;1,00;54,00;8,00;26,00;5,00;3,00;8,00;0,00;0,50;3,00;0,00;0,00;1,00;3,00;0,00;0,00;1,00;0,50;0,00;0,50;0,00
2022-04-10;66,00;454,67;403,33;0,00;29,33;124,08;2,64;18,48;158,40;189,75;82,50;101,75;44,00;36,88;64,06;13,59;5,82;11,00;2,00;8,00;2,00;61,00;6,00;30,00;14,00;2,00;6,00;1,00;1,00;5,00;0,00;0,50;0,50;5,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00
2022-04-17;69,00;462,30;393,30;3,45;41,40;148,62;2,65;23,88;185,77;212,52;74,52;107,64;44,16;45,34;94,63;11,83;5,91;11,00;3,00;5,00;1,00;69,00;8,00;31,00;13,00;1,00;5,00;0,00;1,00;5,00;0,50;1,00;0,50;5,00;0,50;1,00;0,50;0,50;0,00;0,50;0,00
2022-04-24;67,00;521,11;454,11;0,00;37,22;163,48;2,68;26,80;198,32;231,71;78,17;114,46;44,67;49,26;106,41;13,79;5,91;8,00;2,00;8,00;2,00;70,00;6,00;37,00;11,00;2,00;7,00;0,50;1,00;6,00;1,00;1,00;1,00;6,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2022-05-01;67,00;550,89;439,22;0,00;37,22;168,84;1,34;24,12;211,72;231,71;89,33;145,17;58,63;55,18;116,26;9,85;5,91;10,00;3,00;6,00;3,00;72,00;9,00;40,00;9,00;3,00;8,00;0,00;1,00;7,00;1,00;2,00;1,00;7,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00
2022-05-08;76,00;518,18;393,82;0,00;34,55;167,72;2,62;26,21;220,14;264,59;87,26;126,67;53,48;62,36;99,38;13,64;7,79;13,00;2,00;8,00;2,00;55,00;15,00;39,00;7,00;3,00;6,00;0,50;2,00;7,00;1,00;0,50;2,00;7,00;1,00;0,50;2,00;1,00;0,00;1,00;0,00
