Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;10,00;21,00;2,00;4,00;16,00;21,00;2,00;4,00;16,00;24,00;1,00;1,00;1,00;1,00;15,00;1,00;1,00;1,00;1,00;0,50;0,50;3,00;2,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-01-13;12,00;22,00;2,00;5,00;17,00;22,00;2,00;5,00;17,00;20,00;2,00;1,00;2,00;1,00;18,00;0,50;0,50;0,50;1,00;0,50;1,00;4,00;1,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-01-20;10,00;19,00;3,00;5,00;18,00;19,00;3,00;5,00;18,00;27,00;1,00;1,00;2,00;1,00;18,00;1,00;0,50;0,50;1,00;1,00;1,00;2,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-01-27;6,00;22,00;4,00;5,00;17,00;22,00;4,00;5,00;17,00;26,00;1,00;2,00;2,00;1,00;16,00;1,00;0,50;0,50;1,00;1,00;1,00;3,00;2,00;0,50;0,50;0,50;0,00;1,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-02-03;6,00;21,00;3,00;5,00;17,00;21,00;3,00;5,00;17,00;23,00;2,00;3,00;1,00;1,00;16,00;0,50;0,50;1,00;1,00;0,50;1,00;3,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;6,00;21,00;4,00;6,00;17,00;21,00;4,00;6,00;17,00;23,00;2,00;2,00;1,00;2,00;13,00;1,00;0,00;0,50;1,00;1,00;1,00;2,00;1,00;0,00;0,50;0,00;0,50;1,00;0,50;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;8,00;24,00;3,00;6,00;19,00;24,00;3,00;6,00;19,00;26,00;1,00;3,00;1,00;1,00;15,00;1,00;0,50;0,50;1,00;1,00;2,00;3,00;2,00;0,00;0,50;0,00;0,00;1,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;8,00;21,00;3,00;7,00;19,00;21,00;3,00;7,00;19,00;32,00;2,00;4,00;1,00;1,00;18,00;1,00;0,50;0,50;1,00;1,00;2,00;3,00;3,00;0,00;0,50;0,50;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-03-03;8,00;24,00;5,00;7,00;20,00;24,00;5,00;7,00;20,00;35,00;2,00;4,00;2,00;1,00;17,00;1,00;0,50;1,00;1,00;1,00;2,00;3,00;2,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;6,00;26,00;4,00;7,00;20,00;26,00;4,00;7,00;20,00;30,00;1,00;3,00;2,00;1,00;18,00;1,00;0,50;1,00;0,50;1,00;1,00;4,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;7,00;29,00;5,00;10,00;24,00;29,00;5,00;10,00;24,00;30,00;1,00;4,00;1,00;1,00;20,00;1,00;0,50;1,00;1,00;1,00;2,00;3,00;3,00;0,00;0,50;0,00;0,50;2,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00
2019-03-24;8,00;29,00;5,00;10,00;23,00;29,00;5,00;10,00;23,00;33,00;1,00;3,00;1,00;2,00;18,00;1,00;0,50;0,50;1,00;1,00;2,00;4,00;3,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50
2019-03-31;14,00;23,00;4,00;9,00;20,00;23,00;4,00;9,00;20,00;36,00;1,00;2,00;2,00;2,00;17,00;1,00;0,50;1,00;1,00;1,00;2,00;4,00;4,00;0,00;0,50;0,00;0,00;2,00;0,50;0,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-07;15,00;32,00;5,00;8,00;23,00;32,00;5,00;8,00;23,00;38,00;2,00;2,00;2,00;2,00;17,00;1,00;0,50;1,00;1,00;1,00;3,00;6,00;3,00;0,50;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;21,00;26,00;5,00;7,00;23,00;26,00;5,00;7,00;23,00;32,00;2,00;2,00;2,00;2,00;17,00;1,00;0,50;0,50;1,00;1,00;4,00;6,00;7,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-04-21;21,00;36,00;4,00;6,00;27,00;36,00;4,00;6,00;27,00;40,00;2,00;2,00;2,00;2,00;21,00;2,00;0,50;1,00;2,00;1,00;4,00;7,00;6,00;0,00;0,50;0,00;0,50;3,00;0,00;0,50;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-28;16,00;34,00;4,00;7,00;28,00;34,00;4,00;7,00;28,00;38,00;2,00;3,00;2,00;3,00;20,00;2,00;0,00;1,00;2,00;1,00;3,00;4,00;5,00;0,50;0,50;0,00;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-05-05;15,00;34,00;5,00;8,00;25,00;34,00;5,00;8,00;25,00;41,00;2,00;1,00;2,00;3,00;24,00;1,00;0,50;1,00;1,00;0,50;2,00;6,00;3,00;0,00;0,50;0,50;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;15,00;35,00;5,00;6,00;27,00;35,00;5,00;6,00;27,00;37,00;2,00;2,00;2,00;2,00;21,00;1,00;0,50;1,00;1,00;0,50;2,00;6,00;3,00;0,50;0,00;0,00;0,00;2,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;13,00;35,00;6,00;5,00;28,00;35,00;6,00;5,00;28,00;46,00;2,00;3,00;1,00;3,00;25,00;2,00;0,50;1,00;1,00;0,50;5,00;7,00;3,00;0,00;0,50;0,00;0,00;2,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00
2019-05-26;15,00;32,00;5,00;6,00;28,00;32,00;5,00;6,00;28,00;41,00;2,00;2,00;1,00;4,00;26,00;2,00;0,50;1,00;1,00;1,00;2,00;6,00;2,00;0,50;0,50;0,00;0,50;2,00;0,00;0,00;0,50;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00
2019-06-02;15,00;46,00;7,00;7,00;34,00;46,00;7,00;7,00;34,00;53,00;1,00;2,00;2,00;4,00;34,00;2,00;0,50;1,00;2,00;1,00;3,00;8,00;4,00;0,00;0,50;0,50;0,00;3,00;0,00;0,50;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,50;0,00;0,00
2019-06-09;19,00;47,00;8,00;7,00;43,00;47,00;8,00;7,00;43,00;62,00;2,00;3,00;1,00;4,00;41,00;2,00;0,50;1,00;2,00;1,00;3,00;8,00;4,00;0,00;0,00;0,00;0,50;4,00;0,00;0,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-06-16;21,00;46,00;7,00;8,00;45,00;46,00;7,00;8,00;45,00;60,00;2,00;2,00;2,00;4,00;46,00;1,00;1,00;1,00;2,00;1,00;2,00;12,00;3,00;0,00;0,00;0,00;0,50;5,00;0,50;0,00;1,00;0,00;0,00;0,50;0,50;0,50;0,50;0,00;0,00;0,00
