Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-04-21;51,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;13,91;0,00;0,00;0,00;4,25;14,17;0,00;0,00;4,53;0,00;0,00;5,28;0,00;22,86
2019-04-28;41,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,69;4,69;4,69;0,00;4,39;4,39;13,18;0,00;0,00;9,37;0,00;8,91;8,91;0,00;8,91
2019-05-05;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;4,53;0,00;4,25;0,00;4,25;12,75;0,00;0,00;4,53;0,00;11,90;0,00;8,50;3,40
2019-05-12;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;4,68;0,00;0,00;0,00;12,71;8,47;0,00;4,57;0,00;0,00;12,44;0,00;0,00;0,00
2019-05-19;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,63;0,00;0,00;0,00;22,00;13,20;4,63;0,00;13,89;0,00;0,00;0,00;9,17;3,67
2019-05-26;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;9,00;0,00;0,00;0,00;4,59;4,59;8,45;0,00;12,68;8,45;4,59;0,00;4,59;0,00;0,00;3,44;3,44;3,44
2019-06-02;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;4,50;0,00;0,00;0,00;9,00;16,71;4,50;4,50;4,50;0,00;0,00;5,40;0,00;0,00
2019-06-09;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;0,00;4,00;0,00;4,67;0,00;0,00;4,67;0,00;0,00;0,00;13,26;4,67;0,00;4,67;0,00;0,00;0,00;0,00;5,60
2019-06-16;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;19,00;0,00;0,00;0,00;4,76;0,00;0,00;0,00;0,00;19,12;0,00;0,00;10,71;0,00;0,00;5,36;0,00;5,36
2019-06-23;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;18,00;0,00;4,67;0,00;32,67;0,00;0,00;0,00;0,00;8,40;0,00;0,00;23,33;0,00;5,25;0,00;0,00;8,75
2019-06-30;60,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;14,00;0,00;0,00;4,62;9,23;4,62;0,00;0,00;18,57;27,14;4,62;0,00;23,08;0,00;5,29;8,82;0,00;17,65
2019-07-07;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;5,00;0,00;4,69;14,07;4,69;10,35;0,00;19,22;29,57;9,38;0,00;24,62;0,00;0,00;0,00;5,37;5,37
2019-07-14;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;5,00;5,00;9,41;0,00;9,41;15,29;0,00;0,00;10,00;34,29;0,00;0,00;15,29;0,00;0,00;20,00;9,09;0,00
2019-07-21;36,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;4,65;4,65;0,00;0,00;0,00;40,32;4,32;10,45;0,00;31,35;0,00;14,40;10,80;5,40;0,00
2019-07-28;19,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;4,47;8,94;0,00;0,00;4,07;13,57;0,00;0,00;14,53;0,00;0,00;5,18;0,00;19,00
2019-08-04;46,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;9,44;0,00;14,15;0,00;4,31;0,00;18,69;12,94;0,00;0,00;32,20;0,00;14,15;0,00;5,31;35,38
2019-08-11;26,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;9,00;0,00;9,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;13,00;4,00;7,91;4,52;24,87;0,00;0,00;0,00;26,00;26,00;0,00;0,00;16,96;0,00;20,80;8,67;3,47;20,80
2019-08-18;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,50;4,50;4,50;4,50;0,00;60,00;18,00;16,88;12,38;16,88;0,00;9,00;9,00;3,60;12,60
2019-08-25;26,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;26,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;9,00;0,00;0,00;0,00;30,73;0,00;4,33;0,00;26,00;17,33;7,91;4,52;4,52;0,00;17,33;17,33;3,47;8,67
2019-09-01;26,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;17,00;0,00;4,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;4,00;0,00;4,73;4,73;8,27;0,00;8,67;0,00;26,00;17,33;16,55;4,73;22,45;0,00;13,00;13,00;3,71;13,00
2019-09-08;25,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;12,00;0,00;7,95;4,55;12,50;0,00;4,17;0,00;40,28;8,33;7,95;0,00;12,50;0,00;33,93;16,07;3,57;16,07
2019-09-15;47,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;13,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,02;0,00;0,00;29,91;8,55;4,59;0,00;12,61;0,00;24,37;3,48;3,48;12,19
2019-09-22;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,47;0,00;15,87;4,53;0,00;0,00;17,00;28,33;12,47;0,00;21,53;0,00;8,50;3,40;0,00;15,30
2019-09-29;13,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;24,82;8,27;0,00;0,00;28,89;8,67;13,00;0,00;29,55;0,00;29,71;3,71;20,43;13,00
2019-10-06;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;16,51;8,26;0,00;4,31;66,13;20,13;20,70;12,65;8,05;8,05;21,23;3,54;3,54;0,00
2019-10-13;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;16,63;16,63;4,38;0,00;20,46;13,15;8,06;4,61;12,67;0,00;16,29;12,67;0,00;9,05
2019-10-20;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;4,73;0,00;16,55;0,00;4,33;0,00;33,22;8,67;8,27;4,73;4,73;0,00;3,71;9,29;0,00;9,29
2019-10-27;26,00;0,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;9,00;0,00;9,00;0,00;4,52;0,00;12,43;0,00;0,00;0,00;28,74;36,95;12,43;0,00;21,48;0,00;8,67;12,13;3,47;8,67
2019-11-03;21,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;29,17;0,00;4,20;0,00;23,80;28,00;21,00;0,00;21,00;0,00;8,75;12,25;0,00;12,25
2019-11-10;54,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;4,00;8,22;0,00;16,43;4,70;8,53;0,00;19,89;15,63;8,04;8,04;41,36;0,00;16,20;3,60;3,60;3,60
2019-11-17;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;12,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;3,56;24,94;16,63;4,38;0,00;33,62;13,15;0,00;4,61;33,39;4,61;16,29;3,62;0,00;0,00
2019-11-24;44,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;20,00;0,00;3,47;8,11;11,58;3,47;0,00;0,00;15,61;11,35;27,08;0,00;15,79;0,00;19,36;12,32;0,00;3,52
2019-12-01;50,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;16,00;0,00;0,00;0,00;24,42;0,00;4,29;0,00;28,57;48,57;15,91;4,55;32,95;0,00;12,50;3,57;0,00;16,07
2019-12-08;42,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;4,00;0,00;0,00;16,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;12,00;0,00;12,83;0,00;29,17;4,67;4,34;0,00;17,38;33,31;7,95;12,49;32,92;0,00;12,25;0,00;3,50;3,50
2019-12-15;73,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;21,00;0,00;13,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;17,00;0,00;4,63;0,00;33,60;4,63;0,00;0,00;47,24;12,88;4,56;17,11;38,78;7,98;30,27;8,90;3,56;28,49
2019-12-22;61,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;23,00;5,00;0,00;5,00;0,00;0,00;9,00;0,00;14,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;5,00;0,00;9,00;0,00;4,69;4,69;28,15;4,69;0,00;0,00;59,58;36,88;18,42;4,60;51,79;4,60;23,32;28,71;8,97;17,94
2019-12-29;72,00;0,00;0,00;0,00;9,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;9,00;13,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;18,00;0,00;12,77;0,00;48,77;4,65;8,47;8,47;52,24;48,00;17,14;0,00;53,71;0,00;22,83;3,51;21,07;3,51
