Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;39,00;0,00;39,00;3,12;43,68;100,75;35,75;4,88;58,50;78,00;4,88;9,00;3,00;3,00;2,00;9,75;2,79;27,86;4,18;0,00;23,40;0,00;3,00;3,00;2,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;27,00;0,00;31,00;3,18;34,94;138,38;23,63;4,50;54,00;54,00;9,00;7,00;6,00;8,00;3,00;19,89;9,95;28,42;5,68;0,00;1,93;1,93;0,00;3,00;0,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;32,00;0,00;26,00;12,80;43,20;124,44;32,00;8,00;64,00;48,00;4,00;11,00;3,00;3,00;1,00;12,52;1,39;37,57;4,17;0,00;1,78;3,56;6,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;25,00;0,00;29,00;12,50;26,56;146,43;32,14;8,33;50,00;66,67;4,17;7,00;9,00;4,00;0,00;22,22;5,56;44,44;0,00;1,79;3,57;7,14;4,00;3,00;1,00;1,00;0,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;24,00;0,00;33,00;11,20;25,60;113,14;37,71;8,00;48,00;64,00;8,00;5,00;11,00;3,00;2,00;12,71;15,53;28,24;4,24;0,00;4,00;2,00;3,00;0,00;0,00;2,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;0,00;31,00;3,11;31,11;150,50;45,50;0,00;102,67;93,33;4,67;8,00;3,00;5,00;5,00;25,20;8,40;37,80;5,60;0,00;1,75;1,75;3,00;3,00;0,00;0,00;5,00;3,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-02-17;28,00;0,00;31,00;4,67;46,67;143,50;38,50;9,33;74,67;112,00;28,00;6,00;8,00;11,00;6,00;25,20;4,20;30,80;5,60;4,00;2,00;0,00;6,00;0,00;2,00;2,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;17,00;0,00;25,00;3,09;52,55;142,80;61,20;8,50;76,50;76,50;4,25;9,00;8,00;12,00;1,00;24,08;9,92;43,92;4,25;0,00;1,70;0,00;5,00;3,00;0,00;3,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;29,00;0,00;29,00;10,68;38,16;154,67;38,67;9,67;106,33;96,67;9,67;9,00;17,00;8,00;6,00;21,75;8,70;39,15;4,35;0,00;3,63;3,63;2,00;2,00;2,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;0,00;22,00;3,05;38,10;160,00;48,00;8,00;64,00;88,00;4,00;9,00;9,00;9,00;5,00;30,61;15,30;48,70;4,17;0,00;3,56;0,00;3,00;2,00;0,00;5,00;5,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;42,00;0,00;24,00;4,67;34,22;171,50;56,00;8,40;84,00;100,80;8,40;19,00;6,00;5,00;2,00;15,40;4,20;43,40;14,00;0,00;1,91;0,00;5,00;3,00;0,00;3,00;2,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00
2019-03-24;47,00;0,00;22,00;7,83;47,00;204,79;57,07;9,40;103,40;94,00;0,00;3,00;6,00;6,00;6,00;17,09;12,82;34,18;8,55;0,00;1,96;0,00;5,00;2,00;2,00;0,00;2,00;3,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00
2019-03-31;63,00;0,00;27,00;4,73;36,23;155,84;53,05;4,50;72,00;90,00;18,00;18,00;7,00;8,00;0,00;22,91;17,18;48,68;8,59;1,85;3,71;3,71;7,00;0,00;0,00;4,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;44,00;0,00;29,00;1,57;42,43;182,77;37,23;8,80;79,20;114,40;8,80;10,00;13,00;4,00;1,00;34,06;18,45;51,10;8,52;0,00;7,33;1,83;3,00;1,00;0,00;1,00;1,00;3,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-04-14;65,00;0,00;24,00;9,29;41,79;256,58;68,42;9,29;74,29;222,86;9,29;27,00;14,00;14,00;9,00;32,50;11,30;24,02;14,13;0,00;7,65;0,00;3,00;2,00;2,00;3,00;6,00;2,00;13,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-04-21;53,00;0,00;19,00;7,79;53,00;235,19;43,06;8,83;88,33;106,00;8,83;20,00;20,00;9,00;0,00;17,19;10,03;47,27;8,59;1,89;3,79;7,57;6,00;0,00;2,00;0,00;2,00;1,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;44,00;0,00;17,00;6,29;44,00;223,38;54,15;8,80;88,00;105,60;8,80;12,00;14,00;3,00;6,00;29,81;12,77;35,48;7,10;0,00;3,67;0,00;12,00;3,00;0,00;3,00;3,00;3,00;6,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-05-05;46,00;0,00;27,00;11,10;49,17;174,14;36,14;9,20;92,00;119,60;18,40;16,00;12,00;9,00;3,00;23,00;10,06;43,13;10,06;1,92;3,83;0,00;9,00;1,00;0,00;1,00;1,00;0,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-12;48,00;0,00;26,00;4,65;61,94;222,86;61,71;9,60;96,00;96,00;9,60;13,00;8,00;9,00;4,00;29,65;21,18;55,06;9,88;0,00;3,69;0,00;11,00;3,00;1,00;0,00;1,00;1,00;8,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-19;52,00;0,00;18,00;4,73;80,36;218,40;41,60;26,00;147,33;104,00;8,67;6,00;16,00;10,00;4,00;15,46;33,73;56,22;14,05;3,71;3,71;1,86;9,00;3,00;3,00;1,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-26;68,00;0,00;22,00;4,74;68,00;238,00;47,60;17,00;102,00;85,00;8,50;7,00;18,00;6,00;4,00;29,75;18,42;69,42;9,92;0,00;7,56;1,89;10,00;1,00;0,00;0,00;7,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;62,00;0,00;28,00;4,77;87,44;279,00;44,78;8,86;132,86;132,86;8,86;4,00;9,00;23,00;3,00;28,84;23,07;63,44;5,77;0,00;7,75;0,00;10,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
