Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;96,00;54,21;23,72;65,45;1,09;15,27;35,00;22,00;15,00;19,00;24,00;25,00;26,00;2,00;4,00;18,00;2,00;9,00;3,00;8,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50
2019-01-13;90,00;58,50;21,38;64,29;1,07;12,86;32,00;21,00;18,00;18,00;24,27;26,29;26,29;2,02;5,06;19,21;3,03;7,08;3,03;6,07;7,08;4,04;3,03;3,03;1,01;6,07;2,02;1,01;1,01;0,51;1,01;0,51;0,51
2019-01-20;77,00;50,96;19,25;62,03;1,07;12,83;29,00;20,00;17,00;16,00;20,26;23,30;20,26;1,01;4,05;16,21;3,04;6,08;2,03;6,08;7,09;4,05;3,04;3,04;1,01;3,04;3,04;1,01;2,03;0,51;1,01;0,00;0,51
2019-01-27;87,00;54,65;21,19;44,56;1,06;14,85;25,00;20,00;12,00;17,00;21,00;20,00;24,00;1,00;4,00;18,00;2,00;7,00;2,00;7,00;8,00;4,00;3,00;2,00;1,00;3,00;2,00;1,00;1,00;1,00;1,00;0,50;0,00
2019-02-03;90,00;59,63;19,13;42,86;1,07;15,00;32,00;24,00;10,00;21,00;23,00;18,00;22,00;2,00;5,00;17,00;2,00;6,00;3,00;6,00;9,00;3,00;3,00;2,00;0,50;5,00;2,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-02-10;78,00;59,91;18,09;39,00;1,08;15,17;26,00;21,00;13,00;19,00;22,00;21,00;24,00;2,00;4,00;19,00;3,00;6,00;3,00;7,00;7,00;4,00;3,00;2,00;1,00;3,00;1,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;75,00;60,45;17,91;38,57;1,07;17,14;24,00;21,00;14,00;19,00;19,26;19,26;23,31;2,03;5,07;18,24;12,16;6,08;3,04;6,08;7,09;3,04;3,04;2,03;0,51;4,05;3,04;1,01;2,03;0,51;1,01;0,00;0,51
2019-02-24;78,00;54,26;16,96;39,00;1,08;17,33;28,00;20,00;13,00;18,00;22,58;18,47;23,61;2,05;5,13;19,50;2,05;6,16;2,05;6,16;9,24;3,08;3,08;1,03;1,03;4,11;3,08;1,03;2,05;0,51;1,03;0,00;0,51
2019-03-03;76,00;54,76;20,12;41,26;1,09;13,03;24,00;19,00;12,00;20,00;21,00;19,00;22,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-03-10;77,00;56,62;19,25;36,36;1,07;17,11;26,00;18,00;12,00;22,00;19,00;19,00;24,00;1,00;5,00;21,00;4,00;8,00;3,00;7,00;10,00;4,00;3,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-17;72,00;65,25;16,88;38,12;1,06;14,82;20,00;23,00;13,00;21,00;20,28;20,28;24,34;2,03;5,07;18,25;3,04;7,10;2,03;8,11;8,11;3,04;3,04;1,01;0,51;3,04;2,03;1,01;2,03;1,01;1,01;0,51;0,51
2019-03-24;78,00;54,26;18,09;36,83;1,08;17,33;24,00;22,00;11,00;22,00;19,00;16,00;23,00;2,00;6,00;16,00;3,00;8,00;3,00;8,00;7,00;3,00;3,00;1,00;1,00;5,00;3,00;1,00;2,00;1,00;2,00;0,50;0,50
